MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nスタルーク\nA partir de ahora, voy a protegerte, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\n¿Príncipe Alcryst? ¿De qué estáis hablando?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nEl otro día me protegiste en combate.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\nPor supuesto, soy vuestra vasalla.\nEs mi deber protegeros.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nSí, pero no lo merezco. No valgo nada\ncomparado con tu fuerza y valor.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nPor eso, desde ahora, ¡prometo protegerte\nen el campo de batalla, Lapis!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\n¿Qué...?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nImagino que, viniendo de alguien tan pusilánime,\nsolo te parecerá palabrería vacía...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nYa van tres.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\n¿Qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nEsta es la tercera vez que os comprometéis\na protegerme, príncipe Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nAh, sí. Ahora que lo mencionas, recuerdo\nhaberlo dicho... cuando nos conocimos.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\nY otra vez en el Gran Puente,\nsi no recuerdo mal.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nExacto. Oíros decir esas palabras\nme hizo tan...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ラピス\nOs ruego que dejéis de intercambiar los papeles.\nYo soy vuestra vasalla; ¡vos, el príncipe!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nLo siento. Tan solo digo lo que siento...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ラピス\nSoy consciente.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nUn vasallo que se precie no puede permitir\nque su señor se sacrifique en su lugar.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nLo siento...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ラピス\nNo os lo toméis así. Sé que lo decís de corazón.\nAprecio mucho vuestra intención...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nスタルーク\nClaro...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nスタルーク\n¿Lapis? Quisiera disculparme por la promesa\nque te hice el otro día.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nOh, príncipe Alcryst...\nNo os preocupéis por eso.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nDebería disculparme yo por osar indicaros\nlo que podéis decir.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\nNo hiciste nada malo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nCometí un error. No me paré a pensar\nen cómo te afectarían mis palabras.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nAunque... quiero que sepas una cosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nRealmente creo que eres\nuna persona excepcional, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nNo es cierto... No tengo nada de especial.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nInsisto. Estoy convencido de ello.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\nSé que envías parte de tu paga a casa\npara ayudar a tu familia.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nTambién sé que dedicas tu tiempo libre\na limpiar la comarca de alimañas peligrosas.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\n¿Cómo... lo sabéis?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nTú vales mucho más que yo, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nPor ese motivo...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nPor ese motivo insistís en protegerme a mí.\x0E\x04\x00\x00
