MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\n¡Buena caza la de hoy! Bien hecho.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nNo habríamos cazado tanto de no ser por vos,\npríncipe Alcryst. Gracias por venir.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nSi apenas he ayudado.\nTodo el mérito es tuyo, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\n¡Ja, ja, ja! ¡Tan humilde como siempre!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nザフィーア\nYa que vamos bien de carne,\na la próxima iré a pescar.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nザフィーア\n¿Os gustaría acompañarme?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\n¿Yo? No tengo experiencia en la pesca...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nNo temáis, yo os enseñaré cómo se hace.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nPobres peces... Imagínate cómo se sentirán\nsi alguien como yo los saca del agua...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nザフィーア\n¡Ja, ja, ja!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nPara un pez, quién lo pesca es la menor\nde sus preocupaciones. Todo irá bien.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nAparte, dudo que pesque algo. Cualquier cebo\nque les ofrezca no será digno de ser mordido.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nザフィーア\nTonterías. No os separéis de mí\ny os prometo que pescaréis una tonelada.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nザフィーア\nAunque lo más divertido será\nenseñaros cómo se cocinan.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nスタルーク\n¿De verdad me enseñarás a cocinar pescado?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nEn ese caso, quizá debería intentarlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nEs lo que quería oír. Consideraos invitado\nla próxima vez que salga a pescar.\x0E\x04\x00\x00
