MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nOs he traído algo para picar, lady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\n¡Aaah! Zephia...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nAh, no. Eres Zelestia, ¿verdad?\nPerdona mi sobresalto.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cセレスティア\n¿Os encontráis bien? Estáis sudando.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Si me lo permitís, os secaré el sudor.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Será solo un momento.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\n¡Ah, no! No hace falta. ¡Puedo hacerlo yo sola!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nNo es ninguna molestia. Quiero cuidar de vos.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	¿Y si os hago otro peinado? Tenéis un pelo\nprecioso. ¡Os quedaría estupendo recogido!\x0E\x04\x02\x00
MID_RELIANCE_C_#011	¡Ah, ya sé! Puedo hacer una trenza.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nG-gracias...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nEsto...\x0E\x04\x02\x00
MID_RELIANCE_C_#014	A ver... ¿Cómo se hacen trenzas\nen cabeza ajena?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\n¿Qué?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\n¡Ah, ya me acuerdo! Cuando yo me las hago,\nprimero paso un mechón sobre otro y luego...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\n¡Ay, ay, ay! ¡No tires tanto, que me haces daño!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\n¡Lo siento! Ay, creo que lo he enredado...\nA ver cómo lo deshago...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ヴェイル\nAy, ha quedado hecho una maraña...\nBueno, no te preocupes. Ya lo arreglaré luego.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nLo siento mucho. Será mejor que me vaya\nantes de que lo empeore aún más.\x0E\x04\x02\x00
MID_RELIANCE_C_#021	Ah, casi olvido dejaros el almuerzo.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ヴェイル\nJi, ji...\x0E\x04\x02\x00
MID_RELIANCE_C_#023	Zelestia le pone mucho empeño a todo.\nNo me lo esperaba...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n¿Os sentís fatigada, lady Veyle?\nTenéis mala cara.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ヴェイル\n¿Tú crees? Yo me encuentro bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cセレスティア\n¿Os hirieron durante la última batalla?\nA ver, ¿dónde os duele?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ヴェイル\nNo tengo nada. Mira, estoy como una rosa.\nAunque noto la nariz algo... ¡Achís!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, no. Estáis destemplada.\nVoy a calentaros para que no os resfriéis.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Mmm... No veo ninguna manta por aquí.\n¡Ah, ya sé! ¡Os daré un abrazo!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\n¡¿Cómo?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cセレスティア\nLos dragones magos desprendemos\nmucho calor. Tranquilizaos, esto os ayudará.\x0E\x04\x00\x00
