MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nMira, ha empezado a nevar...\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06ミカヤ\nEstoy segura de que ya he estado aquí\no en un lugar muy parecido.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\n¿Dónde crees que estamos, Micaiah?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06ミカヤ\nSe parece mucho al castillo de Nox.\nUna vez luché allí contra Ike.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\n¿De verdad luchaste contra Ike?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06ミカヤ\nPor aquel entonces también nevaba.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06ミカヤ\nÉl era un comandante valeroso, como yo, pero\nveíamos la victoria de formas muy distintas.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06ミカヤ\nIke pretendía salvarnos, y yo no se lo permití.\nNecesitábamos ayuda, pero no la suya.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06ミカヤ\nMi pueblo estaba maldito por un pacto de\nsangre mágico y nos dirigíamos a la ruina.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0A\x08リュール\n¿Qué ocurrió?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x08\x06ミカヤ\nLuché contra Ike. Luché para deshacer\nel pacto y me aferré a la esperanza.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06ミカヤ\nSeguí creyendo en mi visión del futuro\nincluso en los peores momentos.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06ミカヤ\nLo di todo por la gente que me importaba.\nHabría sacrificado más de haber sido necesario.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06ミカヤ\nSolo así fui capaz de sobreponerme a la guerra.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0A\x08リュール\nCreo que ya entiendo por qué\nnos han traído aquí.\x0E\x04\x00\x00
