MID_TUT_CATEGORY_TITLE_Battle	Batalla
MID_TUT_CATEGORY_TITLE_God	Emblemas
MID_TUT_CATEGORY_TITLE_Hub	El Somniel
MID_TUT_CATEGORY_TITLE_Kizuna	Exploración
MID_TUT_CATEGORY_TITLE_Challenge	Retos
MID_TUT_CATEGORY_TITLE_Local	Batalla actual
MID_TUT_BMAP_MOVE_TITLE	Mover unidades
MID_TUT_BMAP_MOVE_0	Para mover una de tus unidades, selecciónala\ncon \x0E\x08\x02\x04\x02A y elige su destino con \x0E\x08\x02\x0E\x0CStickL.
MID_TUT_BMAP_MOVE_1	Las casillas azules indican el radio\nde movimiento de la unidad.
MID_TUT_BMAP_MOVE_2	Vuelve a pulsar \x0E\x08\x02\x04\x02A para confirmar.
MID_TUT_BMAP_COMMAND_TITLE	Dar órdenes a unidades
MID_TUT_BMAP_COMMAND_0	Tras mover a la unidad,\naparecerá el menú de órdenes.
MID_TUT_BMAP_COMMAND_1	Si no quieres hacer ninguna acción,\nelige "Esperar".
MID_TUT_BMAP_CHANGE_TITLE	Turnos de juego
MID_TUT_BMAP_CHANGE_0	Cuando todas las unidades de tu ejército\nhayan finalizado sus acciones, acabará\ntu turno y comenzará el del enemigo.
MID_TUT_BMAP_CHANGE_1	Cuando el enemigo finalice sus acciones,\nvolverá a ser tu turno de actuar.
MID_TUT_BMAP_ATTACK_TITLE	Atacar
MID_TUT_BMAP_ATTACK_0	Para atacar, mueve una unidad cerca\nde un enemigo y elige "Atacar".
MID_TUT_BMAP_ATTACK_1	También puedes iniciar un ataque con \x0E\x08\x02\x04\x02A\nsi colocas el cursor sobre un enemigo\ny se muestra "\x0E\x08\x02\x04\x02A Atacar".
MID_TUT_BMAP_ENGAGE_TITLE	Fusión
MID_TUT_BMAP_ENGAGE_0	Cuando el contador de fusión esté lleno,\nselecciona "Fusión".
MID_TUT_BMAP_ENGAGE_1	La unidad se unirá al Emblema seleccionado\ny podrá usar unas armas especiales llamadas\n"armas de fusión".
MID_TUT_BMAP_ENGAGE_2	La fusión también desbloquea una serie\nde habilidades especiales.
MID_TUT_BMAP_ENGAGE_3	La fusión con un Emblema dura tres turnos.
MID_TUT_BMAP_ENGAGE_ATTACK_TITLE	Ataques de fusión
MID_TUT_BMAP_ENGAGE_ATTACK_0	Las unidades fusionadas pueden asestar\npoderosos ataques de fusión.
MID_TUT_BMAP_ENGAGE_ATTACK_1	Estos ataques confieren habilidades\nmuy útiles que las unidades pueden usar\nuna vez durante cada fusión.
MID_TUT_BMAP_ENGAGE_ATTACK_2	Por ejemplo, el ataque Ráfaga Polaris inflige\nmucho daño. Para usarlo, selecciónalo\nen el menú y elige un arma.
MID_TUT_BMAP_TERRAIN_TITLE	Efectos del terreno
MID_TUT_BMAP_TERRAIN_0	El terreno afecta al desarrollo de las batallas.\nPor ejemplo, una unidad situada en un matorral\nesquivará los ataques con más facilidad.
MID_TUT_BMAP_TERRAIN_1	Sin embargo, los matorrales también dificultan\nel movimiento de las unidades terrestres.
MID_TUT_BMAP_TERRAIN_2	Puedes consultar la información del terreno\nen la parte superior izquierda de la pantalla.\nTenla en cuenta para ganar ventaja en combate.
MID_TUT_BMAP_RECOVERY_TITLE	Curación
MID_TUT_BMAP_RECOVERY_0	Si una unidad pierde todos sus puntos de vida\n(PV), no podrá luchar. Usa objetos curativos,\ncomo pociones, para evitar que esto ocurra.
MID_TUT_BMAP_RECOVERY_1	Para usar una poción, selecciónala\nen la lista de objetos.
MID_TUT_BMAP_SYNCHRO_TITLE	Sincronizarse con Emblemas
MID_TUT_BMAP_SYNCHRO_0	La sincronización permite a las unidades\nluchar junto a un Emblema.
MID_TUT_BMAP_SYNCHRO_1	La sincronización aumenta el poder\nde la unidad y le otorga la capacidad\nde usar habilidades de sincronización.
MID_TUT_BMAP_KIZUNA_LV_TITLE	Nivel de lazo
MID_TUT_BMAP_KIZUNA_LV_0	Cuando una unidad y un Emblema luchan\njuntos, ganan EXP de lazo que aumenta\nel nivel de lazo entre ellos.
MID_TUT_BMAP_KIZUNA_LV_1	A medida que aumente su nivel de lazo,\nlas unidades mejorarán sus atributos\ny podrán usar nuevos efectos.
MID_TUT_BMAP_RANGE_TITLE	Alcance del ataque
MID_TUT_BMAP_RANGE_0	Cada arma tiene un alcance determinado.\nAsí, un arco con un alcance de 2 puede atacar\na enemigos situados a 2 casillas de distancia.
MID_TUT_BMAP_RANGE_1	Las armas con un alcance de 1 no contratacan\na distancia, mientras que las de alcance de 2\nno contratacan a los enemigos adyacentes.
MID_TUT_BMAP_BREAK_TITLE	Ruptura de enemigos
MID_TUT_BMAP_BREAK_0	Puedes infligir el efecto ruptura a un enemigo\nasestándole un ataque con un arma que tenga\nventaja de arma.
MID_TUT_BMAP_BREAK_1	Las unidades que sufren el efecto ruptura no\npueden contratacar hasta el siguiente ataque.\n¡Aprovecha la ocasión!
MID_TUT_BMAP_BREAK_2	Las espadas tienen ventaja sobre las hachas,\nestas sobre las lanzas y estas sobre las espadas;\nLas artes, sobre arcos, grimorios y dagas.
MID_TUT_BMAP_WAND_TITLE	Bastones
MID_TUT_BMAP_WAND_0	Los bastones permiten ayudar a los aliados\no entorpecer a los rivales. Solo pueden usarlos\nciertas unidades, como los monjes marciales.
MID_TUT_BMAP_WAND_1	Por ejemplo, un bastón curativo puede\nrestablecer puntos de vida (PV) de un aliado.
MID_TUT_BMAP_WAND_2	Estos objetos son muy útiles, pero se rompen\ntras usarlos un número de veces determinado.
MID_TUT_STYLE_PRANA_TITLE	Unidades qigong
MID_TUT_STYLE_PRANA_0	Las unidades qigong pueden usar Defensa\nen cadena para proteger a aliados adyacentes\nde los ataques del enemigo.
MID_TUT_STYLE_PRANA_1	Al hacerlo, la unidad aliada sale indemne del\nataque y la unidad qigong sufre una cantidad\nde daño equivalente al 20 % de sus PV máx.
MID_TUT_STYLE_PRANA_2	Defensa en cadena solo estará disponible\nmientras la unidad qigong tenga todos sus PV.
MID_TUT_BMAP_MAGIC_TITLE	Magia
MID_TUT_BMAP_MAGIC_0	La magia permite atacar tanto a enemigos\nlejanos como adyacentes.
MID_TUT_BMAP_MAGIC_1	La magia suele ser una forma muy eficaz\nde acometer a los enemigos que son capaces\nde resistir los ataques físicos.
MID_TUT_STYLE_MAGIC_TITLE	Unidades místicas
MID_TUT_STYLE_MAGIC_0	Al atacar con magia, las unidades místicas\nanulan la bonificación de esquiva (Esq)\nque proporciona el terreno al rival.
MID_TUT_STYLE_MAGIC_1	Las unidades místicas pueden atacar\na distancia incluso cuando resulta difícil\ngolpear al enemigo.
MID_TUT_BMAP_GOD_ENERGY_TITLE	Energía de Emblema
MID_TUT_BMAP_GOD_ENERGY_0	En ocasiones, la energía de un Emblema\npermanece en una casilla.
MID_TUT_BMAP_GOD_ENERGY_1	Si una unidad sincronizada acaba el turno en\nuna casilla que contiene energía de Emblema,\nsu contador de fusión se llenará por completo.
MID_TUT_OVERALLINFORMATION_TITLE	Zona de peligro
MID_TUT_OVERALLINFORMATION_0	Coloca el cursor sobre una unidad enemiga para\nver su radio de ataque. Si quieres mantenerlo\nresaltado, pulsa \x0E\x08\x02\x04\x02A sobre la unidad en cuestión.
MID_TUT_OVERALLINFORMATION_1	Puedes pulsar \x0E\x08\x02\x06\x04ZL para que se muestre\nla zona de peligro de todas las unidades\nenemigas al mismo tiempo.
MID_TUT_BMAP_SPECIALATTACK_TITLE	Eficacia
MID_TUT_BMAP_SPECIALATTACK_0	Los iconos de algunas armas indican\nque son eficaces frente a un determinado\ntipo de enemigo.
MID_TUT_BMAP_SPECIALATTACK_1	Dichas armas infligen daño adicional\na los rivales que tengan el mismo icono.
MID_TUT_STYLE_COOP_TITLE	Unidades de refuerzo
MID_TUT_STYLE_COOP_0	Las unidades de refuerzo pueden ayudar\nencadenando ataques a los de sus aliados.
MID_TUT_STYLE_COOP_1	Si un aliado ataca a un enemigo dentro del\nárea de alcance de una unidad de refuerzo,\nesta se unirá al combate.
MID_TUT_STYLE_HORSE_TITLE	Unidades de caballería
MID_TUT_STYLE_HORSE_0	Las unidades a caballo tienen el mayor\nrango de movimiento.
MID_TUT_STYLE_HORSE_1	Su gran movilidad les permite recorrer el mapa\nrápidamente para acometer al enemigo\no socorrer a un aliado.
MID_TUT_STYLE_COVERT_TITLE	Unidades furtivas
MID_TUT_STYLE_COVERT_0	Las unidades furtivas obtienen el doble\nde las bonificaciones normales de esquiva (Esq)\nde los efectos del terreno.
MID_TUT_STYLE_COVERT_1	Estas unidades resultan ideales en terrenos\ncon efectos beneficiosos, como los matorrales.
MID_TUT_STYLE_HEAVY_TITLE	Unidades acorazadas
MID_TUT_STYLE_HEAVY_0	Las unidades acorazadas anulan el efecto\nruptura aunque las ataquen con armas\nque tengan ventaja.
MID_TUT_STYLE_HEAVY_1	Son muy eficaces en la vanguardia al tener\nuna gran defensa y muchos PV, aunque su poca\nresistencia las hace vulnerables a la magia.
MID_TUT_STYLE_FLY_TITLE	Unidades voladoras
MID_TUT_STYLE_FLY_0	Las unidades voladoras ignoran el efecto\ndel terreno y pueden pasar por casillas\ninaccesibles para las unidades terrestres.
MID_TUT_STYLE_FLY_1	Estas unidades se mueven con facilidad\npor el campo de batalla, pero son vulnerables\nfrente a los arcos.
MID_TUT_STYLE_DRAGON_TITLE	Unidades dragón
MID_TUT_STYLE_DRAGON_0	Las unidades dragón a menudo obtienen\nefectos adicionales de las habilidades\nde fusión y los ataques de fusión.
MID_TUT_STYLE_DRAGON_1	Aumenta el nivel de lazo para sacarles\nel máximo partido a las diversas habilidades\nde los Emblemas.
MID_TUT_STYLE_BATTLE_TITLE	Tipos de unidades
MID_TUT_STYLE_BATTLE_0	Existen diferentes tipos de unidades, como,\npor ejemplo, de caballería, qigong y místicas.\nCada una destaca en una faceta del combate.
MID_TUT_STYLE_BATTLE_1	Puedes ver el tipo al que pertenece una unidad\nen la pantalla de atributos.
MID_TUT_BMAP_ITEMDROP_TITLE	Botín de los enemigos
MID_TUT_BMAP_ITEMDROP_0	Los iconos de objeto de los enemigos indican\nque puedes obtener un botín tras derrotarlos.
MID_TUT_BMAP_ITEMDROP_1	Los objetos que puedes obtener se destacan en\nverde en el inventario del enemigo.
