MID_WU_C_1_IN_#001	¿Puedo pasar?
MID_WU_C_1_IN_#002	¿O me meteré en un lío?
MID_WU_C_1_SOON_#001	Perdonad que os despierte,
MID_WU_C_1_SOON_#002	pero... en realidad he venido aquí para eso.
MID_WU_C_1_SOON_#003	Buenos días, Divinidad.
MID_WU_C_1_WAKEUP_#001	Me da miedo molestar al Dragón Divino, pero...
MID_WU_C_1_WAKEUP_#002	no pienso fracasar en mi cometido.\n¿Qué debo hacer?
MID_WU_C_1_WAKEUP_#003	Quizá si \x0E\x0A\x004\x18lo despierto\x18la despierto
MID_WU_C_1_WAKEUP_#004	con susurros...
MID_WU_C_1_HELLO_#001	Buenos días, Divinidad.
MID_WU_C_1_HELLO_#002	Disculpadme. Espero no haberos asustado.
MID_WU_C_1_HELLO_#003	La próxima vez, procuraré hacer menos ruido.
MID_WU_C_2_IN_#001	Los aposentos del Dragón Divino...
MID_WU_C_2_IN_#002	Aquí no puede haber trampas, ¿verdad?
MID_WU_C_2_IN_#003	No, es imposible.
MID_WU_C_2_SOON_#001	Ah, me habéis oído entrar.
MID_WU_C_2_SOON_#002	¿Os he asustado?
MID_WU_C_2_SOON_#003	(...)
MID_WU_C_2_SOON_#004	Sé lo que se siente.
MID_WU_C_2_WAKEUP_#001	Hola...
MID_WU_C_2_WAKEUP_#002	Perdón si he hablado demasiado alto.
MID_WU_C_2_WAKEUP_#003	¿Cómo se hace esto? Es que no quiero\nalarmaros innecesariamente.
MID_WU_C_2_WAKEUP_#004	Quizá bajando la voz... No hay nada\npeor que despertarse de un susto.
MID_WU_C_2_WAKEUP_#005	Ya es hora de levantarse, Divinidad...
MID_WU_C_2_HELLO_#001	¿Qué tal habéis dormido?
MID_WU_C_2_HELLO_#002	¿No os importa
MID_WU_C_2_HELLO_#003	que os despierte yo?
MID_WU_C_2_HELLO_#004	Por vuestra expresión, diría que no.
MID_WU_B_1_IN_#001	Siempre estáis tan \x0E\x0A\x00 \x0Eocupado\x0Eocupada...
MID_WU_B_1_IN_#002	No me extraña que os cueste levantaros\nde la cama.
