MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x00\x0C\x06ルフレ\x024\n\x0E\x03\x02\x0A\x08リュール\nCe temple me paraît prometteur. Soyons aux\naguets, je sens que nous allons y découvrir\nun nouveau Bracelet d'Emblème.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x06\x04チキ\nAh ! Je l'ai trouvé ! Regardez, c'est\nle Bracelet du Saint-Veilleur !\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nIntéressant... J'y décèle une présence\ninhabituelle. Procédons à l'incantation...\x0E\x04\x02\x00
MID_OP1_#004	Éveillez-vous, Emblème des Liens !\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x00\x0C\x06ルフレ\x023\n\x0E\x03\x02\x08\x06クロム\nEnfin, j'ouvre les yeux. Cela m'a paru\nune éternité. Suis-je vraiment resté en\nsommeil si longtemps ?\x0E\x04\x02\x00
MID_OP2_#002	Je ne pourrai plus te taquiner au\nsujet de tes interminables siestes.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nHum, bonjour à vous...\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06クロム\nVeuillez nous excuser, nous reprenons\nlentement nos esprits. Je suis Chrom,\nheureux de vous rencontrer.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x08\x06ルフレ\nIl n'est autre que le capitaine des Veilleurs.\nQuant à moi, je suis Daraen, son stratège.\x0E\x04\x02\x00
MID_OP2_#006	Est-ce vous qui nous avez sortis de notre\ntorpeur ? En ce cas, je vous prie d'accepter\nmes remerciements.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nC'est moi, en effet. Je suis le Dragon divin\n\x0E\x06\x03\x00. Est-il donc possible qu'un\nbracelet puisse recueillir deux Emblèmes ?\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x08\x06クロム\nOui, mais cela n'a rien de surprenant, car\nDaraen et moi-même partageons des liens\nque même le destin ne saurait briser.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nQue voulez-vous dire par là ?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x08\x06ルフレ\nJ'ai fait un serment solennel à Chrom le\njour de la disparition de sa sœur aînée,\nla Sainte-Reine Emmeryn.\x0E\x04\x02\x00
MID_OP2_#011	Aucun de nous ne pouvait rivaliser avec elle,\nmais ensemble, nos forces étaient comme\ntranscendées.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x08\x06クロム\nÀ compter de ce jour-là, nous nous sommes\nsoutenus mutuellement à travers les pires\népreuves et face aux plus grands dangers.\x0E\x04\x02\x00
MID_OP2_#013	Ma sœur s'était battue pour instaurer la paix,\net Daraen et moi avons fait de ce rêve une\nréalité en joignant nos forces.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nQuel récit exaltant, d'autant que nous nous\nbattons également pour rétablir la paix dans\nnotre monde.\x0E\x04\x02\x00
MID_OP2_#015	Seriez-vous prêts à œuvrer de nouveau\npour un avenir meilleur tous les deux,\nmain dans la main ?\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x08\x06クロム\nNaturellement, ce serait un honneur.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0A\x08リュール\nUn honneur ? Mais je ne vous ai pas encore\nprésenté la menace qui pèse sur nous !\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x08\x06クロム\nMa confiance vous était toute acquise à la\nseconde où mon regard a croisé le vôtre.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x08\x06ルフレ\nChrom écoute toujours son instinct. Alors que\nj'avais totalement perdu la mémoire, il m'a fait\nimmédiatement confiance, à moi aussi.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08リュール\nEh bien, je ne peux que vous remercier\nd'avoir ainsi foi en moi.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x08\x06クロム\nJ'estime néanmoins qu'il serait de bon ton,\navant de vous prêter main-forte, d'apprécier\nde quel bois vous êtes fait\x0E\x0A\x00\x06
MID_OP2_#022	\x0E\x03\x02\x08\x06ルフレ\nCertainement. Triompher au combat requiert\nforce et détermination, et nous devons nous\nassurer que vous possédez de telles qualités.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x08\x06クロム\nN'y voyez là rien de solennel, il ne s'agit pas\nd'un examen de passage. Montrez-nous de quoi\nvous êtes capable et cela suffira, assurément.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x0A\x08リュール\nJe comprends. Dans ce cas, commençons !\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クロム\x02b\n\x0E\x05\x01\x14\x06クロム\nRelax\n\x0E\x03\x02\x08\x06クロム\nCombattez sans hésitation et avec\ntoute la force dont vous êtes capable.\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x00\x0C\x06ルフレ\x02t\n\x0E\x05\x01\x16\x06ルフレ\x0CNormal\n\x0E\x03\x02\x08\x06ルフレ\nVoyons si vous saurez vous adapter\nà notre stratégie.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nCette barrière nous bloque le passage,\nil faut trouver un moyen de la briser.\x0E\x04\x00\x00
