MJID_DragonLord	Enfant dragon
MJID_H_DragonLord	Descendant de la lignée des dragons\nremontant aux temps anciens. Utilise\ndes épées propres au Dragon divin.
MJID_DragonKing	Dragon divin
MJID_H_DragonKing	Gardien du pouvoir du grand dragon\nrégnant. Utilise les arts martiaux et\nles épées du Dragon divin.
MJID_ShadowLord	Enfant déchu\x0E\x0A\x00\x06
MJID_H_ShadowLord	Sbire sous l'emprise du Dragon\ndéchu. Utilise de puissantes\ntechniques d'épée.
MJID_ShadowPrincess	Enfant déchue
MJID_H_ShadowPrincess	Héritière de sang du Dragon déchu.\nExcelle dans les compétences des\ndéchus et la puissante magie noire.
MJID_ShadowKing	Roi déchu
MJID_H_ShadowKing	Son rêve est de régner sur le monde\nainsi qu'un tyran. Manie les arts des\nténèbres et sème la destruction.
MJID_ShadowDragon	Grand déchu
MJID_H_ShadowDragon	Le Dragon déchu doté des Anneaux\nd'Emblèmes. Peut désormais ouvrir\nun portail vers d'autres mondes.
MJID_AvenirLC	Noble
MJID_H_AvenirLC	Issu d'une famille royale.\nRemarquable lancier très à l'aise\nà cheval.
MJID_Avenir	Avenir
MJID_H_Avenir	Élégant prince montant un destrier\nblanc au combat. Excellent lancier,\négalement capable de manier l'épée.
MJID_FleurageLC	Noble
MJID_H_FleurageLC	Issue d'une famille royale.\nRemarquable mage sachant\négalement manier l'épée.
MJID_Fleurage	Vidame
MJID_H_Fleurage	Mage se servant de son épée pour\ntaillader les mages ennemis. Sait\négalement manier le bâton.
MJID_SuccesseurLC	Lord
MJID_H_SuccesseurLC	Issu d'une famille régnant sur une\nnation. Remarquable épéiste.
MJID_Successeur	Successeur
MJID_H_Successeur	Son sang charrie la volonté et la\nforce nécessaires pour régner sur la\nnation. Doué à l'épée et à la hache.
MJID_TirailleurLC	Lord
MJID_H_TirailleurLC	Issu d'une famille régnant sur une\nnation. Remarquable archer.
MJID_Tirailleur	Tireur d'élite
MJID_H_Tirailleur	Archer à la précision inégalable.\nChacune de ses flèches peut éliminer\nun ennemi.
MJID_LindwurmLC	Dompteuse
MJID_H_LindwurmLC	Chevalier en communion avec\nles animaux. Manie la magie et\nles bâtons à dos de wyverne.
MJID_Lindwurm	Lindwurm
MJID_H_Lindwurm	Mage montant une wyverne afin de\nsemer la destruction depuis les airs.\nManie de puissants bâtons et sorts.
MJID_SleipnirLC	Dompteuse
MJID_H_SleipnirLC	Chevalier en communion avec les\nanimaux. Survole la mêlée à dos de\npégase avec un tome ou un bâton.
MJID_Sleipnir	Chev. Sleipnir
MJID_H_Sleipnir	Chevalier montant le charmant\npégase Sleipnir. Manie de puissants\nbâtons ainsi que des tomes.
MJID_PitchforkLC	Sentinelle
MJID_H_PitchforkLC	Sentinelle défendant son pays\nl'arme à la main, notamment la\nlance qu'elle manie avec maestria.
MJID_Pitchfork	Piquière
MJID_H_Pitchfork	Lancière pourfendant les lignes\nennemies. Ses assauts chorégraphiés\nsont le prélude à une mort certaine.
MJID_CupidoLC	Sentinelle
MJID_H_CupidoLC	Sentinelle défendant son pays l'arme\nà la main, notamment l'arc qu'il\nmanie volontiers à dos de monture.
MJID_Cupido	Cupidon
MJID_H_Cupido	Charmant cavalier archer se battant\navec désinvolture. Excelle à l'arc et\nà l'épée et se joue de l'ennemi.
MJID_SwordFighter	Soldat (épée)
MJID_H_SwordFighter	Fantassin dont l'excellence à l'épée\nn'a d'égale que les capacités\nd'esquive.
MJID_SwordMaster	Bretteur
