MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x023\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nEt voilà, le château !\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08セリーヌ\nIl y règne un calme suspect... Où sont les\nchevaliers ? Et les soldats elusiens ?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nTu disais qu'ils marchaient sur le château\nlorsque tu es partie.\x0E\x04\x02\x00
MID_OP1_#004	Il est donc probable qu'ils aient pénétré son\nenceinte.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08セリーヌ\nMais alors... Qu'adviendra-t-il de ceux qui y\nvivent ? De Mère ?!\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nDépêchons-nous.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x00\x06\x04PP\n\x0E\x03\x00\x1C\x16M005_Irc_ボス\x021\n\x0E\x03\x00\x0A\x04イヴ\x022\n\x0E\x03\x02\x06\x04イヴ\n \x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x18\x16M005_Irc_ボス\nBon, ma petite Majesté. On a pris le château.\nMaintenant, parle : où se cache l'anneau ?\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x06\x04イヴ\nQui sait ?\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x18\x16M005_Irc_ボス\nEst-il à l'intérieur du château ? À l'extérieur ?\nAllons, je te pose la question gentiment.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x06\x04イヴ\nJe n'ai pas l'habitude de parler avec la vermine.\nEt donc avec vous, tous autant que vous êtes.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x18\x16M005_Irc_ボス\nEn voilà une qui a la langue bien pendue.\nTu crois peut-être que j'hésiterais à te tuer ?!\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x00\x0C\x06セピア\x023\n\x0E\x03\x02\x08\x06セピア\nJe m'en abstiendrais à\nvotre place, très cher.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x18\x16M005_Irc_ボス\nDame Zephia !\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x08\x06セピア\nSa Majesté ne nous apprendra rien si nous la\ntuons. Par ailleurs, j'apporte des nouvelles.\x0E\x04\x02\x00
MID_OP2_#010	L'un de nos soldats a vu la princesse\nprendre la fuite avant notre arrivée.\x0E\x04\x02\x00
MID_OP2_#011	Auriez-vous demandé à votre progéniture\nde mettre l'anneau en lieu sûr ?\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x06\x04イヴ\n \x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x08\x06セピア\nAh, quelle tragédie ! Il nous serait tout à fait\nodieux de recourir à la violence.\x0E\x04\x02\x00
MID_OP2_#014	Mais... Vous ne nous laissez guère d'autre choix\nque d'occire tout ce qui respire entre ces murs.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x06\x04イヴ\nPitié, non !\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x023\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMère !\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0A\x08セリーヌ\nMère, nous sommes là !\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x01\x0A\x08セリーヌ\n\x0E\x03\x00\x0A\x04イヴ\x022\n\x0E\x03\x02\x06\x04イヴ\nAlfred ! Céline !\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x00\x0C\x06セピア\x024\n\x0E\x03\x02\x08\x06セピア\nOh, voyez-vous ça. Les petits sont de retour\nau bercail.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x01\x06\x04イヴ\n\x0E\x03\x01\x08\x06セピア\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x023\n\x0E\x03\x02\x0E\x0Cアルフレッド\nVile engeance d'Elusia ! Éloignez-vous d'elle !\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x01\x0A\x08セリーヌ\n\x0E\x03\x00\x0A\x04イヴ\x022\n\x0E\x03\x00\x0C\x06セピア\x024\n\x0E\x03\x02\x08\x06セピア\nHi hi ! Et qui nous y forcera ? Vous ?\x0E\x04\x02\x00
MID_OP3_#007	Mais vous tombez bien. Nous verrons ainsi de\nnos propres yeux si la princesse a l'anneau.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x06\x04イヴ\nNon ! Je vous en supplie, ne touchez pas à\nmes enfants !\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x08\x06セピア\nMais aucun problème, il vous suffit de me dire\noù se trouve l'anneau.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x06\x04イヴ\nJe...\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x08\x06セピア\nC'est bien ce que je pensais. La petite Céline\ndétient l'anneau, n'est-ce pas ?\x0E\x04\x02\x00
MID_OP3_#012	Il nous faudra donc la tuer. Ainsi que le prince,\npour faire bonne mesure.\x0E\x04\x02\x00
MID_OP3_#013	Emmenez Sa Majesté. Nous continuerons cet\nentretien plus tard, si cela s'avère nécessaire.\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x06\x04イヴ\nLâchez-moi !\x0E\x04\x02\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMère !\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nLâchez-la !\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x08\x06セピア\nIl suffit. Arrêtez un peu de jouer la comédie.\x0E\x04\x02\x00
MID_OP4_#004	Hm ? Vous... Vous me rappelez quelqu'un.\x0E\x04\x00\x00
MID_OP4_#005	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP4_#006	\x0E\x03\x02\x08\x06セピア\nNon. C'est impossible.\x0E\x04\x02\x00
MID_OP4_#007	Qui êtes-vous ?\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x0A\x08リュール\nJe suis le Dragon divin, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x02\x08\x06セピア\nBalivernes. Lumera était la dernière\nde son espèce.\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nVoilà la preuve flagrante que vous n'êtes au\ncourant de rien... Sa Divinité a sommeillé\npendant mille ans...\x0E\x04\x00\x00
MID_OP4_#011	\x0E\x03\x02\x08\x06セピア\nTiens donc ? Mais quand est-ce que la bête\naurait bien pu faire un rejeton ?\x0E\x04\x02\x00
MID_OP4_#012	Hmm... Dans ce cas, vous devez savoir ce qu'il\nest advenu de Lumera.\x0E\x04\x02\x00
MID_OP4_#013	Je me fais un sang d'encre pour elle depuis\ncette terrible bataille au château de Lythos.\x0E\x04\x00\x00
MID_OP4_#014	\x0E\x03\x02\x0A\x08リュール\nComment êtes-vous au courant\nde cette attaque ?\x0E\x04\x00\x00
MID_OP4_#015	\x0E\x03\x02\x08\x06セピア\nOn se le demande.\x0E\x04\x00\x00
