MID_CARD_KEYHELP_TURN_OVER	Recto/Verso
MID_CARD_KEYHELP_EDIT	Modifier
MID_CARD_KEYHELP_CARD_LIST	Liste
MID_CARD_KEYHELP_STAMP_LIST	Liste
MID_CARD_KEYHELP_STAMP_SWITCHING	Modifier
MID_CARD_KEYHELP_DELETE	Effacer
MID_CARD_KEYHELP_END	Terminer
MID_ProfileCard	Carte de profil
MID_ProfileCard_MyCard	Ma carte
MID_ProfileCard_MyCard_Description	Modifier le texte et l'apparence\nde votre carte de profil.
MID_ProfileCard_Notes_Terms	Les contenus partagés sont soumis aux\nrègles communautaires, disponibles sur\nle site de Nintendo. Soyez respectueux\ndes autres joueurs.
MID_ProfileCard_Album	Autres cartes
MID_ProfileCard_Album_Help	Voir/Effacer les autres cartes.
MID_ProfileCard_Album_Description	Consulter les cartes de profil\nissues de la tour des épreuves.
MID_ProfileCard_Photo	Séance photo
MID_ProfileCard_Photo_Description	Photographier vos alliés préférés\npour votre carte de profil.
MID_ProfileCard_Photo_Warning	Extérieurs de Somniel uniquement.
MID_ProfileCard_Setting	Confidentialité
MID_ProfileCard_Setting_Description	Choisir la confidentialité\nde votre carte de profil.
MID_ProfileCard_Setting_Warning_Public	Statut actuel : carte publique
MID_ProfileCard_Setting_Warning_Private	Statut actuel : carte privée
MID_ProfileCard_Setting_Confirm	Choisissez le niveau de confidentialité que\nvous voulez donner à votre carte de profil.\n(Vous pouvez changer ce paramètre à tout\nmoment. Notez que cela n'affecte pas les copies\nde la carte déjà transmises à d'autres joueurs.)
MID_ProfileCard_Setting_Public	La rendre publique
MID_ProfileCard_Setting_Private	La rendre privée
MID_ProfileCard_ShowStamp	Tampons
MID_ProfileCard_ShowStamp_Description	Choisir d'afficher ou non les\ntampons des cartes de profil\nobtenues.
MID_ProfileCard_ShowStamp_Warning_Show	Statut actuel : tampons affichés
MID_ProfileCard_ShowStamp_Warning_Hide	Statut actuel : tampons non affichés
MID_ProfileCard_ShowStamp_Confirm	Choisissez si les tampons des cartes de profil\nobtenues doivent être affichés ou non. (Vous\npouvez changer ce paramètre à tout moment).
MID_ProfileCard_ShowStamp_Show	Afficher
MID_ProfileCard_ShowStamp_Hide	Ne pas afficher
MID_ProfileCard_Settings_Cannot_Change	Ce paramètre est restreint par le contrôle\nparental et ne peut pas être modifié.
MID_ProfileCard_Card_PlayerInfo	Infos du joueur
MID_ProfileCard_Card_TolalPlayTime	Temps de jeu
MID_ProfileCard_Card_Birthday	Anniversaire
MID_ProfileCard_Card_Difficulty	Difficulté
MID_ProfileCard_Card_GameMode	Mode
MID_ProfileCard_Card_FaivoriteCharacter	Personnage préféré
MID_ProfileCard_Card_Relay	Épreuves de Relais
MID_ProfileCard_Card_FavoriteMap	Carte préférée
MID_ProfileCard_Card_PlayingCount	Parties jouées
MID_ProfileCard_Card_Versus	Épreuves du Multivers
MID_ProfileCard_Card_ThemeOfEditMap	Thème de la carte
MID_ProfileCard_Card_VersusRate	Class. (batailles perso.)
MID_ProfileCard_Card_SortieCount	Unités déployées
MID_ProfileCard_Card_AchievementCount	Exploits complétés
MID_ProfileCard_MyCard_Help	Voir et modifier votre carte.
MID_ProfileCard_Edit	Modifier la carte
MID_ProfileCard_Edit_Help	Choisissez l'élément à modifier.
MID_ProfileCard_Edit_Title	Titre
MID_ProfileCard_Edit_Title_Help	Choisissez un titre.
MID_ProfileCard_Edit_Title_Caption	Liste des titres
MID_ProfileCard_Edit_Comment	Devise
MID_ProfileCard_Edit_Comment_Help	Choisissez trois éléments.
MID_ProfileCard_Edit_Comment_Caption	Créer une devise
MID_ProfileCard_Edit_FavoriteCharacter	Personnage préféré
MID_ProfileCard_Edit_FavoriteCharacter_Help	Choisissez un personnage.
MID_ProfileCard_Edit_FavoriteCharacter_Caption	Liste des personnages
MID_ProfileCard_Edit_FavoriteRelayMap	Carte préférée
MID_ProfileCard_Edit_FavoriteRelayMap_Help	Choisissez une carte.
MID_ProfileCard_Edit_FavoriteRelayMap_Caption	Liste des cartes
MID_ProfileCard_Edit_Bg	Fond
MID_ProfileCard_Edit_Bg_Help	Choisissez un motif.
MID_ProfileCard_Edit_Bg_Caption	Liste des fonds
MID_ProfileCard_Edit_Frame	Bordure
MID_ProfileCard_Edit_Frame_Help	Choisissez un motif.
MID_ProfileCard_Edit_Frame_Caption	Liste des bordures
MID_ProfileCard_Edit_TextDeco	Thème du texte
MID_ProfileCard_Edit_TextDeco_Help	Choisissez un thème.
MID_ProfileCard_Edit_TextDeco_Caption	Liste des thèmes
MID_ProfileCard_Edit_TextColor	Couleur du texte
MID_ProfileCard_Edit_TextColor_Help	Choisissez la couleur du texte.
MID_ProfileCard_Edit_TextColor_Caption	Liste des couleurs
MID_ProfileCard_Edit_CharecterStamp	Portrait
MID_ProfileCard_Edit_CharecterStamp_Help	Choisissez un portrait.
MID_ProfileCard_Edit_CharecterStamp_Caption	Liste des portraits
MID_ProfileCard_Edit_Stamp	Tampons
MID_ProfileCard_Edit_Stamp_Help	Décorez votre carte de profil.
MID_ProfileCard_Edit_Stamp_Count	Tampons
MID_ProfileCard_Edit_Stamp_ConfirmToClear	Effacer tous les tampons ?\nCette action est irréversible.
MID_ProfileCard_Edit_Stamp_ConfirmToClear_Yes	Tout effacer
MID_ProfileCard_Edit_Stamp_ConfirmToClose	Arrêter l'ajout de tampons ?
MID_ProfileCard_Edit_Stamp_SaveAndClose	Sauvegarder et arrêter
MID_ProfileCard_Edit_Stamp_NoSaveAndClose	Arrêter sans sauvegarder
MID_ProfileCard_Edit_Stamp_ContinueToEdit	Annuler
MID_ProfileCard_Album_ConfirmToDelete	Effacer la carte appartenant à \x0E\x01\x00\x00 ?
MID_ProfileCard_Album_Delete	Effacer
MID_ProfileCard_Possession	Cartes possédées
MID_ProfileCard_Language_Attention	Votre devise a été réinitialisée car le\nparamètre de la langue a été modifié.
MID_ProfileCard_Net_Save_Confirm_Match	Sauvegarder la carte de profil de l'adversaire ?
MID_ProfileCard_Net_Save_Confirm_Relay	Sauvegarder les cartes de profil de vos\nadversaires dans les épreuves de Relais ?
MID_ProfileCard_Net_Save_Done	Sauvegarde effectuée.
MID_ProfileCard_Net_Overlimit_Title	Effacer des cartes
MID_ProfileCard_Net_Overlimit_Title_Help	Choisissez la carte à effacer.
MID_ProfileCard_Net_Overlimit_Incomplete	Vous avez dépassé le nombre maximal\nde cartes de profil, vous devez en effacer.
MID_ProfileCard_Comment_CharacterFeeling	Traits de personnalité
MID_ProfileCard_Comment_FeaturePosition	Rôles et armes
MID_ProfileCard_Comment_AdpositionConjection	Conjonctions et titres
MID_ProfileCard_Comment_Tearms	Termes du jeu
MID_ProfileCard_Comment_ClassStyle	Noms de classes et d'unités
MID_ProfileCard_Comment_PersonName	Noms de personnages
MID_STAMP_KEYHELP_TITLE	Commandes
MID_STAMP_KEYHELP_PUT_A_STAMP	Appliquer
MID_STAMP_KEYHELP_LR_REVERSE	Inverser
MID_STAMP_KEYHELP_ROTATE_SCALE	Taille/Rotation
MID_STAMP_KEYHELP_ROTATE_SCALE_RESET	Rétablir le tampon
MID_STAMP_KEYHELP_HIGH_SPEED	Mouvement rapide
MID_STAMP_KEYHELP_ERASE_ALL	Tout effacer
MID_STAMP_KEYHELP_TWEAK	Ajustement
MID_ProfileCard_Stamp_Unit	Unités
MID_ProfileCard_Stamp_GodUnit	Emblèmes
MID_ProfileCard_Stamp_Weapon	Armes
MID_ProfileCard_Stamp_GodWeapon	Armes de fusion
MID_ProfileCard_Stamp_RodAndItem	Bâtons et objets
MID_ProfileCard_Stamp_System	Système
MID_ProfileCard_Stamp_Others	Autres
PCTMID_FireEmblem	Fire Emblem
PCTMID_ShadowDragon	Blade of Light
PCTMID_NewShadowDragon	Shadow Dragon
PCTMID_MysteryOfTheEmblem	Mystery of the Emblem
PCTMID_NewMysteryOfTheEmblem	New Mystery of the Emblem
PCTMID_SideStory	Gaiden
PCTMID_GenealogyOfTheHolyWar	Genealogy of the Holy War
PCTMID_Thracia776	Thracia 776
PCTMID_TheBindingBlade	The Binding Blade
PCTMID_TheBlazingBlade	The Blazing Blade
PCTMID_TheSacredStones	The Sacred Stones
PCTMID_PathOfRadiance	Path of Radiance
PCTMID_RadiantDawn	Radiant Dawn
PCTMID_Awakening	Awakening
PCTMID_Fates	Fates
PCTMID_Birthright	Héritage
PCTMID_Conquest	Conquête
PCTMID_Echoes	Echoes
PCTMID_ThreeHouses	Three Houses
PCTMID_Heroes	Heroes
PCTMID_Marth	« Pour Altea ! »
PCTMID_Celica	« Mila soit avec vous. »
PCTMID_Siglud	« Levez votre arme ! »
PCTMID_Leaf	« Coûte que coûte ! »
PCTMID_Roy	« Je ne perdrai pas ! »
PCTMID_Lin	« L'appel des plaines... »
PCTMID_Eirik	« C'est la guerre ! »
PCTMID_Ike	« Hors de mon chemin. »
PCTMID_Micaiah	« Je dois me battre ! »
PCTMID_Lucina	« Je défie mon destin ! »
PCTMID_Kamui	« J'ai fait mon choix ! »
PCTMID_Byleth	« La leçon commence ! »
PCTMID_Lueur	« Pour le Dragon divin ! »
PCTMID_RelianceC_WithAllUnit	Rang C
PCTMID_RelianceB_WithAllUnit	Rang B
PCTMID_RelianceA_WithAllUnit	Rang A
PCTMID_RelianceRing	Rang d'anneau
PCTMID_SortieWithAllUnitCount5	Mobilisation
PCTMID_EncountBattleCount45	Épreuve du feu
PCTMID_BattleCount5000	Vétéran aguerri
PCTMID_DefeatSoldierCount500	Fléau des soldats
PCTMID_DefeatMorphCount500	Fléau des Aberrations
PCTMID_DefeatBanditsCount500	Fléau des voleurs
PCTMID_CaneCount500	Berger
PCTMID_CriticalCount300	Force critique
PCTMID_EngageCount300	Fusion !
PCTMID_EngageAttackCount300	Attaque de fusion
PCTMID_AvoidanceCount500	Dérobade
PCTMID_ChainGuardCount300	Ange gardien
PCTMID_ChainAttackCount300	Coup de main
PCTMID_ChainUnitCount10	Coordination
PCTMID_BreakCount300	Brise-garde
PCTMID_SmashCount50	Repoussement
PCTMID_MiniGamePlayCount100	Pause ludique
PCTMID_CreateRingCount5000	Collectionnite
PCTMID_SynthesizeRingCount500	Anneaux réunis
PCTMID_GetBondRingC_Count1000	Rang C
PCTMID_GetBondRingB_Count100	Rang B
PCTMID_GetBondRingA_Count50	Rang A
PCTMID_GetBondRingS_Count10	Rang S
PCTMID_CleaningRingCount100	Impeccable
PCTMID_InvestmentFileneStage5	Émissaire de Firene
PCTMID_InvestmentBrodiaStage5	Émissaire de Brodia
PCTMID_InvestmentIrcionStage5	Émissaire d'Elusia
PCTMID_InvestmentSolumStage5	Émissaire de Solm
PCTMID_InvestmentStage5All	Émissaire d'Elyos
PCTMID_InvestmentTotalValue1000000	Richesse
PCTMID_CookingCount100	Cordon-bleu
PCTMID_CookingG_Count5	Cuistot débutant
PCTMID_CookingF_Count5	Cuistot prometteur
PCTMID_CookingE_Count5	Cuistot de rue
PCTMID_CookingD_Count5	Apprenti cuistot
PCTMID_CookingC_Count20	Cuistot passable
PCTMID_CookingB_Count20	Cuistot respectable
PCTMID_CookingA_Count20	Cuistot célèbre
PCTMID_CookingS_Count5	Cuistot d'élite
PCTMID_CookingSS_Count3	Cuistot légendaire
PCTMID_Sleep100	Tête d'oreiller
PCTMID_WakeUpC_People30	Lève-tard
PCTMID_WakeUpB_People30	Réveil en fanfare
PCTMID_WakeUpA_People30	Expert du sommeil
PCTMID_WakeUpS	Réveil infaillible
PCTMID_ArenaCount100	Féru d'exercice
PCTMID_ArenaWinCount100	Gladiateur
PCTMID_ArenaVsGodCount100	Tisseur de liens
PCTMID_ArenaWinVsGodCount100	Emblème victorieux
PCTMID_BuyWeaponCount100	Arsenal offensif
PCTMID_BuySwordCount50	Maître des épées
PCTMID_BuyLanceCount50	Maître des lances
PCTMID_BuyAxeCount50	Maître des haches
PCTMID_BuyBowCount50	Maître des arcs
PCTMID_BuyKnifeCount50	Maître des dagues
PCTMID_BuyMagicCount50	Maître de la magie
PCTMID_BuyFistCount50	Maître des arts
PCTMID_SellWeaponCount50	Sens des affaires
PCTMID_BuyItemCount500	Prévoyance ultime
PCTMID_SellItemCount50	Marchandage
PCTMID_BuyRodCount50	Maître des bâtons
PCTMID_BuyAccessoryCount25	Victime de la mode
PCTMID_ChangeAccessoryCount100	Sur son trente-et-un
PCTMID_RefineCount100	Orfèvre
PCTMID_RefineSwordCount50	Orfèvre des épées
PCTMID_RefineLanceCount50	Orfèvre des lances
PCTMID_RefineAxeCount50	Orfèvre des haches
PCTMID_RefineBowCount50	Orfèvre des arcs
PCTMID_RefineKnifeCount50	Orfèvre des dagues
PCTMID_RefineMagicCount50	Orfèvre des tomes
PCTMID_RefineFistCount50	Orfèvre des arts
PCTMID_EngraveCount100	Gravure
PCTMID_PlayTime240Hours	Fusion totale
PCTMID_ClearedChapter26	Sauveur
PCTMID_VersusCount200	Amateur de défis
PCTMID_VersusWinCount100	Champion
PCTMID_RelayCount200	Esprit d'équipe
PCTMID_RelayWinCount100	Chef d'équipe
PCTMID_ChallengeMap1Rank50	Plaine verdoyante ☆
PCTMID_ChallengeMap2Rank50	Champ fleuri ☆
PCTMID_ChallengeMap3Rank50	Pic montagneux ☆
PCTMID_ChallengeMap4Rank50	Forêt hivernale ☆
PCTMID_ChallengeMap5Rank50	Dunes du désert ☆
PCTMID_ChallengeMap6Rank50	Zone volcanique ☆
PCTMID_E004_Kill_Count	Ennemis croisés
PCCMID_Nothing	(vide)
PCCMID_Feeling1	hâte
PCCMID_Feeling2	sage
PCCMID_Feeling3	philosophe
PCCMID_Feeling4	tranquille
PCCMID_Feeling5	lâche
PCCMID_Feeling6	timide
PCCMID_Feeling7	dynamique
PCCMID_Feeling8	candide
PCCMID_Feeling9	charitable
PCCMID_Feeling10	chou
PCCMID_Feeling11	frénétique
PCCMID_Feeling12	brave
PCCMID_Feeling13	serviable
PCCMID_Feeling14	sociable
PCCMID_Feeling15	diplomate
PCCMID_Feeling16	lucide
PCCMID_Feeling17	poète
PCCMID_Feeling18	rustique
PCCMID_Feeling19	juste
