MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nOooh, regardez ce que j'ai trouvé là !\nUn Alfred ! Si je m'attendais à en dénicher\nun dans un endroit pareil !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nSalut, Yunaka ! Tu commences à prendre\ntes marques ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ユナカ\nCarrément ! Tout le monde est adorable\navec moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nÀ la limite, l'accueil est presque trop\nchaleureux, si vous voyez ce que je veux dire.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ユナカ\nPersonne se pose de questions. Je pourrais\nêtre n'importe qui. Et si j'étais une grosse\nlégume ? Qui le saurait ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\nY a pas un chat pour venir creuser un peu,\nhistoire d'en avoir le cœur net. On va dire\nque ça tombe bien...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, tu veux que j'enquête de plus près ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ユナカ\nTout ce que je dis, c'est que ce serait\nplus logique.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nEh bien, j'ai certes envie de mieux te connaître.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est vrai. On devrait papoter un peu quand\non en aura l'occasion.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nPapoter ? C'est ça, votre façon de collecter des\nrenseignements ? Vous trouvez ça malin de\nprendre un air aussi détaché avec moi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ユナカ\nRéfléchissez un peu, enfin ! Et si j'étais\nune espionne à la solde de l'ennemi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nÇa m'étonnerait. J'ai confiance en toi.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\nPar les cieux, quelle folie ! Et qu'est-ce\nqui vous inspire donc cette confiance\nimméritée ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ユナカ\nN'avez-vous donc jamais été trahi ? Doublé ?\nRoulé dans la farine ? Embobiné ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nHa ha ! On me pose tout le temps cette\nquestion !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\n« On me pose tout le temps cette question »,\nqu'il dit, et sans un battement de cil ! Vous\nne doutez de rien, vous !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\nJe n'arrive pas à vous suivre, Alfred.\nEnfin, à lame offerte, on ne scrute pas\nl'aiguisage...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nVous me faites confiance, et j'apprécie cela.\nMerci.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nDe rien, Yunaka !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nAlors, d'où tu viens ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nOooh, regardez-le ! Décochant ses questions\ncomme un archer camouflé, ses flèches\naffûtées !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nEn me tendant une embuscade pareille, vous\navez en effet toutes les chances d'obtenir des\nréponses spontanées.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nParfait ! Alors, je t'écoute.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nEuh... Oups...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\nDe quelque part, euh... en Brodia...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, d'accord. Merci de parler un peu de toi !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nÉcoutez... Puis-je vous demander de fermer\nvotre bouche à ce sujet, voire de coudre vos\nlèvres avec du fil renforcé ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ユナカ\nÇa pourrait mal tourner pour moi, si ça se savait\net que les gens commençaient à bavarder.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nCompris. Motus.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nMerci, Alfred. Je sais que vous cherchez juste\nà discuter un peu plus avec moi, mais ce n'est\npas si simple.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nÇa pourrait vraiment tourner au vinaigre pour\nnous deux si vous vous mettiez à poser les\nmauvaises questions.\x0E\x04\x00\x00
