MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nOh, bonjour, Madame ! Vous êtes plus\nrayonnante que jamais.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nMerci, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クロエ\nNous avons un peu de temps libre\naujourd'hui. Comment souhaitez-vous\nl'occuper ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nVoilà une excellente question.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nQue dirais-tu de monter ton pégase pour\nnous rendre à une plantation de thé à\nproximité ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nJ'en serais ravie !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nCeci dit, nous ne disposons pas d'un temps\nlibre illimité non plus. Je crains que ce ne soit\npas tout à fait comme autrefois.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セリーヌ\nAh, quand reviendront les jours où l'on\npassait des heures, juste toutes les deux...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クロエ\nPrincesse Céline ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nOh... Faisons autre chose.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クロエ\nQuand cette guerre sera finie, je vous\nemmènerai où il vous plaira, aussi souvent\nque vous le désirerez.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クロエ\nNous irons dans toutes les plantations\nde thé du monde.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nEt nous consacrerons notre temps à admirer\nde splendides paysages tout en sirotant de\ndélicieux thés.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nNe serait-ce pas formidable ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セリーヌ\nEn effet. C'est une merveilleuse idée, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セリーヌ\nJe te remémorerai cette promesse lorsque\nle temps sera venu.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クロエ\nEt je serai ravie de l'honorer.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nEh bien, Votre Altesse ! Mon visage est-il si\namusant que sa simple vue provoque\nvotre hilarité ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nPardon, Chloé. Je ne me moquais pas de toi.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セリーヌ\nEn vérité, le souvenir de notre première\nrencontre me faisait pouffer de rire.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nOh oui, comment oublier cela ? Ma première\nrencontre avec la princesse...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クロエ\nVous étiez sur le port, le visage inondé\nde larmes. C'était adorable.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セリーヌ\nJe n'irais pas jusqu'à dire que j'étais\nen sanglots !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nLe navire où je voulais embarquer ne pouvait\nprendre le large. J'en étais désemparée, voilà\ntout.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nEt c'est là que je suis arrivée !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06クロエ\nJe vous ai dit que si vous vouliez aller quelque\npart, je pouvais vous y emmener à dos\nde pégase.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セリーヌ\nEt nous voilà en route vers une plantation\nde thé.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nIl m'était déjà arrivé de me faufiler en douce\nhors des murs du château, mais c'était là une\nexpédition d'une toute autre envergure.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nJe n'avais jamais chevauché un pégase.\nJ'étais dans un tel état d'exaltation,\nje m'en souviens comme si c'était hier !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セリーヌ\nLa première grande aventure\nd'une longue série !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クロエ\nCette journée restera toujours gravée dans\nma mémoire.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クロエ\nQuand j'ai appris que vous étiez une princesse,\nj'ai failli m'en évanouir, tant j'étais choquée.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\nC'est quand même pas tous les jours qu'on\ndevient copine avec une fille qui est en fait\nune princesse !\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セリーヌ\nHa ha ! Je suis désolée. J'espère que le choc\nn'aura pas été trop brutal.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\nOh, c'était un honneur. J'avais l'impression\nde vivre un conte de fées !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クロエ\nCe jour-là, on peut dire qu'une vie nouvelle\na commencé pour moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セリーヌ\nTiens donc ? Dis-m'en plus.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クロエ\nOh, ce serait avec joie. Mais pas aujourd'hui.\x0E\x04\x00\x00
