MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nBonjour, Clanne. Qu'est-ce que vous êtes\nen train de faire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nOh, Dame Veyle. Je fais mariner des légumes.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nVous faites mariner ? C'est-à-dire ?\nC'est la première fois que j'entends ça.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クラン\nEh bien, on peut conserver de la viande ou\ndes légumes en les faisant mariner dans du\nvinaigre. Et avec des épices, c'est délicieux.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クラン\nEt je suis justement en train de concevoir\nune nouvelle recette pour mes légumes.\nVoulez-vous y goûter ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nOh oui, ça me tente bien !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クラン\nJe suis assez fier de mes marinades, qu'est-ce\nque vous en pensez ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nHmm. Je trouve ça plutôt... fade.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nPardon ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nJe veux dire... Vous le pensez vraiment ?\nPersonnellement, je trouvais que cette platée\navait exactement l'acidité qu'il fallait.\x0E\x04\x00\x00
