MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x00\x0C\x06フラン\x021
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06フラン\nCe petit haut est super mignon. C'est presque\ntrop pour moi. Ooh, et cette jupe rouge est\nd'un chic !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nOh non. Ils proposent même des accessoires,\nici ? Bon... Au revoir, mes économies.\nOn a passé de bons moments, quand même.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nM'en parle pas. Je dois me retenir de dévaliser\ncette boutique.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nPrincesse Timerra ! Que faites-vous ici ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nDes achats... Pourquoi, c'est bizarre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nOh, euh, non ! Mais j'aurais cru que\ndes domestiques feraient ça pour vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nJ'aime faire les boutiques moi-même. Incognito.\nÇa me permet d'essayer des tenues et de voir si\nelles me vont.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nOuah, J'adore l'idée ! On dirait presque que\nvous êtes une personne normale.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nHa ha, merci ! Enfin, je crois !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nミスティラ\nFramme, je dois dire que tu as un certain style.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nLes couleurs que tu combines sont élégantes\net attirent le regard. Et tes rubans ajoutent une\ncertaine finesse.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nEt je n'ai encore rien dit sur ta jupe !\nElle est complètement en phase avec\nta personnalité.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\nVous le pensez vraiment ? Je suis honorée !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06フラン\nJ'ai passé du temps à créer ce style. Il m'a fallu\nun moment pour trouver la combinaison idéale.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nCrois-moi, je te comprends. Il n'est pas simple\nde trouver l'équilibre parfait entre allure et\nusage.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nExactement ! Je veux porter quelque chose\nde pratique et super tendance. Est-ce trop\ndemander ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nJe n'aurais pas mieux dit !\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nJe parle mode avec la princesse Timerra !\nPincez-moi, je rêve !\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nミスティラ\nTiens, j'ai une idée. Tu voudrais aller m'acheter\ndes vêtements, de temps en temps ?\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06フラン\nSérieux ? Sérieux ?! SÉRIEUX ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nミスティラ\nSérieux. Et je pourrais en faire autant pour toi.\nOn va refaire nos garde-robes !\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06フラン\nOn va s'amuser comme jamais !\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0C\nミスティラ\nAlors, c'est décidé !\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06フラン\nJ'ai hâte de vous élaborer la tenue idéale !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nミスティラ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\n♪Le style de tes vêtements...\nDépassera l'entendement.♪\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nElle est chouette, votre chanson,\nPrincesse Timerra !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nミスティラ\nParce que je m'amuse comme une folle ! C'est\ngrisant de choisir une tenue pour quelqu'un\nd'autre, pour changer !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nTu as déjà tes emplettes ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nOuais ! Je suis prête.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\nMoi aussi ! Bon, sans plus attendre...\nMontre-moi ce que tu as choisi !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nTenez-vous bien. Pour vous, j'ai sélectionné...\ncette adorable robe à froufrous !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nミスティラ\nAaah ! J'en suis déjà dingue !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nJe savais que ça vous plairait ! Touchez-moi\ndonc ce tissu. Si beau et épais à la fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nOh, hm. Vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\nOui ! Tous vos habits sont si légers, j'ai pensé\nque quelque chose d'un peu plus chaud pourrait\nvous plaire.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nQuelle, euh... gentille attention...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nQuelque chose ne va pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nHm ? Oh, pardon ! Je l'aime beaucoup, Framme.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\nBon, tu es prête à voir ce que je t'ai choisi ?\nTa-da ! Une toge grenat !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nQue c'est mignon !\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nTu trouves ? J'ai ajouté quelques accessoires\nvoyants pour faire ressortir sa teinture\nparticulière.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nJe l'adore ! C'est exactement ma couleur.\nLe style me plaît et laisse bien circuler l'air.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nミスティラ\nHa ha... N'est-ce pas ? J'ai pensé que\ntu aimerais une tenue chic et légère.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nミスティラ\nOh, mais... Zut !\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06フラン\nQu'y a-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nミスティラ\nJe viens de me rappeler que je dois y aller.\nDes affaires de princesse, tu vois le genre.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nミスティラ\nMes excuses, Framme. Mais je me rachèterai,\nje te le promets !\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x02\x08\x06フラン\nHm... C'était plutôt soudain.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06フラン\nJ'ai l'impression que quelque chose cloche...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06フラン\nElle n'a peut-être pas aimé la robe que\nj'ai choisie...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nJ'arrive pas à comprendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\nPourquoi est-elle partie tout à coup ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nHop ! Aaah...\nHop ! Aaah...
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nPrincesse Timerra ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\n... Je dois devenir plus forte...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nOn dirait que vous vous entraînez.\x0E\x04\x00\x00
