MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nSalut, Rosado. Si tu as un moment de libre,\nj'aurais une petite question à te poser.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nLaisse-moi deviner... Tu voudrais connaître mon\nsecret, savoir d'où je puise tout mon charme ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nDésolé, mais je n'ai pas de réponse à te donner.\nJ'ai toujours été adorable. Je crois que c'est\nmon destin, tout simplement.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nCe n'est pas le sujet qui m'intéresse.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nAh.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nTu sembles avoir une énergie inépuisable.\nIl paraît que tu peux travailler toute la nuit, et\nêtre en pleine forme le lendemain.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nOh, c'est exact. Veiller toute la nuit ne me pose\naucun problème. Je suis toujours en forme\nle lendemain.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nAh, je t'envie... J'aimerais en être capable,\nmoi aussi.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ジェーデ\nSi je pouvais travailler toute la nuit, je réussirais\nà écrire tellement plus de romans...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\nAurais-tu des astuces pour moi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nTu sais... Je n'y ai jamais trop réfléchi, en fait.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ロサード\nJe suis pratiquement sûr que c'est mon charme\nqui me laisse tenir toute la nuit sans la moindre\nfatigue. Tu devrais pouvoir en faire autant !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ジェーデ\nTon énergie... te vient de ton charme ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ジェーデ\nÇa paraît étrange... mais ça peut toujours\nvaloir le coup d'essayer.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nJe n'ai encore jamais cherché à être charmante.\nQuelques tuyaux d'un maître en la matière me\nrendraient bien service.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nJade... tu as frappé à la bonne porte ! Nous\nallons faire ressortir l'éclat de ton charme\nintérieur.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nEs-tu prête, Jade ? Aujourd'hui, nous allons\nlibérer la splendeur qui sommeille en toi.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nLibérer ? Il ne me semble pas retenir en moi\nvolontairement une face de ma personnalité...\nQue suis-je censée faire, au juste ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nLaisse s'exprimer ce qui monte spontanément\nen toi. Prends la pose, dis quelque chose...\nPeu importe, le tout est d'être toi-même !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ジェーデ\nHm. Très bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ジェーデ\n♪Hello, Rosado.♪\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nParfait ! Oui ! Tu es sensationnelle !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ジェーデ\nV-Vraiment ? Cela a fonctionné ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nVraiment, oui ! Maintenant, présente-toi à moi.\nDis-moi qui tu es.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\n♪Hello !♪Je suis...♪Jade.♪\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nJade ! Je t'assure que je ne dis pas ça à tout\nle monde... mais tu as un vrai talent inné.\nTu es ab-so-lu-ment adorable !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nHé hé...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ロサード\nTout va bien ? Qu'est-ce qui t'arrive ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nJe vais très bien. C'était juste un rire.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ジェーデ\nJe ne vois pas du tout comment ce stratagème\nest censé m'aider à travailler toute la nuit...\nÇa me paraît totalement ridicule.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\nHa ha ! Quel dommage... Tu vas donc arrêter\nlà ton cheminement vers le charme irrésistible ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nJe ne pense pas. Ça m'amuse beaucoup.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nJe veux voir jusqu'où je peux endurer tout cela.\nEt cette expérience m'inspire clairement de\nnouvelles idées de situations comiques.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\nBien ! Je t'accompagnerai tout au long de\nce cheminement, alors !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ジェーデ\n♪Hello, mon cher Rosado !♪\n♪Comment vas-tu ?♪\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ロサード\nJade, tu es incroyable ! À chaque fois que\ntu me salues, tu es encore plus charmante\nqu'à notre rencontre précédente !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nJ'avoue avoir bien pris goût à ton stratagème...\nC'est amusant d'y recourir sans que les autres\nne s'y attendent.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ロサード\nOn dirait que j'ai libéré une sorte de monstre\nde charme... Tant mieux pour toi !\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ジェーデ\nJe te remercie. Cela détend, de se laisser aller\net de se comporter avec frivolité comme ça...\nMême si je sais que ça n'est pas mon genre...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nC'est vrai. Ton visage ressemble plus à celui\nd'une statue en marbre. Élégante, majestueuse\net superbement mystérieuse.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nParfois, je me demande si je ne devrais pas\nfaire un effort pour être plus expressive.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nC'est justement cet air mystérieux qui fait de\ntoi quelqu'un d'unique. N'essaie surtout pas\nde t'en défaire.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\n♪Eh bien, dans ce cas...♪ Je ne le ferai pas.♪\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\nVoilà, là, c'est toi ! Et c'est d'un charme\npresque insupportable !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ジェーデ\nJe suis ravie que cette petite expérience nous\nait permis de mieux faire connaissance, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nCela ne m'a peut-être pas permis de trouver\nune source d'énergie secrète pour m'aider\nà écrire toute la nuit sans m'arrêter...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nMais ces leçons de comportement m'ont\nassurément aidée à mieux étoffer les petites\nmanies de certains de mes personnages.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nCela a été fort amusant de réfléchir à ce\nqui donne du charme. Un exercice créatif\ntrès intéressant.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ジェーデ\nMerci d'avoir partagé avec moi une partie de\nta personnalité. Nos discussions ont pris à mes\nyeux une importance tout à fait particulière.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nTu étais... l'essence même du charme.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nCette façon de laisser entrevoir tes sentiments\nles plus sincères... Comme un rayon de soleil,\ntout en pureté et en lumière.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\n♪Merci beaucoup...♪ mais il me reste tant à\napprendre de toi...♪ cher Rosado, maestro\ndu charme et de la beauté.♪\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ロサード\nHa ha ha ! Je te félicite ! Et je te remercie !\x0E\x04\x00\x00
