MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAlors, Louis ! Encore en train d'espionner ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nJe vous prie de m'excuser, Pandreo, mais\nje ne m'abaisserai jamais à me livrer à une\nactivité aussi vulgaire que de « l'espionnage ».\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nJ'aime mieux parler « d'observation\nà distance ».\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nHa ha ha ! Oh, fort bien, excuse-moi.\nÇa n'a certes rien à voir avec de l'espionnage.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パンドロ\nBref, si tu viens à te lasser de... ne pas\nespionner, n'hésite pas à venir faire la\nfête sans faute avec moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nLa fête... sans faute ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nOuais !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nToi et moi, on pourrait lâcher un peu la\npression et s'offrir une bonne vieille\nvirée entre copains !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nHmm. Une virée entre copains...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nJe m'interrogeais justement ces temps-ci...\nEst-ce là quelque chose qui mériterait que\nje l'observe de plus près ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nEh bien ça tombe à merveille ! Tu ne le sais\npas encore, mais tu vas faire une découverte.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ルイ\nFort bien.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ルイ\nPandreo, ce serait un grand plaisir pour moi\nd'accepter votre invitation.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ルイ\nExplorons ensemble les différentes manières par\nlesquels deux hommes peuvent se rapprocher.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nComment tu t'y prends pour que tout prenne\nune dimension aussi suggestive dans ta\nbouche ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08パンドロ\nEnfin, je suis content que tu aies accepté !\nPar contre, je te préviens : pour moi, la fête,\nc'est du sérieux.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nOn va gigoter jusqu'à l'aube, alors ne songe\nmême pas à dormir !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ルイ\nJe ne me priverai de rien de ce que vous\nferez vous-même, Pandreo !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nOh oh... Ooh, ça fait mal...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nHa ha ! Aurions-nous fait « la fête sans faute »\nau-delà du raisonnable hier soir ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nOuais. Après une bringue pareille, je me coltine\nnon seulement un mal de crâne, mais aussi un\nmal de partout ailleurs.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nEn ce qui me concerne, toutefois, j'ai passé\nun bon moment.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ルイ\nIl est fort agréable de « sortir entre copains »\nde temps en temps, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\nAh, ça fait plaisir à entendre ! Ça valait\nle coup de se taper la migraine du siècle.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nJe m'avise que la fête sans faute a tendance\nà creuser. Aimez-vous les raisins, Pandreo ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\nOuais, j'ai rien contre.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nDans ce cas, je m'en vais quérir quelque\npâtisserie fourrée aux raisins de mon pays.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nOh, une spécialité locale, hein ? Je t'en prie,\nenvoie toute la cargaison !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\nToute la cargaison ? Ainsi qu'il vous plaira,\nmais je me dois de vous prévenir contre les\nméfaits de l'excès.\x0E\x04\x00\x00
