MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08リュール\nOh, non, c'est la catastrophe...\x0E\x04\x02\x00
MID_RELIANCE_C_#002	Bon... au moins, les livres ne sont pas abîmés,\nmais je ferais mieux de les ranger avant\nque quelqu'un ne...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nグレゴリー\nAlors, Votre Divinité, qu'est-ce que vous faites ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nOh ! Bonjour, Gregory. On m'a demandé\nd'aider à ranger, mais...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nグレゴリー\nMais vous avez tout fait tomber, je parie !\nAh ben oui, impossible de tout porter d'un coup,\nmême pour le Dragon divin.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Laissez-moi vous aider. Le travail d'équipe,\ny a que ça de vrai, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nMerci beaucoup.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Ensemble, on fera moins d'allers-retours.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nグレゴリー\nMais pourquoi il faut faire ce ménage\nde printemps, d'ailleurs ?\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Et surtout, pourquoi c'est à vous de vous\nle coltiner ?\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Enfin je veux dire, vous pouvez pas demander\nà l'un de vos alliés de le faire à votre place ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nEh bien non, je ne me vois vraiment pas\nfaire ça.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	En fait, je veux aider dans la mesure du\npossible. Même si cela veut dire que je\ndois faire du rangement.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nグレゴリー\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nBon, les livres sont parfaitement empilés.\nJ'espère que cette fois, ils ne s'écrouleront pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nグレゴリー\n\x0E\x0A\x00\x10\x04Il\x08Elle a vraiment bon cœur... Pourvu que\npersonne n'en abuse...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nOh, vous étiez en train de me parler ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nグレゴリー\nOh ! Non, je n'ai rien dit du tout...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nMince... Nous sommes partis en début\nd'après-midi, et maintenant il fait nuit.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	On peut dire qu'on a vécu une aventure,\npas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nJe n'aurais jamais cru que faire les courses\npouvait être aussi éprouvant.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\nEh bien nous avons vu cet enfant perdu...\nqui en fait... cherchait son chat...\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Alors en cherchant son chat, on a réussi\nà se paumer dans les bois.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nJe suis vraiment désolé\x0E\x0A\x00\x06
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nグレゴリー\nIl faut dire que ça n'a pas aidé, que le chat\nse cache complètement à l'autre bout.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Enfin, c'est pas moi qui vais le lui reprocher.\nSe sauver et se cacher, c'est une technique\nde survie tout à fait valable.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nAu moins, nous avons réussi à réunir\ntout le monde, ce qui constitue un heureux\ndénouement.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Merci de m'avoir accompagné\x0E\x0A\x00\x06
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nグレゴリー\nBah, inutile de me remercier. Même si pour\nêtre franc, on aurait pu prendre nos jambes\nà notre cou au lieu de s'en mêler...\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Mais je pouvais pas vous laisser vous\ndépatouiller tout\x0E\x0A\x00\x06
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nVous avez dit quelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nグレゴリー\nMoi ? Non, rien du tout. Bon, allez, vous\nferiez mieux d'aller vous coucher.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	À mon avis, demain matin, vous aurez droit\nà un sermon du tonnerre de tous vos amis\nqui devaient être morts d'inquiétude.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nHé hé... Je devrais peut-être m'y préparer\navant d'aller dormir, dans ce cas.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Bonne nuit, Gregory. Je vous promets que\nje vous rendrai la pareille, une autre fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nグレゴリー\nJ'adorerais ça, mais il y a pas non plus de\nquoi vous en faire. Passez une bonne nuit.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	...\x0E\x04\x02\x00
MID_RELIANCE_B_#020	\x0E\x0A\x00\x10\x04Il\x08Elle met toute son énergie au service des\nautres. Tout comme le Dragon divin de\nmon monde...\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Hé hé... J'imagine qu'au final, j'ai aucune\nraison d'avoir des réserves à son sujet.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nVotre Divinité, je vous dois des excuses.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nAh bon, mais pourquoi ? Vous n'avez rien fait\nde mal, Gregory.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nIl faut pourtant que je vous parle. Jusqu'ici...\nje ne vous ai pas fait complètement confiance.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	J'étais pas vraiment sûr de pouvoir vous\nconsidérer comme un\x0E\x0A\x00\x06
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nOh... Vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nグレゴリー\nJ'étais reconnaissant que vous m'invitiez\ndans votre monde, même si j'arrivais pas trop\nà comprendre vos raisons.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Vous m'avez accueilli sans aucune méfiance.\nEt moi... je savais pas vraiment si je pouvais\nfaire confiance à quelqu'un comme ça.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	J'avais tellement peur d'être trahi que j'étais\nincapable de baisser ma garde avec vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nJe note que vous parlez au passé.\nEst-ce qu'à présent, vous êtes à même\nde me faire confiance ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nグレゴリー\nOui. J'ai énormément appris en me battant\nà vos côtés. Maintenant, je sais que vous\nêtes sincère.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Vous êtes différent\x0E\x0A\x00\x06
MID_RELIANCE_A_#012	Vous faites toujours passer le bien des autres\navant le vôtre, même si votre gentillesse\nvous met souvent en position délicate.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Vous vous battez pour un avenir meilleur,\nvous êtes d'une honnêteté irréprochable...\nJe vous vois pas nous trahir.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nEffectivement, je ne vous trahirais jamais.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nグレゴリー\nJ'ai un peu honte de vous avoir raconté\ntout ça.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Pour qu'on puisse aller de l'avant, je voudrais\nque vous me frappiez. Et pas qu'une fois, non.\nAutant de fois que vous le voudrez.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nQuoi ? Mais non, il est hors de question que\nje vous fasse mal. Je sais à quel point vous\ndétestez souffrir.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Et de toute manière, se méfier de quelqu'un\nqu'on rencontre, c'est assez naturel.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nグレゴリー\nOui, mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nBon, d'accord. S'il n'y a que ça pour vous\nfaire plaisir, tenez !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nグレゴリー\nHein ? Attendez... vous appelez ça frapper,\nvous ? C'était à peine une pichenette sur\nmon front.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nOui, et ça suffira largement. Voilà, je vous\nai puni. Et qu'on n'en parle plus, surtout.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nグレゴリー\nHé hé. En fait, elle était plutôt agréable,\ncette douleur. Je peux la supporter.\x0E\x04\x02\x00
