MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\nDites-moi Mauvier, j'aimerais savoir... Y a-t-il\nquelque chose en particulier qui vous ferait\nplaisir ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nJe vous demande pardon ? Pourquoi cette\nquestion ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nJ'aimerais vous offrir un présent pour vous\nexprimer toute ma gratitude.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\nLe Dragon divin souhaite m'offrir un présent ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nMais pour quelle raison ? Vous devez vous\nméprendre sur ma personne...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nVous êtes bien le chevalier de Veyle ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nSi Veyle est toujours en vie, c'est grâce à votre\nprésence à ses côtés.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nVeyle est ma seule famille, et je ne pourrai\njamais assez vous remercier de l'avoir protégée.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nComprenez-vous à présent pourquoi je souhaite\nvous récompenser pour vos services ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nJe comprends. Cependant...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nJe m'estime suffisamment récompensé par\nl'expression de votre reconnaissance.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nCela vous suffit donc ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nJe me réjouis que les efforts que je déploie au\nservice de Dame Veyle vous satisfassent.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nMais mon cœur est mauvais. En tant qu'ancien\nennemi du Dragon divin, je ne mérite pas vos\nlouanges.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nSi vous voulez bien m'excuser. Je dois vous\nquitter.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nMauvier...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リュール\nVous avez dit l'autre fois que votre cœur était\nmauvais. J'y ai réfléchi, et je ne suis absolument\npas de cet avis.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nEn ville, par exemple, je vous vois toujours\ndéployer les plus grands efforts pour vous\nrendre utile.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nL'examen de mes actions passées vous\nprouvera facilement que vous vous trompez.\nJe ne cherche plus qu'à faire acte de contrition.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nJe n'ai jamais eu de grandes ambitions. Je me\nsuis contenté de suivre le Dragon déchu comme\non me l'a appris.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\nEn suivant ce chemin, je me suis fait bien\ndes ennemis. Vous, en particulier.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nMais c'est terminé, tout ça...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06モーヴ\nQuoi que je dise, ce ne sera jamais qu'une\ntentative pathétique d'excuser ma déchéance.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\nJe n'ai pas pu arrêter Dame Veyle, ni su mettre\nun terme au chaos semé par les Quatre Chacals.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nTant que je ne corrige pas ces insuffisances,\nje ne mérite ni pardon, ni rédemption.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nMon dévouement auprès des habitants du\nvillage n'est rien qu'une tentative égoïste\nd'expier mes fautes.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06モーヴ\nLes louanges ne me procurent aucun plaisir, et\nles vôtres moins encore. Elles ne m'apportent\nque souffrance.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nCombien de temps encore comptez-vous\nvous infliger ce chemin de croix ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nJe l'ignore.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06モーヴ\nJusqu'après ma mort, selon toute\nvraisemblance.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\nJ'ai trop péché pour espérer le salut.\x0E\x04\x00\x00
