MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0A\x08リュール\nZelestia, vous n'avez pas encore pris de pause ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nEh bien, non. J'ai passé mon temps à remettre\nde l'ordre dans les armes. J'ai presque fini,\nd'ailleurs.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nVous savez que si vous avez besoin d'aide,\nvous pouvez m'en demander à tout moment.\nJe serais heureu\x0E\x0A\x00\x0A\x02x\x04se de vous rendre service.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Vous avez pris soin de tant de choses pour\nnotre armée. Vous nous êtes extrêmement utile.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nNe vous en faites pas. Si je le fais, c'est parce\nque je le veux bien. Au fait, vous avez été\nremarquable au combat, aujourd'hui.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Ce courage dont vous faites preuve est une\nsource d'inspiration pour nous tous. Mais tous\nvos efforts requièrent du repos.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nMerci, mais il est inutile de vous soucier\nde moi. Je vais me restaurer et me reposer.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Et d'ailleurs, qu'avez-vous pensé du repas,\naujourd'hui ? Cette soupe de légumes\nétait succulente.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nAh oui, il y a de quoi en avoir l'eau à la bouche.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nOh, mais je n'avais pas conscience que vous\nn'aviez pas mangé, pardonnez-moi. Et je suis\nsûr\x0E\x0A\x00\x06
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nInutile de vous excuser. J'étais si occupée que\nj'ai oublié de manger. Au fait, à quand remonte\nla dernière fois que j'ai pris un vrai repas ?\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Hmm... Cela fait déjà quelques jours, je crois.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nMais comment cela ? Vous devez absolument\nmanger un repas digne de ce nom !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cセレスティア\nSe mettre à table, cela prend beaucoup de\ntemps, et je préfère me rendre utile auprès de\ntout le monde. Cela dit, je grignote beaucoup.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nÇa ne va pas du tout. Zelestia, je vous\nsomme de m'accompagner !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nEuh... Pour aller où ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nVous allez manger correctement. Autrement,\nvous n'aurez plus l'énergie suffisante pour\nentreprendre toutes vos activités.\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Je vais vous surveiller pour m'assurer\nque vous restez bien assise et que vous\nmangez à votre faim.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0A\x08リュール\nZelestia, je vous ai apporté le déjeuner.\nMême s'il est un peu tard pour le qualifier ainsi.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, merci, Votre Divinité. Je suis allée parler\nun peu à tout le monde, aujourd'hui, et j'en ai\nperdu la notion du temps. J'ai oublié de manger.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nTout comme vous avez oublié hier,\nsi je ne m'abuse.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nEh bien, je...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nSi je ne faisais pas attention à votre place,\nvous rateriez tous les repas ! Heureusement\nque je m'en suis aperçu\x0E\x0A\x00\x06
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nÀ vrai dire, je pensais que tous les dragons\nétaient ainsi. Mais je suis peut-être une\nexception, finalement.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	J'ai pourtant essayé d'y faire attention,\nmais je me laisse toujours distraire par\nles autres.\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Si quelqu'un a un problème, je veux l'aider.\nEt si quelqu'un se fait du souci, je veux\nl'écouter.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	L'autre jour, par exemple, j'aidais quelqu'un\nà porter des objets lourds, et la nuit est tombée\nsans même que je m'en aperçoive.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nVous êtes vraiment incorrigible.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nOui, je sais. Je vais immédiatement manger\nce que vous m'avez apporté.\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Hé hé hé...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nQu'y a-t-il de si drôle ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cセレスティア\nJe suis tellement heureuse de prendre ce repas\navec vous, Votre Divinité. Même si je suis\nla seule à manger.\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Cela me permet de me remplir l'estomac...\nmais aussi le cœur.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Oh, mais, Votre Divinité, cette soupe est\ndélicieuse ! Vous devez absolument y goûter.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nC'est gentil de votre part, mais j'ai déjà\ndéjeuné. Et j'ai apporté cette soupe pour\nvous, qui plus est.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nVous ne devez surtout pas vous priver.\nJe m'en voudrais de garder un tel délice\npour moi.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Allez, ouvrez grand la bouche, et faites\n« Aaaaaah »...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nEuh...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nMais non, j'ai dit « Aaah »...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nBon... puisque vous avez l'air d'y tenir.\nAaah...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cセレスティア\nHé hé ! Alors ? C'est un régal, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08リュール\nEuh... oui, absolument... Un vrai... régal.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nVoilà. Tout a l'air d'être en ordre.\nEh bien, dans ce cas...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nÀ table !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nNous avons souvent mangé ensemble\nces derniers temps, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nMoi, tant que vous vous asseyez pour\nmanger convenablement, je suis content\x0E\x0A\x00\x06
MID_RELIANCE_A_#005	Enfin, vous avez encore un peu tendance\nà vous laisser distraire, mais j'en fais\nabstraction.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nVotre sollicitude est très touchante.\nGrâce à vous, j'ai fait des repas extraordinaires.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Et j'apprécie bien plus de m'asseoir pour\nmanger, depuis qu'on le fait ensemble.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	En fait, il n'y a pas que les repas. Tout ce que\nje fais à vos côtés me paraît plus plaisant.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nCela m'enchante de vous l'entendre dire.\x0E\x04\x02\x00
MID_RELIANCE_A_#010	Je craignais que vous ayez du mal à vous\nadapter dans ce monde qui vous est si\npeu familier.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nPas du tout. Je me plais beaucoup ici,\nencore plus quand je vous vois sourire.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Et si cela peut vous aider à sourire encore\ndavantage, je vous soutiendrai face à\nn'importe quel ennemi.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Vos ennemis ne me font pas peur. Je les\nécraserai tous !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nHé hé ! Voilà qui est rassurant, Zelestia.\nSachez que votre sentiment est réciproque.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Vous êtes une source d'inspiration pour moi.\nGrâce à vous, je me sens bien plus fort\x0E\x0A\x00\x06
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nTant de choses se sont produites depuis mon\narrivée dans ce monde... Mais je suis contente\nd'en faire partie.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Je voudrais pouvoir rester à vos côtés.\nJe voudrais que vous puissiez compter sur moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nJe sais bien évidemment que je peux\ncompter sur vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, Votre Divinité... Hé hé, vous avez renversé\nun peu de sauce sur vos vêtements.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nQue...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cセレスティア\nVoilà. C'est bien mieux, maintenant.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Vous deviez avoir faim pour manger si\ngoulûment et vous tacher ainsi. C'est\nvraiment mignon !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nJe me rends compte que vous avez voulu\nbien faire, mais je ne suis plus un\x0E\x0A\x00\x06
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nEuh... Merci pour la nourriture.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nJe vous en prie. J'espère que c'était bon.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nAh... Oui, très...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nZelestia, quelque chose ne va pas ?\nVous êtes différente, aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nJe suis un peu nerveuse, c'est tout.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nPourquoi ? Il s'est passé quelque chose ?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nJ'ai peur que ces moments de bonheur ne\ndurent pas. Et que la guerre, elle, n'en devienne\nque plus violente. \x0E\x04\x02\x00
MID_RELIANCE_S_#008	Et si dès demain, nous ne pouvions plus\npasser de temps ensemble ?\x0E\x04\x02\x00
MID_RELIANCE_S_#009	Ou pire... Si l'un\x0E\x0A\x00\x06
MID_RELIANCE_S_#010	Ces repas sont devenus ma joie quotidienne.\nMais ils risquent de s'arrêter à tout moment.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nJ'ignorais que vous nourrissiez une telle peur...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cセレスティア\nVotre Divinité, je n'aurais jamais cru que le\ntemps passé en votre compagnie me remplirait\nde joie... tout en me terrorisant.\x0E\x04\x02\x00
MID_RELIANCE_S_#013	Toute guerre comporte son lot de sacrifices.\nJ'en ai parfaitement conscience quand je me\ntiens sur le champ de bataille.\x0E\x04\x02\x00
MID_RELIANCE_S_#014	Pourtant, je ne sais pas si je supporterais\nde perdre un autre proche.\x0E\x04\x02\x00
