MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nEuh, Veyle... Pourquoi me fixez-vous ainsi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nJe me demandais... Est-ce que vous allez\nvraiment bien ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nOui, je vous assure. Évidemment, c'était assez\ndéroutant... de devenir une Aberration...\net d'en revenir...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nMais à présent, je vais bien. Et c'est grâce\nà vous, Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nJ'en suis soulagée.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nJe tenais aussi à vous présenter mes excuses.\nPour tout ce que j'ai fait par le passé...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nTant de gens sont morts, et c'est à cause\nde moi. J'étais trop faible. Je suis responsable\nde toutes ces victimes.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nCe que j'ai fait est impardonnable, je le sais.\nEn tout cas, pas complètement. Mais si vous\npouviez me pardonner juste un peu... Pardon.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nOh, Veyle. Ce n'était pas votre faute.\nVous étiez sous l'emprise du Dragon déchu.\nC'est lui le responsable, pas vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nVous dites que vous êtes faible, mais c'est\ngrâce à votre force que vous avez pu vous\nlibérer. C'est impressionnant.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nMerci.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ヴェイル\nEt je deviendrai plus forte. Comme je vous l'ai\ndit, je veux devenir un dragon comme vous,\ncapable de sauver le monde.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nJe suis prête à tout faire pour atteindre ce but !\nJ'espère juste que... vous m'y aiderez...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nMais naturellement ! C'est quand même bien\nà ça que servent les grands frères.\x0E\x04\x00\x00
MID_RELIANCE_C_#015_F	\x0E\x03\x02\x0A\x08リュール\nMais naturellement ! C'est quand même bien\nà ça que servent les grandes sœurs.\x0E\x04\x00\x00
