MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08リュール\nQu'est-ce que vous faites, Zelkov ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nBonjour, Votre Divinité. Je fais fondre la cire\nqui me permettra de *produire* des chandelles.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nImpressionnant ! Vous vous passionnez donc\npour la fabrication des chandelles ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nOn peut voir les choses ainsi. Je *préfère* y voir\nune activité qui me permet de tuer le temps.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nDe tuer le temps ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nNous tuons le temps jusqu'à ce qu'il finisse par\nnous tuer. C'est ma *philosophie*.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nJ'ignorais que vous vous intéressiez à\nla philosophie, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nN'exagérons rien.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est la façon dont je m'exprime qui donne\nune certaine illusion de *profondeur*, rien\nde plus.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nCela me *divertit*, voilà tout. C'est une façon\ncomme une autre de *tuer le temps*.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nOuah...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nQue vous arrive-t-il ? Il y a une *étrange* lueur\ndans vos yeux.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nJe vous trouve fascinant. Nous n'avons pas\nla même vision de la vie.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nC'est difficile à expliquer, mais j'ai l'impression\nque vous connaissez énormément de choses\ndont j'ignore tout.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est vous qui m'étonnez, à présent. Une\nprochaine fois, peut-être pourrais-je vous\nconduire en un lieu qui me semble *intéressant*.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nVoilà qui est mystérieux !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nJe ne vous en dirai pas davantage\n*pour l'instant*.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nÇa me convient ! J'ai hâte !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
