MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nMerrin, tu arrives à point. Assieds-toi,\ns'il te plaît.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06メリン\nQu'est-ce qui se passe ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ボネ\nJe veux que tu aies la primeur de\nmon dernier plat.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nOh, tu prépares un livre de recettes ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nC'est pour un restaurant, à vrai dire.\nJe voudrais rouvrir l'auberge de mes\nparents lorsque la guerre sera finie.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\nJe consacre une large part de mes loisirs à\npréparer de nouveaux plats, afin d'engraisser\nun peu la carte.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\nTrès bien ! Et qu'y a-t-il au menu aujourd'hui ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nCe sera ragout de poulet.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nOuah ! Tu t'es appliqué pour la présentation.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nMerci. J'ai déniché une espèce de poule rare\net l'ai fait mijoter à feux doux pendant plusieurs\njours.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nLe bouillon a été agrémenté d'épices variées,\npropres à réchauffer le corps et à en faire un\nplat fort sain.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nTiens, dis-moi ce que tu en penses.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nTrès bien, goûtons cela. Alors...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nHmm !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nIncroyable... La viande est si tendre, elle fond\nlittéralement dans ma bouche.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nLes ingrédients se mélangent sur ma langue,\nmais chacun d'entre eux demeure pourtant\nparfaitement distinct.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06メリン\nQuant aux épices, loin d'occulter la saveur\numami du poulet, elles se marient au tout dans\nune remarquable harmonie.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nC'est la première fois que j'entends ma cuisine\ndécrite avec tant de raffinement.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06メリン\nÀ chef-d'œuvre culinaire, description artistique.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nTu n'as décidément pas ton pareil pour cuisiner\nla volaille. Assure-toi de faire figurer ce plat\nsur ta carte.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x06\x04ボネ\nVoilà qui fait plaisir à entendre. Je ne me serai\npas décarcassé pour rien.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x06\x04ボネ\nMerci de faire office de goûteuse, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06メリン\nTout le plaisir était pour moi. Merci pour\nce délicieux repas.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06メリン\nHé, Bunet, il paraît que tu t'intéresses aux\ncréatures...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ボネ\nPardon ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nIl se trouve que j'en suis moi-même férue.\nEt je sais où on peut en admirer de splendides.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nQue dirais-tu de venir avec moi ? Ce sera\nma façon de te remercier pour le succulent\nplat de l'autre fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ボネ\nHum...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nMerci pour l'invitation, mais je me dois\nde la décliner.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nVraiment ? Tu n'aimes donc pas observer\nles animaux à l'état sauvage ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nLà n'était pas mon propos...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nQue voulais-tu dire, dans ce cas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nUn instant...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nOh, non. J'ai compris.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nTu préfères ingurgiter les animaux sauvages,\nc'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nQuoi ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06メリン\nLassé de cuire de la viande commune, tu as\nentrepris d'exercer tes talents culinaires sur\ndes créatures plus rares.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nQu'as-tu donc fourré dans ce ragout ?!\nTu m'as embobinée pour me faire avaler\nun faucon ou je ne sais quoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ボネ\nBien sûr que non ! Je te jure qu'il s'agissait\nde poulet !\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nTu mens ! Et je parie que tu ne me fais des\namitiés que pour me conduire à dévoiler\nmes coins à créatures.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ボネ\nÉcoute-moi...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nNon, TOI, tu vas m'écouter. Commettre\nun crime contre les animaux revient à\ncommettre un crime contre moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nAvise-toi encore de songer à faire du mal\nà une pauvre créature et tu ne feras pas\nde vieux os.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ボネ\nMerrin, je t'en prie. Tu te trompes du tout\nau tout !\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06メリン\nJe te déplumerai et te jetterai à la marmite\nmoi-même. Me fais-je bien comprendre ?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x01\x08\x06メリン\n\x0E\x03\x02\x06\x04ボネ\nOh... Décidément, je suis le roi\ndes malentendus...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x08\x06メリン\nBien, Bunet. Me voilà puisque tu m'as appelée.\nQu'est-ce que tu veux ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nSi tu escomptes me servir quelque flamant\nrose cuit en daube ou je ne sais quoi,\nje te jure que...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nNon, tu te fourvoies complètement. Je t'en\nprie, écoute-moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nOh ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ボネ\nCes « créatures » dont tu parles me sont\ntout à fait indifférentes.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ボネ\nEn fait, ce qui ne m'est pas indifférent,\nc'est... toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nJe te demande pardon ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nBien que nous soyons tous deux au service\nde la famille royale, nous n'avons jamais eu\nl'occasion de devenir amis.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ボネ\nJe dois confesser que tu as tendance à\nm'intimider. Tu respires la confiance en\ntoi et tu te livres si facilement.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ボネ\nToujours à disserter sur les créatures par ci,\nles créatures par là, auprès de quiconque te\nprête une oreille.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nJ'ai fini par nourrir l'espoir de devenir un jour\nl'ami de la Gardienne des créatures.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ボネ\nCar c'est ainsi que je te surnomme.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nLa Gardienne des créatures, dis-tu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ボネ\nOui. En hommage à l'attachement profond\nqui te lie aux créatures sauvages.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ボネ\nC'est un sobriquet plutôt fantasque, je sais...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nFantasque ? C'est le meilleur surnom qu'on\nm'ait jamais donné ! La Gardienne des\ncréatures, cela fleure bon... l'héroïsme.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ボネ\nHa ha, en effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06メリン\nJe suis navrée, Bunet. Il ne m'est jamais venu\nà l'esprit que tu désirais devenir mon ami.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06メリン\nDe toute évidence, je me trompais à ton sujet.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ボネ\nNul besoin de t'excuser, j'ai l'habitude d'être\nl'objet de malentendus.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x06\x04ボネ\nEn tant qu'excentrique-né, c'est une sorte\nde maladie chronique chez moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06メリン\nOh, je suis moi-même une excentrique patentée,\nalors je sais ce que c'est.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06メリン\nSoyons amis désormais, d'accord ?\nEntre excentriques, on se comprendra.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ボネ\nJ'en serais ravi. Que dirais-tu de goûter\nmon dernier plat pour fêter cela ?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ボネ\nTu pourras même le baptiser, si tel est\nton bon plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06メリン\nComment ? Moi ? Tu veux que j'appose mes\nmots sur ta carte ?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04ボネ\nOui, la description que tu m'as faite avait une\nsaveur lyrique qui m'a laissé bouche bée.\nChoisis le nom qu'il te plaira.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06メリン\nSoit. Hmm, comment l'appellerai-je ?\nJe pourrais peut-être lui donner un nom\nde créature rare.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04ボネ\nHum... Il est peut-être préférable d'éviter.\nLes gens pourraient se former une fausse idée...\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06メリン\nAh ! C'est juste !\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x06\x04ボネ\nIl n'y a pas d'urgence. Savoure le plat à\nton rythme et laisse jaillir l'inspiration.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06メリン\nAvec grand plaisir.\x0E\x04\x00\x00
