MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHyah !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nCe n'est pas encore ça...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\nSalut, Citrinne. Tu t'entraînes à la magie ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh ! Alcryst ! D'où viens-tu ? Est-ce que\ntu t'es perdu ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nHein ? Non, je passais juste par là.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nシトリニカ\nJe vois. Grands dieux, tu es si... discret.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nTu passes toujours ton temps libre à t'entraîner,\nCitrinne. J'admire ton assiduité.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nTu es peut-être la personne la plus appliquée\nde tout Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nC'est gentil de dire ça, Alcryst, mais...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nシトリニカ\nTout cet entraînement ne suffit pas. Je suis\nencore loin derrière les autres.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nJe dois coûte que coûte devenir plus forte.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nVraiment ? Pourquoi ? Je trouve que tu t'en\nsors déjà très bien. Et puis, je te protégerai.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nAh, oui. Voilà bien l'Alcryst que je connais\ndepuis qu'il est enfant. Toujours à faire passer\nles autres avant lui-même.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nCependant... Je ne peux pas me reposer\nsur ta gentillesse.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nシトリニカ\nLe moment venu, je dois...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nCitrinne ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nNon, ce n'est rien. Ne fais pas attention.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nIl faut que je reprenne mon entraînement.\nExcuse-moi, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nスタルーク\nAh, euh... Très bien, Citrinne...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x01\x0C\nシトリニカ\n\x0E\x03\x02\x0C\nスタルーク\nQuelque chose de grave la préoccupe...\nmais quoi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nOh, c'est sans espoir... Même en donnant\nle meilleur de moi-même, ça ne suffit pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nシトリニカ\nJe... Je ne mérite pas d'être la vassale\nd'Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\nJe ne suis pas d'accord.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nシトリニカ\nAlcryst ! Tu es revenu ? Depuis combien\nde temps es-tu là ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nUn moment. Excuse-moi de t'avoir espionnée.\nJe m'inquiétais pour toi depuis notre dernière\nconversation.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nTu te crois vraiment indigne d'être ma vassale ?\nTu sais que ce n'est pas vrai.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nシトリニカ\nAlcryst, toi et moi sommes cousins. Presque\nfrère et sœur puisque nous avons grandi\nensemble.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nEt d'aussi loin que je me souvienne, tu as\ntoujours eu une piètre opinion de toi-même.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nシトリニカ\nGrandir dans l'ombre de Diamant ne t'a pas\nsouvent donné l'occasion de te distinguer.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nC'est vrai. Je suppose que c'est toujours le cas.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nMais je connais ta valeur. Je sais que tu es\nquelqu'un de formidable.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nTu repères toujours le plus remarquable talent\nou la plus admirable qualité d'une personne, et\ntu fais en sorte que les autres s'en aperçoivent.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nシトリニカ\nTu soutiens les gens autour de toi, et n'hésite\npas à chanter ouvertement leurs louanges.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nJe pourrais continuer comme ça longtemps.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nTu m'attribues bien trop de mérite...\x0E\x04\x00\x00
