MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAmber. Je souhaiterais avoir une petite\n*conversation* avec vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nVous ? Le vassal de la princesse héritière...\nd'Elusia ? Vous voulez vous entretenir...\navec moi ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nAutant vous dire tout de suite que si vous êtes\nà la recherche d'informations sur des trucs\nde Brodia, je ne suis pas à votre disposition.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nNon, non. Ma visite n'a rien de *politique*.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nJe dirais que c'est bien plus *personnel*.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nOh non... Que me voulez-vous donc, alors ?\nMe provoquer en duel ? Je ne vous ai rien fait !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'aurais besoin de la *laine* d'un alpaga.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nPardon ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nPlus exactement, j'aurais besoin de la laine\nd'alpaga provenant d'un *certain* village.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'ai été conduit à croire que cet endroit\nvous est *familier*.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nVous devriez être bien placé, par conséquent,\npour savoir que la *laine* provenant de là-bas\nest d'une qualité supérieure à toute autre.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nOui, c'est exact. Les alpagas qu'on élève dans\nmon village ont une toison très dense et\nextraordinairement douce.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nIl me faut cette laine, Amber. Vous devez à tout\nprix m'en *procurer*.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nMa foi, je pourrais écrire une lettre à ma famille.\nJe suis sûr qu'ils en expédieraient volontiers ici.\nMais... que comptez-vous en faire, au juste ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nJe compte l'utiliser pour *tricoter*.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nOuah. Vous... vous aimez tricoter, Zelkov ?!\nAlors ça, je m'en serais jamais douté.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nIl n'y a pourtant rien de *surprenant* à ce que\nje me passionne pour un artisanat si plein de\ngrâce, de délicatesse et d'élégance.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nRevenons-en à notre sujet. J'aurais besoin de\nlaine d'alpaga de la plus haute qualité, afin de\nréaliser mon chef-d'œuvre *ultime*.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アンバー\nJe m'en occupe ! Si c'est juste pour du tricot,\nje peux vous en fournir toute une cargaison.\nSans problème.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nEt puis... je tiens à voir ce que vous réussirez à\nen faire. Je parie que le résultat sera incroyable.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nMerci, Amber. Je vous suis reconnaissant pour\nvotre *assistance* sur ce sujet.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08アンバー\nDésolé de vous avoir fait attendre, Zelkov !\nDevinez ce que je viens de recevoir... C'est la\nfameuse laine d'alpaga de mon village !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est formidable. En termes de *douceur*,\nelle dépasse même mes plus folles attentes.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\nBien évidemment ! La laine d'alpaga est chaude,\nlégère et très résistante. C'est le matériau idéal !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nElle est effectivement de la plus haute qualité.\nPlus rien ne s'oppose à présent à la réalisation\nde mon chef-d'œuvre *ultime*.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nQuand le monde du tricot tout entier admirera\nmon œuvre avec émerveillement, c'est à *vous*\nque reviendra sa reconnaissance, Amber.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nDans ma famille aussi, on tricote des trucs\nen laine d'alpaga. Le gilet que je porte\nlà-dessous, c'est mon père qui l'a fabriqué !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nJe vois. Bien, pour ce qui est du *paiement*...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nOh, je n'ai pas besoin d'argent. Considérez\ncela comme un cadeau !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nIl est indispensable de convenir d'un paiement\npour tout service rendu. Sinon, on contracte\ndes *dettes*.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nNon, vraiment : ce n'est pas la peine. J'ai écrit\nà ma famille pour leur parler de vous, et ils\nétaient ravis d'envoyer de la laine.\x0E\x04\x00\x00
