MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nFRAMME !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06フラン\nAah !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nヴァンドレ\nQue fais-tu à traîner ici ? Je t'ai pourtant\ndemandé de trier les offrandes.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06フラン\nOups ! Ça m'est sorti de la tête !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nPitié, accordez-moi de la patience... Comment\nfais-tu pour manquer aux plus simples devoirs ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nヴァンドレ\nUne telle attitude m'inspire de sérieuses\ncraintes quant à ton avenir.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nMais je voulais le faire, juré ! C'est juste que...\nça m'est sorti de la tête.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\nNe t'imagine pas que cette piètre excuse\nme suffira. Oublier ou ne rien faire, c'est pareil.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nSonge à l'amère déception que ressentiraient\ntes parents s'ils savaient cela.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06フラン\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nFramme, je nourris de hautes exigences\npour ton frère et toi. Vous êtes appelés à\nme succéder.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nNe serait-ce que pour ma conscience,\nhonore la mère et le père qui t'ont confiée\nà moi... Et fais mieux que ça.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nOui, sire !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\nC'est la dernière fois que je vous déçois,\nVander. Promis juré !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nヴァンドレ\nÀ la bonne heure.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06フラン\nOooh... Oh non. Oh non !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06フラン\nJ'ai oublié où je devais livrer ce colis !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nArgh... Vander va me couper en morceaux !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nヴァンドレ\nBonjour, Framme.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nAH !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nAh, Vander ! J'étais justement en train de livrer\nle colis que vous m'avez confié et, euh...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\nJe me suis plantée. Une fois de plus. Allez-y,\nhurlez-moi dessus, je l'ai bien mérité.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nヴァンドレ\nPitié, accordez-moi de la patience... Allez,\npeu importe. Cela ne relevait pas non plus de\nla première urgence.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06フラン\nVous... Vous êtes pas en pétard ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nPourquoi le serais-je ? Tu as admis ton erreur,\net tu t'es excusée.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nMais j'avais promis de plus me planter !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nヴァンドレ\nTout comme Somniel n'a pas été bâtie\nen un jour, changer te prendra du temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\nEt comment...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nヴァンドレ\nNe te laisse pas submerger, et accomplis chaque\ndevoir petit à petit. C'est ce que je fais toujours.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\nOK ! La prochaine fois, je vais tout faire comme\nil faut. Vous serez fier de moi !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nEh bien, Framme. De quoi s'agit-il cette fois-ci ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nJe présume que tu as eu quelque ennui\nface à la tâche que je t'avais confiée.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06フラン\nPas du tout ! Hé hé, je m'en occupe\ntout de suite.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nAlors qu'est-ce qui t'amène ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nÇa. C'est pour vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nC'est pour vous dire merci pour... enfin, vous\nvoyez. Parce que vous croyez en moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nヴァンドレ\nQu'est-ce que cela ? Une liasse de...\n« Frabons » ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nOuais, des « bons Framme » si vous préférez.\nPour toutes les migraines que je vous ai\ncausées !\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06フラン\nSi vous êtes crevé ou pas motivé pour quoi que\nce soit... vous avez qu'à utiliser un Frabon !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nDe jour ou de nuit, quel que soit le problème,\nje débarque et je le règle en un clin d'œil !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nFramme...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nヴァンドレ\nBien que je n'aie jamais eu d'enfant...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nC'est ainsi que j'imagine le sentiment\nde la fierté paternelle.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nMerci. Je ferai un usage parcimonieux de ces\nFrabons. Ils sont précieux, après tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nHé hé, vous avez tout compris ! Et moi, je\ncontinuerai à faire en sorte que vous soyez fier !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06フラン\nJe me planterai encore de temps en temps, mais\navec votre aide, je sais que ça s'arrangera !\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\nAlors continuez à m'apprendre à honorer\nmon devoir de gardienne du mieux que je peux !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nヴァンドレ\nCompte sur moi, même si je constate que\ntu es déjà sur une excellente voie.\x0E\x04\x00\x00
