MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nDame Veyle, vous voilà enfin.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ヴェイル\nOh, tu me cherchais donc ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nEn effet.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\nVous n'en avez peut-être pas conscience,\nmais il est dangereux de vous promener\nseule en ville.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nDangereux ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nPourquoi ce serait dangereux ? Tout le monde\nest tellement gentil, dans ce village !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nSi gentils que soient ces gens, les actes que\nnous avons commis pourraient leur inspirer\ndes envies de revanche. Et à raison.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ヴェイル\nDans ce cas, je leur présenterai des excuses.\nNous avons fait des choses... vraiment atroces.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\nIl se peut que vos excuses ne soient pas perçues\ncomme suffisantes. S'il vous arrivait quoi que\nce soit...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nJe ne suis plus une enfant, et je n'ai pas besoin\nd'une nounou. Alors cesse de me suivre.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nAttendez, je vous en prie !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nNon, j'ai à faire. Et je dois le faire seule.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x02\x08\x06モーヴ\nEt la voilà partie...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nElle n'a pas conscience des risques qu'elle\ncourt.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nDame Veyle ne semble pas courir de risque\npour le moment.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nIl ne faut pas qu'elle découvre que je la suis.\nJe vais rester dans l'ombre et l'observer sans\nqu'elle s'en doute.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06モーヴ\nJe n'oserais jamais avouer à Marni qu'il est\narrivé quelque chose à Dame Veyle malgré\nma protection.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08ヴェイル\nMauvier ! Je vois très bien que tu me suis.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nDame Veyle ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nTu me penses donc parfaitement incapable de\nme défendre toute seule, c'est bien ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\nNon... Ou plutôt, oui. Ce que j'essaie de dire,\nc'est que je sais que vous êtes débrouillarde.\nMais cela ne m'empêche pas de m'inquiéter.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nIl est de mon devoir de chevalier de garantir\nvotre sécurité.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\nTu es un chevalier, certes, mais tu es aussi mon\nami. Et si tu essayais de me faire confiance au\nlieu de t'inquiéter ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06モーヴ\nVotre ami ? Je l'ignorais.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06モーヴ\nS'il en est ainsi, dites-moi pourquoi vous vous\npromenez ainsi seule en ville, je vous prie.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06モーヴ\nEn tant qu'ami, votre sécurité m'importe.\nJe veux comprendre pourquoi vous faites cela.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nC'est pour expier mes péchés.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nDe nombreuses personnes ont souffert par ma\nfaute. C'est pourquoi je cherche à me rendre\nutile auprès des habitants du village.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06モーヴ\nS'il en est ainsi, Dame Veyle, il est d'autant\nplus important que je reste à vos côtés.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06モーヴ\nEn tant que membre des Quatre Chacals, j'ai\négalement commis des crimes qu'il me faut\nexpier.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06モーヴ\nJe partage vos sentiments, comme je partage\nvotre objectif.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nTon cœur est bon, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ヴェイル\nC'est une grande chance de te compter\nparmi mes amis.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ヴェイル\nTu vas m'aider, alors ? Tu crois qu'on va\ntrouver une bonne action à faire dans ce\nvillage ?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06モーヴ\nBien sûr, Dame Veyle...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nLes habitants du village ont l'air enchanté !\nTu as vu comme ils nous remercient de tous\ncôtés ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nEn effet, le peuple semble satisfait.\nMais nous commençons à peine.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nJ'espère qu'ils savent que notre démarche est\nsincère et que nous ne leur voulons que du bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nJe craignais pour ma part que les gens nous\nen voudraient... La vengeance est facile à\ncomprendre, bien plus que le pardon.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\nJe t'avais bien dit que tout le monde était\ngentil, dans ce village.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nC'est vrai, et vous aviez raison.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nJe ne m'attendais pas à un accueil aussi\nchaleureux.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nTu sais, je me demandais, ces derniers temps...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nTu crois que Marni aurait aimé nous\naccompagner dans ces rues ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06モーヴ\nDame Veyle...\x0E\x04\x00\x00
