MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\nOù sommes-nous ? Je ne reconnais rien.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x06\x04ロイ\nOn dirait... Non, ce n'est pas possible.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nRoy ? Vous connaissez cet endroit ?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x06\x04ロイ\nMes yeux me jouent peut-être des tours,\nmais la ressemblance est saisissante...\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x06\x04ロイ\nOn dirait le théâtre d'une importante bataille\nque j'ai menée.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nDans votre monde d'origine, vous voulez dire ?\nPouvez-vous m'en dire davantage ?\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x06\x04ロイ\nJe me tenais ici, mes alliés à mes côtés,\nface aux armées du royaume de Biran.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x06\x04ロイ\nLe commandant ennemi s'appelait Murdock,\nun homme doté d'une force remarquable doublé\nd'un redoutable stratège.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x06\x04ロイ\nSes puissants coups de hache résonnant sur\nle champ de bataille sont à jamais gravés dans\nma mémoire.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x06\x04ロイ\nLe combat était si ardu que j'ai bien cru ne\njamais y survivre. Ni moi, ni personne.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x06\x04ロイ\nMais aussi amer qu'il fut, j'éprouve une certaine\ntendresse pour les souvenirs que j'ai de ce jour.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nÇa a dû être un moment majeur de votre vie.\x0E\x04\x00\x00
