MID_TUT_BMAP_SilverCard_TITLE	Carte argent
MID_TUT_BMAP_SilverCard_0	En détenant cette carte, vous profitez de 30 %\nde remise à l'armurerie et au magasin d'objets.
MID_TUT_GMAP_GOD_TITLE	Carte du monde (annexes divines)
MID_TUT_GMAP_GOD_0	Utilisez le menu de la carte du monde pour\nretourner à Somniel ou sur la carte du monde\nde l'histoire principale.
MID_TUT_GMAP_GOD_1	Des escarmouches peuvent apparaître dans\nles zones que vous avez déjà terminées.
MID_TUT_GMAP_RECOLLECTION_BATTLE_TITLE	Souvenirs
MID_TUT_GMAP_RECOLLECTION_BATTLE_0	Après avoir terminé chaque carte du pass\nd'extension, vous pouvez en revivre les\nbatailles sous la forme de souvenirs.
MID_TUT_GMAP_RECOLLECTION_BATTLE_1	Vous pouvez revivre ces souvenirs autant\nde fois que vous le souhaitez et avec\nn'importe quelle combinaison d'alliés.
MID_TUT_GMAP_RECOLLECTION_BATTLE_2	Vous ne gagnerez cependant ni expérience\nni objets lors de ces combats, et vos alliés\net objets reviendront à leur état initial.
MID_TUT_HUB_GOD_START_TITLE	Annexes divines
MID_TUT_HUB_GOD_START_0	Vous pouvez accéder à l'île des Bracelets\nd'Emblèmes depuis la carte du monde.
MID_TUT_HUB_GOD_START_1	Vous pouvez retourner à l'histoire principale\nà tout moment.
MID_TUT_HUB_GOD_START_NOTICE	Quelque chose est apparu au belvédère.
MID_TUT_GOD_TIKI_TITLE	Emblème Tiki
MID_TUT_GOD_TIKI_0	L'Emblème Tiki dispose de puissantes attaques\ndraconiques et peut offrir une protection divine\nà ses alliés.
MID_TUT_GOD_TIKI_1	La technique d'engagement Astrosphère permet\naux caractéristiques de l'unité d'augmenter plus\nfacilement quand celle-ci gagne un niveau.
MID_TUT_GOD_TIKI_2	L'arme de fusion Souffle inflige des dégâts\naux ennemis dans un certain rayon et\nchange en fonction du type de l'unité.
MID_TUT_GOD_TIKI_3	La technique de fusion Forme de dragon\ntransforme l'unité en dragon, augmentant\ngrandement ses caractéristiques.
MID_TUT_GOD_TIKI_4	L'attaque de fusion Faveur divine dote un allié\nd'une pierre de résurrection à usage unique qui\nlui permet de survivre si ses PV tombent à 0.
MID_TUT_GOD_EDELGARD_TITLE	Emblème Edelgard
MID_TUT_GOD_EDELGARD_0	L'Emblème Edelgard permute aléatoirement\navec les délégués de maison Dimitri et Claude,\ndonnant accès à différentes techniques.
MID_TUT_GOD_EDELGARD_1	La technique d'engagement Tactique change\nen fonction du délégué de maison actif.
MID_TUT_GOD_EDELGARD_2	L'arme de fusion Aymr peut repousser\nles ennemis et inflige des dégâts bonus\naux dragons.
MID_TUT_GOD_EDELGARD_3	La technique de fusion Capacités donne accès à\nune attaque distincte parmi trois en utilisant une\npartie des tours de fusion restants de l'unité.
MID_TUT_GOD_EDELGARD_4	L'attaque de fusion Maisons unies frappe à la\nhache, la lance et l'arc. Augmente les chances\nde briser la garde. Efficace contre les volants.
MID_TUT_TIPS_Tiki	Emblème Tiki
MID_TUT_TIPS_Edelgard	Emblème Edelgard
MID_TUT_TIPS_Dimitri	Emblème Dimitri
MID_TUT_TIPS_Claude	Emblème Claude
MID_TIPS_SKILL_30	L'Emblème des Rivaux permute aléatoirement entre l'un\ndes trois Emblèmes au début de la phase joueur.
MID_TIPS_SKILL_31	Atq +5 si l'unité initie le combat avec le même type d'arme que l'Emblème engagé.\nAtq +5 avec l'Emblème fusionné quel que soit le type d'arme.
MID_TIPS_SKILL_32	Hache de l'Emblème Edelgard. Repousse les ennemis.\nAttaque en premier impossible. Efficace contre les dragons.
MID_TIPS_SKILL_33	Permet d'utiliser la technique Capacités d'Edelgard, Dimitri ou Claude.\nCoûte une partie des tours de fusion restants.
MID_TIPS_SKILL_39	La technique de fusion Capacités ne met pas fin à la fusion d'une unité dans le tour\noù elle est utilisée, même si les tours de fusion de l'unité sont réduits à 0.
MID_TIPS_GOD_24	Dragon divin vivant depuis des temps immémoriaux\nen Akaneia, un continent d'un autre monde.
MID_TIPS_GOD_25	Manakete ayant pris une forme humaine.\nSurnomme Marth affectueusement « Mar-Mar ».
MID_TIPS_GOD_26	Héritière de l'Empire d'Adrestia en Fódlan, un continent d'un autre monde.\nCette jeune femme noble manie la hache avec adresse.
MID_TIPS_GOD_27	Prince héritier du Saint Royaume de Faerghus en Fódlan, un continent d'un autre monde.\nCe jeune homme ingénieux manie la lance avec assurance.
MID_TIPS_GOD_28	Héritier de l'Alliance de Leicester en Fódlan, un continent d'un autre monde.\nCe jeune homme mystérieux manie l'arc avec diligence.
