MID_TUT_BMAP_EVIL_MAGECANON_EN_TITLE	Mage-canonnier
MID_TUT_BMAP_EVIL_MAGECANON_EN_0	Les mages-canonniers tirent des boulets longue\nportée. Attention à leur distance de frappe !
MID_TUT_BMAP_EVIL_MAGECANON_EN_1	Le rayon de danger des mages-canonniers a\nune apparence différente des autres classes.
MID_TUT_HUB_WELL_TITLE	Puits ancien
MID_TUT_HUB_WELL_0	Vous pouvez jeter les objets dont vous\nne voulez plus dans le puits. Ce faisant,\nils disparaîtront à jamais.
MID_TUT_HUB_WELL_1	Si vous revenez après au moins un combat,\nvous trouverez de nouveaux objets à la place !
MID_TUT_HUB_WELL_2	Plus la valeur des objets que vous jetez est\nélevée, plus vous aurez de chances de\nrecevoir des objets encore plus précieux.
MID_TUT_HUB_WELL_WEAPON_1	Le propriétaire de l'armurerie souhaite\nvous parler.
MID_TUT_HUB_WELL_WEAPON_2	Allez examiner le puits pour retrouver l'objet\nperdu par le propriétaire de l'armurerie.
MID_TUT_HUB_WELL_WEAPON_3	Vous l'avez trouvé ! Retournez à l'armurerie\net restituez l'objet à son propriétaire.
MID_TUT_GOD_CHROM_TITLE	Emblème Chrom
MID_TUT_GOD_CHROM_0	Les Emblèmes Chrom et Daraen éliminent\nensemble leurs ennemis en mêlant attaques\nà l'épée, magie et stratégie.
MID_TUT_GOD_CHROM_1	La technique d'engagement Attaque surprise\nempêche les ripostes ennemies si l'unité est sur\nun terrain conférant un bonus d'esquive (Esq).
MID_TUT_GOD_CHROM_2	L'arme de fusion Épée orage peut frapper\nles ennemis à distance à l'aide d'attaques\nmagiques.
MID_TUT_GOD_CHROM_3	La technique de fusion Alter ego invoque\nDaraen pour augmenter la magie (Mag) et\nparticiper à des attaques enchaînées.
MID_TUT_GOD_CHROM_4	L'attaque de fusion Giga épée orage est une\nfrappe magique qui inflige de lourds dégâts\naux ennemis ayant une faible résistance.
MID_TUT_GOD_VERONICA_TITLE	Emblème Veronica
MID_TUT_GOD_VERONICA_0	L'Emblème Veronica maîtrise différentes\ntechniques spéciales, dont le pouvoir d'invoquer\ndes alliés venus d'autres mondes.
MID_TUT_GOD_VERONICA_1	La technique d'engagement Représailles\naugmente la puissance d'attaque à hauteur de\n30 % des points de vie (PV) perdus par l'unité.
MID_TUT_GOD_VERONICA_2	L'arme de fusion Hliðskjálf empêche\nles contre-attaques ennemies si l'unité\ninitie le combat.
MID_TUT_GOD_VERONICA_3	La technique de fusion Pacte permet aux alliés\nqui ont déjà agi d'attaquer ou d'utiliser un objet.
MID_TUT_GOD_VERONICA_4	L'attaque de fusion Invocation de héros invoque\nun allié d'un autre monde au combat.
MID_TUT_TIPS_Veronica	Emblème Veronica
MID_TUT_TIPS_Chrom	Emblème Chrom
MID_TUT_TIPS_Reflet	Emblème Daraen
MID_TIPS_OTHER_36	Si vous jetez un objet dans le puits ancien, vous y trouverez un nouvel objet\naprès la bataille suivante !
MID_TIPS_SKILL_34	Après avoir éliminé un ennemi d'un niveau plus élevé,\nle niveau de l'unité augmente jusqu'à la fin du combat.
MID_TIPS_SKILL_35	Chaque tour où l'unité utilise l'option Attendre (sans initier le combat\nni utiliser d'objets), le Livre des mondes progresse d'un chapitre.
MID_TIPS_JOB_01	Vous pouvez lever la malédiction infligée par les loups fantômes\nà l'aide d'un bâton Vitalis.
MID_TIPS_GOD_35	Princesse de l'empire d'Embla dans un autre monde.\nManipule les portails menant vers d'autres réalités.
MID_TIPS_GOD_36	Jeune héritière capable de contrôler les héros d'autres mondes.\nUtilise ce pouvoir pour s'en prendre aux autres nations.
MID_TIPS_GOD_37	Prince du Saint-Royaume d'Ylisse, dans un autre monde.\nHéritier de la lame légendaire, Falchion.
MID_TIPS_GOD_38	Stratège partageant un lien indéfectible avec Chrom.\nSes tactiques décisives guident ses alliés vers la victoire.
