MID_WU_C_1_IN_#001	Quelle surprenante coutume...
MID_WU_C_1_IN_#002	que celle consistant à réveiller le Dragon divin.
MID_WU_C_1_SOON_#001	En vous levant plus tôt plus souvent...
MID_WU_C_1_SOON_#002	vous faciliteriez la tâche de vos alliés.
MID_WU_C_1_SOON_#003	Mais peu importe.
MID_WU_C_1_SOON_#004	Bonjour à vous.
MID_WU_C_1_WAKEUP_#001	Vous dormez encore...
MID_WU_C_1_WAKEUP_#002	J'espère que c'est inhabituel.
MID_WU_C_1_WAKEUP_#003	Votre indolence risquerait de désarmer...
MID_WU_C_1_WAKEUP_#004	les jeunes agneaux sous vos ordres.
MID_WU_C_1_HELLO_#001	Vous sortez de votre torpeur...
MID_WU_C_1_HELLO_#002	Je m'en réjouis.
MID_WU_C_1_HELLO_#003	À présent, levez-vous.
MID_WU_C_1_HELLO_#004	Je ne vous laisserai pas vous rendormir.
MID_WU_C_2_IN_#001	Rendre les Emblèmes à leur\nsommeil était bien plus aisé...
MID_WU_C_2_SOON_#001	Vous vous levez promptement, tant mieux.
MID_WU_C_2_SOON_#002	Mon devoir est rempli. Je vais prendre congé.
MID_WU_C_2_WAKEUP_#001	Vous dormez à poings fermés.
MID_WU_C_2_WAKEUP_#002	Dormiriez-vous pour l'éternité...
MID_WU_C_2_WAKEUP_#003	si nous vous laissions vous reposer ?
MID_WU_C_2_WAKEUP_#004	Rafal a attendu ainsi mon réveil...
MID_WU_C_2_HELLO_#001	Bonjour.
MID_WU_C_2_HELLO_#002	Vous avez dormi plus que nécessaire...
MID_WU_C_2_HELLO_#003	mais rien ne presse.
MID_WU_C_2_HELLO_#004	Enfin, ne flânez pas trop.
MID_WU_B_1_IN_#001	Il est l'heure de vous lever.
MID_WU_B_1_IN_#002	Êtes-vous en vie ?
MID_WU_B_1_SOON_#001	Ma présence semble vous réveiller...
MID_WU_B_1_SOON_#002	J'imagine que les matins solitaires\nne vous enchantent guère.
MID_WU_B_1_WAKEUP_#001	La blessure que vous avez subie pour\nme protéger s'est résorbée...
MID_WU_B_1_WAKEUP_#002	Mais vous en avez subi d'autres depuis.
MID_WU_B_1_WAKEUP_#003	C'est dans l'ordre des choses, je suppose.
MID_WU_B_1_WAKEUP_#004	Et pourtant je...
MID_WU_B_1_HELLO_#001	Vous voilà réveillé\x0E\x0A\x00\x06
MID_WU_B_1_HELLO_#002	Quelles que soient les batailles à venir...
MID_WU_B_1_HELLO_#003	j'espère que vous ferez attention.
MID_WU_B_1_HELLO_#004	Vous m'en avez fait le serment.
