MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x02\x14\x12E005_Boss\nSfiderai il destino, spazzerai via le angosce\ne forgerai legami con i tuoi alleati?\x0E\x04\x02\x00
MID_OP1_#002	La tua metà rimarrà al tuo fianco?\x0E\x04\x02\x00
MID_OP1_#003	Re e regine sono svaniti come neve al\nsole, volati via come sabbia al vento.\x0E\x04\x02\x00
MID_OP1_#004	Chi rimane? Un estraneo dall'aria familiare,\nuna persona cara di cui non conosci il nome.\x0E\x04\x02\x00
MID_OP1_#005	Solo una persona possiede la verità.\x0E\x04\x02\x00
MID_OP1_#006	In questo mondo non esiste il vuoto.\nIl tuo sogno non si avvererà.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1A\x14E004_マデリーン\x021\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x00\x16\x10M011_モーヴ\x023\n\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nLady Nel non vuole proprio parlarci?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x16\x14E004_グレゴリー\nSi è completamente isolata. Seduta sotto un\nalbero, senza dire una parola... Non è da lei\nquesto comportamento.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x12\x10M011_モーヴ\nSarà mezz'ora che è lì. Forse dovremmo offrirle\nil nostro appoggio.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x18\x16E004_セレスティア\nMauvier, le questioni di cuore sono un concetto\na te sconosciuto, vero?\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x12\x10M011_モーヴ\nNon ti seguo.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x18\x16E004_セレスティア\nLady Nel ha appena rivelato i suoi sentimenti...\nun amore che ha tenuto nascosto per molti\nanni.\x0E\x04\x02\x00
MID_OP2_#007	È normale che voglia un po' di tempo per sé,\ndopo questa ordalia.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x12\x10M011_モーヴ\nAh. Ora ho capito.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x16\x14E004_グレゴリー\nI cuori degli innamorati sono fragili.\nVanno trattati con delicatezza, caro il mio\nomaccione.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x16\x14E004_マデリーン\nParli per esperienza, Gregory? Sei mai stato\ninnamorato?\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x16\x14E004_グレゴリー\nNo. Ma mi hanno detto che è spaventoso\ne inebriante allo stesso tempo. E tu?\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x16\x14E004_マデリーン\nIo?! Beh, ecco...\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x12\x10M011_モーヴ\nMh?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x16\x14E004_マデリーン\nQ-Qual era la domanda?!\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x18\x16E004_セレスティア\nMi dispiace lasciare soli lord Nil e il Drago\nDivino così a lungo, ma lady Nel ha bisogno del\nsuo tempo.\x0E\x04\x02\x00
MID_OP2_#016	Se solo ci fosse un modo per farla riunire con\nil suo vero amore...\x0E\x04\x02\x00
MID_OP2_#017	Sappiamo quanto fosse affezionata al Drago\nDivino.\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x16\x14E004_グレゴリー\nL'unico problema è che era l'altro Drago Divino,\nnon questo.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x18\x16E004_セレスティア\nCredi che non lo sappia? Vorrei solo vederla\nfelice, tutto qui.\x0E\x04\x02\x00
MID_OP2_#020	Merita tutta la felicità possibile.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x16\x14E004_マデリーン\nI cavalieri fedeli non possono che desiderare\nil meglio per i propri padroni.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x12\x10M011_モーヴ\nFinalmente un concetto alla mia portata, non\ncome le "questioni di cuore".\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x18\x16E004_セレスティア\nBene, ora ci capiamo.\x0E\x04\x02\x00
MID_OP2_#024	Spero che vi sia chiaro quanto io tenga non solo\na lei, ma anche a voi.\x0E\x04\x02\x00
MID_OP2_#025	Dobbiamo restare uniti e proteggerci a vicenda.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x00\x14\x0EE005_エル\x021\n\x0E\x03\x02\x10\x0EE005_エル\nVi ringrazio per avermi dato tempo.\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x18\x16E004_セレスティア\nEra il minimo, lady Nel.\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x16\x14E004_グレゴリー\nStai un po' meglio?\x0E\x04\x00\x00
MID_OP2_#029	\x0E\x03\x02\x10\x0EE005_エル\nSì. Ho avuto modo di riflettere. Grazie e scusate\nancora per l'attesa.\x0E\x04\x02\x00
MID_OP2_#030	Solo ora mi sono concessa il tempo di elaborare\nla perdita della persona che amavo.\x0E\x04\x02\x00
MID_OP2_#031	E ho anche riflettuto sui guai che vi ho causato.\nMi dispiace davvero, avrei dovuto dirvelo che\nle famiglie reali erano delle aberrazioni.\x0E\x04\x02\x00
MID_OP2_#032	Non potrei desiderare dei confidenti più leali,\navrei dovuto rivelarvi tutto.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x12\x10M011_モーヴ\nLe vostre parole ci onorano, lady Nel. Sono\nsicuro che anche lord Nil ne sarebbe confortato.\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x10\x0EE005_エル\nNaturalmente, devo le mie scuse anche al Drago\nDivino. Ho avuto un comportamento oltremodo\nirrispettoso nei suoi confronti.\x0E\x04\x02\x00
MID_OP2_#035	Spero che riusciremo a lasciarci tutto alle spalle\ne che questo momento segni l'inizio di una\nnuova amicizia.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x18\x16E004_セレスティア\nMi sembra un piano ammirevole! Ora torniamo\ndagli altri, saranno stanchi di aspettarci.\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x10\x0EE005_エル\nQuesta volta non avrò paura di affrontarti a viso\naperto, Drago Divino.\x0E\x04\x02\x00
MID_OP2_#038	Metterò da parte il dolore che provo per il mio\namore perduto e cercherò di vederti per la\npersona che sei.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE005_エル\x021\n\x0E\x03\x00\x1C\x16E004_セレスティア\x022\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x023\n\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x10\x0EE005_エル\nSiamo qui.\x0E\x04\x02\x00
MID_OP3_#002	Drago Divino? Nil?\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x18\x16E004_セレスティア\nChe strano. Non c'è nessuno.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x16\x14E004_グレゴリー\nForse abbiamo sbagliato posto?\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x16\x14E004_マデリーン\nNon mi pare. La direzione era quella giusta e il\npaesaggio è familiare.\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nDetesto sollevare l'ipotesi, ma potrebbero\nessere caduti in un'imboscata.\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x00\x18\x12E005_Boss\x023\n\x0E\x03\x02\x14\x12E005_Boss\nNel, amici miei! Che piacere rivedervi.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x10\x0EE005_エル\nNil... Allora stai bene. Che sollievo.\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x14\x12E005_Boss\nÈ successo un guaio. I bracciali sono spariti.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x10\x0EE005_エル\nSpariti? Come?!\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x14\x12E005_Boss\nLi ha presi il Drago Divino, prima di andarsene.\x0E\x04\x02\x00
MID_OP3_#012	Temo che voglia fare tutto da sol\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x12\x10M011_モーヴ\nDobbiamo raggiungerl\x0E\x0A\x00\x08\x02o\x02a, non c'è tempo da\nperdere.\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x14\x12E005_Boss\nSono riuscito a lanciar\x0E\x0A\x00\x0E\x06gli\x04le un incantesimo di\ntracciamento poco prima che scappasse.\nCi basterà seguire la scia.\x0E\x04\x02\x00
MID_OP3_#015	Non ho avuto il coraggio di inseguirl\x0E\x0A\x00\x08\x02o\x02a,\npurtroppo. Non mi sentivo tranquillo a\nsepararmi da voi.\x0E\x04\x02\x00
MID_OP3_#016	Spero che vogliate perdonare la mia\nvigliaccheria.\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x10\x0EE005_エル\nNon preoccuparti, Nil. Hai fatto bene, hai preso\nla decisione più saggia.\x0E\x04\x02\x00
MID_OP3_#018	Ora, però, facci strada.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x14\x12E005_Boss\nCon piacere.\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x10\x0EE005_エル\nMi sento responsabile per l'accaduto. La colpa\nè solo mia.\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x14\x12E005_Boss\n...\x0E\x04\x00\x00
