MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\nDesiderate mantenere l'innocenza, tenendo\nfede agli insegnamenti ricevuti?\x0E\x04\x02\x00
MID_OP1_#002	O cercherete la vittoria, a costo di sporcarvi le\nmani del sangue dei vostri amici di un tempo?\x0E\x04\x02\x00
MID_OP1_#003	Ciò che era un dolore insopportabile è ora\nun ricordo gradito, un sogno impossibile.\x0E\x04\x02\x00
MID_OP1_#004	Ma io conosco la verità.\x0E\x04\x02\x00
MID_OP1_#005	Non esiste l'eternità in questo mondo.\nÈ il momento di aprire gli occhi.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE006_エル\x021\n\x0E\x03\x00\x18\x12E005_Boss\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1C\x16E006_セレスティア\x024\n\x0E\x03\x02\x14\x12E005_Boss\nRicordo quando eravamo piccoli.\x0E\x04\x02\x00
MID_OP2_#002	Eri una gran dormigliona. Io mi svegliavo prima\ndi te e ti aspettavo sempre con ansia.\x0E\x04\x02\x00
MID_OP2_#003	Il mondo pullulava di nemici, da solo non ero in\ngrado di fare nulla.\x0E\x04\x02\x00
MID_OP2_#004	Non riuscivo a trasformarmi, per quanto ci\nprovassi incessantemente. Ero solo un moccioso\nsenza poteri, un fallimento.\x0E\x04\x02\x00
MID_OP2_#005	Ero convinto che non sarei sopravvissuto\na lungo.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x10\x0EE006_エル\nNon eri molto... ottimista.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x14\x12E005_Boss\nSei sveglia. Ti sconsiglio caldamente di\nprovare a trasformarti e a scappare.\x0E\x04\x02\x00
MID_OP2_#008	Se ti sposti da quel punto, ti incenerirò.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x10\x0EE006_エル\nBasta, Nil. Non ha senso tutto questo.\x0E\x04\x02\x00
MID_OP2_#010	Il potere non ti servirebbe a niente, ormai.\nNon puoi mica governare un mondo deserto.\x0E\x04\x02\x00
MID_OP2_#011	Io e te siamo gli unici rimasti.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x14\x12E005_Boss\nIl potere è il mio obiettivo.\x0E\x04\x02\x00
MID_OP2_#013	Questo mondo non mi interessa. Non mi farei\nproblemi a distruggerlo, se serve a raggiungere\nil mio scopo.\x0E\x04\x02\x00
MID_OP2_#014	Ma tu non potresti mai capirmi. La debolezza e\nl'umiliazione sono concetti a te sconosciuti.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x10\x0EE006_エル\nÈ acqua passata. Ora hai degli amici che\nti vogliono bene.\x0E\x04\x02\x00
MID_OP2_#016	Pensa al tempo trascorso assieme al castello di\nLythos. Eravamo una famiglia.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x14\x12E005_Boss\nQuel periodo di menzogne mi riempie solo di\nrisentimento.\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x10\x0EE006_エル\nNon stai parlando sul serio.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x14\x12E005_Boss\nÈ ridicolo sentirti dire che eravamo una famiglia.\nDavvero il colmo. Lascia che ti riveli un\ndettaglio.\x0E\x04\x02\x00
MID_OP2_#020	Io non sono il tuo gemello.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x10\x0EE006_エル\n...\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x14\x12E005_Boss\nPresi il posto di Nil quando entrambi eravamo\nbambini.\x0E\x04\x02\x00
MID_OP2_#023	E sai che ne è stato del tuo prezioso gemellino?\nColui che giurasti di proteggere rischiando\ntutto per scappare da nostro padre?\x0E\x04\x02\x00
MID_OP2_#024	È morto da tempo.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x02\x10\x0EE006_エル\n...\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x14\x12E005_Boss\nHai capito, ora? Sei da sola.\x0E\x04\x02\x00
MID_OP2_#027	Il tuo amato Drago Divino, i Quattro Venti,\nil tuo vero gemello... sono tutti morti!\x0E\x04\x02\x00
MID_OP2_#028	Ahahah! Non è fantastico?!\x0E\x04\x02\x00
MID_OP2_#029	Finalmente, è il momento di uno scontro alla\npari! E una volta che tutto sarà finito...\x0E\x04\x02\x00
MID_OP2_#030	... potrai porre fine alla mia vita.\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x10\x0EE006_エル\nCosa?\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x14\x12E005_Boss\nSono sempre stato solo e miserabile. Non\nricordo neanche che faccia avesse il mio\ngemello.\x0E\x04\x02\x00
MID_OP2_#033	Sapevo che non avresti mai perdonato il mio\nsotterfugio, eppure per un breve momento...\nè stato bello essere il tuo Nil.\x0E\x04\x02\x00
MID_OP2_#034	Eri così gentile e generosa. Mi trattavi bene.\nCominciai quasi a vederti come una vera\nsorella...\x0E\x04\x02\x00
MID_OP2_#035	Ancora oggi i ricordi legati al castello di\nLythos... sono impagabili.\x0E\x04\x02\x00
MID_OP2_#036	Ma quel tesoro io l'ho rubato. E questo dolore...\nQuesto dolore è insopportabile. Ti prego...\x0E\x04\x02\x00
MID_OP2_#037	Poni fine alla mia miseria.\x0E\x04\x00\x00
MID_OP2_#038	\x0E\x03\x02\x10\x0EE006_エル\nMa cosa dici, Nil? Spiegami cosa ti passa nella\nmente.\x0E\x04\x00\x00
MID_OP2_#039	\x0E\x03\x02\x14\x12E005_Boss\nNo... Argh. No! "Poni fine alla mia miseria"?\nPatetico! Vergognati!\x0E\x04\x02\x00
MID_OP2_#040	Mio padre ha appoggiato la mano sul mio petto\ne mi ha designato come suo erede!\x0E\x04\x02\x00
MID_OP2_#041	Non mi fermerò finché non avrò portato a\ntermine i suoi piani!\x0E\x04\x02\x00
MID_OP2_#042	Voleva questo da me. Non mi avrebbe scelto\ncome erede, altrimenti.\x0E\x04\x02\x00
MID_OP2_#043	Ma forse era un trucco. O magari gli facevo\npena. Non posso saperlo... Argh. Maledetto\ndolore, non vuole sparire!\x0E\x04\x00\x00
MID_OP2_#044	\x0E\x03\x02\x10\x0EE006_エル\nNil! Resisti.\x0E\x04\x00\x00
MID_OP2_#045	\x0E\x03\x02\x14\x12E005_Boss\nDimostrerò il mio valore!\x0E\x04\x02\x00
MID_OP2_#046	Vendicherò nostro padre, esaudirò le sue\nvolontà e compirò il mio destino di erede del\nDrago Maligno!\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x0A\x08リュール\nE così, il Somniel di questo mondo è precipitato.\nNon me ne stupisco.\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x14\x12E005_Boss\nGuarda chi c'è, il Drago Divino.\x0E\x04\x00\x00
MID_OP2_#049	\x0E\x03\x02\x0A\x08リュール\nSono qui solo per Nel. Lasciala andare.\x0E\x04\x00\x00
MID_OP2_#050	\x0E\x03\x02\x14\x12E005_Boss\nTogli il sigillo dall'ultimo bracciale, poi magari\nne riparliamo.\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x02\x0A\x08リュール\nChe sigillo? Di cosa parli?\x0E\x04\x00\x00
MID_OP2_#052	\x0E\x03\x02\x14\x12E005_Boss\nQuesto è il bracciale delle Tre Case.\x0E\x04\x02\x00
MID_OP2_#053	Su di esso è stato posto un sigillo, in modo\nche nessuno possa avere accesso al suo potere.\x0E\x04\x02\x00
MID_OP2_#054	Gli emblemi al suo interno non possono essere\nrisvegliati, né il bracciale può essere spostato\nda questo luogo.\x0E\x04\x00\x00
MID_OP2_#055	\x0E\x03\x02\x0A\x08リュール\nQuindi il Somniel è precipitato dal cielo, ma il\nbracciale è rimasto saldo al suo posto.\nDev'essere frustrante per te.\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x14\x12E005_Boss\nDecisamente. Il Drago Divino mi parlò di questo\nsigillo poco prima della battaglia finale contro\nmio padre.\x0E\x04\x02\x00
MID_OP2_#057	Solo chi lo ha posto può spezzarlo.\nMa quella sciocca persona è morta.\x0E\x04\x02\x00
MID_OP2_#058	Ecco perché non sono ancora riuscito\na diventare il vero erede di mio padre, neanche\nora che ho tutti e sette i bracciali.\x0E\x04\x02\x00
MID_OP2_#059	Ma il tuo arrivo mi ha dato nuova speranza.\nAspettavo con ansia questo momento.\x0E\x04\x00\x00
