MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x00\x0C\x06ルフレ\x024\n\x0E\x03\x02\x0A\x08リュール\nQuesto tempio promette bene. Teniamo gli\nocchi aperti, il bracciale degli emblemi potrebbe\nessere ovunque.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x06\x04チキ\nA-ha! Trovato! È il bracciale dell'Eletto!\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nChe strano, al suo interno percepisco una\npresenza insolita. Provo con l'evocazione...\x0E\x04\x02\x00
MID_OP1_#004	Risvegliati, emblema dei Legami!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x00\x0C\x06ルフレ\x023\n\x0E\x03\x02\x08\x06クロム\nFinalmente sono sveglio. Devo aver dormito a\nlungo.\x0E\x04\x02\x00
MID_OP2_#002	Beh, non potrò più rimproverarti per i tuoi\nsonnellini, poco ma sicuro.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nEhm... Salve...\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x08\x06クロム\nAh, perdonami. Ci serviva un momento per\nriprenderci. Piacere, sono Chrom.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x08\x06ルフレ\nÈ il comandante dei Pastori. E io sono Daraen,\nil suo stratega.\x0E\x04\x02\x00
MID_OP2_#006	Se sei stat\x0E\x0A\x00\x08\x02o\x02a tu a svegliarci, hai tutta la mia\ngratitudine.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nSì, sono stat\x0E\x0A\x00\x08\x02o\x02a io. Sono il Drago Divino\n\x0E\x06\x03\x00. Ma quindi siete due emblemi\nin un unico bracciale?\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x08\x06クロム\nSì, ma non c'è nulla di sorprendente. Il legame\nche ho con Daraen è più forte del destino.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nSpiegati meglio.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x08\x06ルフレ\nStrinsi un patto con Chrom quando morì sua\nsorella, l'Eletta Emmeryn.\x0E\x04\x02\x00
MID_OP2_#011	Nessuno di noi due era al suo livello, ma insieme\nriuscimmo a migliorarci.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x08\x06クロム\nDa quel momento continuammo a sostenerci\na vicenda in tutte le avversità.\x0E\x04\x02\x00
MID_OP2_#013	Mia sorella aveva combattuto per un mondo di\npace. Io e Daraen trasformammo il suo sogno\nin realtà.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nChe storia meravigliosa. Anche io e i miei alleati\ncombattiamo per portare la pace in questo\nmondo.\x0E\x04\x02\x00
MID_OP2_#015	Siete disposti a mettervi a nostra disposizione\nper assicurarci un altro lieto fine?\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x08\x06クロム\nSenza dubbio, ne saremmo onorati.\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x02\x0A\x08リュール\nAddirittura? Non vi ho ancora neanche fatto\nil quadro della situazione!\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x08\x06クロム\nNel momento in cui ho posato il mio sguardo sul\ntuo, ho capito che potevo fidarmi di te.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x08\x06ルフレ\nChrom segue molto l'istinto. Fece la stessa cosa\ncon me. Scelse di fidarsi anche se avevo perso\nla memoria.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08リュール\nApprezzo la fiducia.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x08\x06クロム\nPrima, però, dovremmo valutare di che pasta\nsei fatt\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x08\x06ルフレ\nGiusto. Per vincere una battaglia, servono forza\ne coraggio. Vorremmo assicurarci che non ti\nmanchino queste doti.\x0E\x04\x00\x00
