MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x06\x04エル\nTi ho visto in battaglia, Ike. Hai dato davvero\nspettacolo di te. Devo ammettere che sei\nproprio forte.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06アイク\nCerco di diventare sempre più forte, preferisco\nmetterla così.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x06\x04エル\nTi va di fare un duello di allenamento con me,\nIke? Vorrei scoprire l'origine della tua forza,\nse permetti.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06アイク\nNon so cosa speri di scoprire con un semplice\nallenamento, ma se è quello che vuoi non mi\ntirerò indietro.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x06\x04エル\nMi hai detto che cerchi sempre di diventare più\nforte. A cosa ti serve tutta quella forza?\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06アイク\nNon ho chissà che piani, a parte proteggere\nle persone a cui tengo.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06アイク\nHo visto troppa sofferenza. Non voglio\nvederne più.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nForse la tua forza nasce dalla compassione.\nCercherò di imparare da te.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nラファール\nMi è stato detto che sei il più forte tra gli\nemblemi. Non so se crederci.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06アイク\nBel modo di presentarsi. Apprezzo l'onestà,\nse non altro.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nAllora, cosa ne pensi? Hai cambiato idea\nsulla mia forza?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nLo ammetto: il tuo aiuto è stato utile. Diciamo\nche, tra noi due, sei il secondo più forte.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nSo che ti stai allenando di nascosto.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nIn che senso? Perché mai dovrei allenarmi, io?\nStavo solo ammazzando il tempo.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06アイク\nTi piace dissentire, eh? Mi ricordi un certo\narciere di mia conoscenza.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nVedo che hai tempo da perdere. Allora, non\nti dispiacerà farmi compagnia.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nIke, dico bene? Sei l'emblema più eroico,\na detta di tutti. Ho sentito molto parlare di te.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06アイク\nNon mi sento un eroe, sono solo un semplice\nmercenario.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nZelestia, mangi abbastanza? Ti servirà energia\nper dare il massimo in battaglia.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nAh, mi passa spesso di mente, con tutti gli\nanni che ho vissuto! Cosa posso mangiare?\nForse della carne?\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nHo sentito che guidavi un gruppo di mercenari.\nNon dev'essere stato facile controllarli.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06アイク\nMentirei se ti dicessi il contrario. Anche se\ncredo che fosse più difficile per alcuni dei miei\namici.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06アイク\nHo solo seguito gli ideali in cui credevo.\nÈ per questo che ce l'ho fatta.\x0E\x04\x00\x00
