MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04エル\nI tuoi capelli rosso fuoco sono quasi un faro\nsul campo di battaglia.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04ロイ\nGrazie, li ho ereditati da mio padre. Ne vado\npiuttosto orgoglioso.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nUn'intera saliera, Nel? Non riesco a immaginare\nquale cibo possa richiedere una tale quantità di\nsale.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nTrovo che sia un peccato che tu non possa\nessere testimone del mio contributo all'arte\nculinaria.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04エル\nAffronti ogni pericolo senza la minima\nesitazione. Mi domando persino se tu conosca\nla paura.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04ロイ\nMa certo che la conosco. Il coraggio nasce nel\nmomento in cui si decide di dare la priorità a\nqualcos'altro.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04ロイ\nQuel qualcosa, per me, è combattere accanto ai\nmiei amici. Desidero solo aiutarli e proteggerli.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nCapisco. Allora, spero che mi considererai una\ndi loro.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nラファール\nPer quanto la mia forza da sola basti e avanzi\nin battaglia... il tuo aiuto è pur sempre\napprezzato.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x06\x04ロイ\nMi fa piacere. Cercherò di fare del mio meglio.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nラファール\nCom'era... tuo padre?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x06\x04ロイ\nEra incredibile. In confronto sono solo un\nnovellino. Spero di diventare come lui, un\ndomani.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nラファール\nCredevo di aver ottenuto forza e potere a\nsufficienza, tuttavia mi sento ancora... debole.\nÈ strano non accontentarsi mai?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x06\x04ロイ\nIl potere di per sé non è né qualcosa di buono\nné di cattivo. Desiderarne di più non mi sembra\nstrano.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x06\x04ロイ\nAnch'io avevo bisogno del potere per porre\nfine allo scompiglio nel mio mondo.\nL'importante è l'uso che se ne fa.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nNon ho intenzione di cambiare strada. Resterò\nfedele a me stesso, proprio come facesti tu.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nCosa c'è, Roy? Come mai mi stai osservando?\nSe qualcosa non va, dimmelo pure onestamente.\x0E\x04\x00\x00
