MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08リュール\nSoren, possiamo parlare? Vorrei che mi\nraccontassi qualcosa del tuo mondo.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nPosso concederti qualche minuto, non di più.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08リュール\nLe tue strategie di battaglia sono sempre lucide\ne calcolate. Dovrei copiare il tuo approccio...\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nCiascuno di noi ha i suoi punti deboli. La\nrazionalità e la calma potrebbero essere i tuoi.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08リュール\nIn battaglia sembri sempre così intrepido. Vorrei\navere il tuo coraggio, invece di innervosirmi ogni\nvolta che inizia lo scontro.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nUno stratega non può concedersi il lusso di farsi\nprendere dal panico. E nemmeno qualcuno con\nla tua autorità.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nHai ragione. Devo cercare di mantenere i nervi\nsaldi, a prescindere dalle incognite.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nProva a concentrarti su una decisione per volta.\nCon il senno di poi, saprai se hai fatto la scelta\ngiusta.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLord Soren, non vedo l'ora di sentire quali\nstrategie avete ideato, più tardi al consiglio di\nguerra.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nNon so quale aiuto potrò dare a questo esercito,\nma vedrò di fare del mio meglio.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nIl Drago Divino è sempre di un'educazione\nesemplare, ma apprezzo anche la vostra\nfranchezza.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nGrazie. Non è da tutti.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nPerdonatemi ancora, se vi ho domandato di\nesternare ciò che nessuno aveva il coraggio di\ndire.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nHo solo dato il mio parere, nulla più.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nÈ confortante sapere di avere tra noi\nuno stratega come voi.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nAllora spero che la tua fiducia sia ben riposta.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nSei lì impalato da un po'. Cosa stai facendo?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nOh, sto venerando il Drago Divino a distanza.\nÈ così regale... e sublime.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クラン\nMi do molto da fare per servire il Drago Divino.\nNon c'è niente di meglio al mondo che rendere\nfelice qualcuno.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nCredo di poterti capire.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クラン\nLord Soren, ti piace la carne? Mi pareva di\naverti visto informarti a riguardo.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nNo, ti sbagli.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nAh, come non detto. Allora, immagino che non ti\ninteressi questa nuova ricetta...\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nAspetta. Dimmi di più.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06フラン\nNon trovi che il Drago Divino sia più\naffascinante del solito, oggi? È come un dono,\nnon finisce mai di sorprendermi...\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nUn dono? Ma di cosa parli? Non ha senso ciò\nche dici.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06フラン\nLord Soren, mi aiuteresti a inventare un coro\nper tifare il Drago Divino quando si allena?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nUn coro? Forse potrebbe avere un influsso\npositivo sul morale...\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06フラン\nGrazie per l'aiuto. Ora posso fare il tifo per il\nDrago Divino e sostenerl\x0E\x0A\x00\x08\x02o\x02a meglio!\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nDavvero?\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nSì. Ma sono sorpresa, credevo che mi avresti\ndetto di non gridare troppo forte.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nSe le tue urla sguaiate sono di qualche aiuto\nall'esercito, non ho nulla in contrario.\x0E\x04\x00\x00
