MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nMi fa davvero piacere stringere amicizia con un\naltro Drago Divino. Abbiamo così tanto da dirci!\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nSono cert\x0E\x0A\x00\x08\x02o\x02a che diventeremo ottim\x0E\x0A\x00\x08\x02i\x02e amic\x0E\x0A\x00\x0A\x02i\x04he.\nNon vedo l'ora di scoprire tutto di te.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nNon lo trovi buffo? Siamo entramb\x0E\x0A\x00\x08\x02i\x02e Draghi\nDivini, ma tu hai i capelli di due colori diversi.\nDevo dire che mi piacciono!\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nGrazie, Tiki. Anche i tuoi capelli sono fantastici.\nTrovo che il verde ti dia un'aria mistica.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08リュール\nFaccio spesso degli incubi... specialmente dopo\naver combattuto contro le aberrazioni.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x06\x04チキ\nAnche io facevo gli incubi quando ero da sola.\nMa adesso sto meglio, perché ci siete tutti voi!\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x06\x04チキ\nResterò accanto a te e farò in modo di scacciare\nquei brutti sogni, vedrai.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nSei gentile, Tiki. Mi fa piacere che tu sia\nal mio fianco.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nNoi valletti siamo umili servitori del Drago\nDivino da generazioni. Mi sentirei onorato\ndi servire anche voi.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x06\x04チキ\nAllora voglio diventare tua amica! Cominciamo\nad aprirci e a conoscerci meglio!\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nEhi, cosa fai con quei legnetti? Sembra\ndivertente. Posso guardare?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNaturalmente. Il vostro interesse mi onora,\nlady Tiki. Sto lavorando a maglia.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nVuoi essere lo stesso mio amico, anche se non\nsono un Drago Divino di questo mondo?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNon è il vostro essere un Drago Divino che vi\nrende importante per me, ma la vostra\npersonalità.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nÈ il cuore che conta, per i draghi così come per\ngli umani. E il vostro è puro. Sono grato di\ncombattere al vostro fianco.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x06\x04チキ\nIhih, ho capito. Sono contenta di sentirtelo dire.\nFarò il possibile per continuare a meritare i tuoi\ncomplimenti, allora!\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06クラン\nAnche lady Tiki è un Drago Divino... Oh, è così\nsublime... Spero di poterla ammirare a lungo!\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x06\x04チキ\nMh? Cosa fai lì? Mi guardi da lontano?\nVieni qui, parliamo un po'!\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06クラン\nStento ancora a credere che tu voglia parlare\nproprio con me. Che onore! Mi sento un po'\nnervoso, però.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x06\x04チキ\nNon è il caso di essere teso, Clanne. Siamo\namici, in fondo!\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nClanne, posso farti una domanda? Dici spesso\nche sono "sublime", ma cosa significa\ndi preciso?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nDunque, non so come spiegarlo... Significa\nche sei meravigliosa, troppo fantastica per\nessere vera. Qualcosa del genere, ecco.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x06\x04チキ\nAh! Ma allora anche tu sei sublime!\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nEh?! Non prendermi in giro. Dici davvero?\nOh mamma, mi sento svenire dalla gioia!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06フラン\nUn Drago Divino che viene da un altro mondo!\nOps! Mi ha vista. E ora che faccio? Aiuto!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x06\x04チキ\nBeh? Mi stavi guardando? Non startene lì\nimpalata, dai. Vieni pure qui a parlarmi!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06フラン\nOh, lady Tiki, mi fa molto piacere che tu voglia\nparlarmi. Ma quando ti vedo non riesco più\na mettere due parole in fila.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x06\x04チキ\nIhih, preparati, allora. Mi vedrai molto spesso,\nperché voglio diventare tua amica!\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06フラン\nLady Tiki... ti ho scritto una lettera in cui\nesprimo tutta la mia gratitudine. Ti andrebbe\ndi leggerla?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x06\x04チキ\nOh, che cara che sei! Ma, ecco, c'è un\nproblema... Non posso prenderla in mano.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x06\x04チキ\nMe la leggeresti tu? Voglio proprio sentire\ncosa hai scritto.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nEh?! Vuoi che la legga ad alta voce? Non\nme lo aspettavo, ma... ehm, posso provarci.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIl mio popolo è devoto al Drago Divino. Per me\nè un onore incontrarne uno di un altro mondo.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x06\x04チキ\nAnche per me è un piacere! Spero che\ndiventeremo buoni amici!\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIl sole non è ancora sorto. Cosa fai in giro\ncosì presto?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nMi alleno per diventare ancora più forte.\nVuoi unirti a me?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nTiki... secondo te perché si fanno le guerre?\nChe bisogno c'è di calpestare i fiori e\nspargere sangue?\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x06\x04チキ\nNon c'è una spiegazione semplice...\nMa credo che tutte le persone siano buone, nel\nprofondo del cuore.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x06\x04チキ\nSe tutti fossero come te, nel mondo non\nci sarebbero guerre. Sarebbe bello.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nAhah. Grazie. Non posso fare a meno di\npreoccuparmi... ma quando mi alleno mi sento\nmeglio. Ti va una corsa?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nブシュロン\nUn emblema che può trasformarsi in drago...\nIncredibile! Farò del mio meglio per essere\nall'altezza.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x06\x04チキ\nAnche io mi impegnerò al massimo! Voglio\nmostrarti di cosa sono capace!\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nDev'essere proprio commovente quel libro,\nper farti piangere così. Mi piacerebbe che me lo\nleggessi.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nAh, mi hai visto piangere? Sai, è il mio libro\npreferito. Mettiti comoda, così te lo leggo.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nTi piace proprio leggere, o sbaglio? Hai sempre\nun libro in mano.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nHai ragione. I romanzi offrono una piacevole\ndistrazione dalla guerra. E a te piace leggere?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x06\x04チキ\nPreferisco che qualcuno lo faccia per me!\nA proposito, mi leggeresti qualcosa?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nMa certo. Le belle storie da raccontare non\nfiniscono mai.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nエーティエ\nTiki, a te piace allenarti? Potremmo andare\na correre insieme per suggellare la nostra\namicizia, che ne dici?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x06\x04チキ\nAdoro tenermi attiva! E poi, se siamo insieme,\nsono sicura che ci divertiremo ancora di più!\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nエーティエ\nIl mio villaggio è famoso per i peschi in fiore.\nUn giorno spero di poterteli mostrare.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x06\x04チキ\nOh, davvero? Mi piacerebbe molto! I fiori sono\ncosì belli, spero che quel giorno arrivi presto!\x0E\x04\x00\x00
