MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nNon ho mai visto un potere come il tuo, il potere\ndi evocare gli emblemi... Vorrei farlo mio.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nÈ un onore per me, ma temo che non possa\nfar tuo questo potere. Sarò liet\x0E\x0A\x00\x08\x02o\x02a di aiutarti,\nse ne avrai bisogno.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nNon smetti di combattere neanche quando sei\ncopert\x0E\x0A\x00\x08\x02o\x02a di ferite. Come mai? Chi ti obbliga?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nNon mi obbliga nessuno. Combatto per\nproteggere il mondo che amo.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nCombatti per la pace con tutte le energie.\nNon ce ne sono molti come te, là fuori.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nÈ solo grazie al supporto dei miei amici.\nE ho la fortuna di avere anche te come amica.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nMi consideri... un'amica?\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nMa certo. I legami che stringiamo sul campo di\nbattaglia non ci abbandoneranno mai, finché\nquesto splendido cielo sarà sopra di noi.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nLady Veronica, mi ritengo onorato di ricevere\nsupporto da una principessa imperiale.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nNon sopporto la formalità. Piuttosto, parlami di\nte...\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nCos'è quella stoffa, Vander?\nL'hai cucita tu?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nMi piace lavorare a maglia, è uno dei miei\npassatempi preferiti. Vi piacerebbe imparare?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nAscolti sempre le mie chiacchiere.\nNon è che ti annoio?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nNo, assolutamente. Le vostre storie sono\naffascinanti e mi piace vedervi sorridere mentre\nle raccontate.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nDavvero sorrido quando ti parlo? Strano...\nNon è da me.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nForse perché abbiamo trascorso tanto tempo\ninsieme. Ormai, siamo diventati amici.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クラン\nLady Veronica, se hai bisogno di qualsiasi cosa,\nchiedi senza esitazione. Mi piace rendermi utile.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nUhm... In tal caso, raccontami una storia.\nVorrei conoscerti meglio.\x0E\x04\x00\x00
