MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nNon riesco a credere che al posto di questo\nlago ci fosse una montagna.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08ヴェイル\nPercepisco una scheggia del Drago Maligno.\x0E\x04\x02\x00
MID_OP1_#003	Zephia ci ha detto la verità. Deve trovarsi laggiù\nda qualche parte, nelle profondità del lago.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08リュール\nHa detto che il cristallo incantato renderà quel\nluogo raggiungibile.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08ヴェイル\nMa solo per alcune ore. Quindi, non appena\npossibile, vi guiderò dritti alla scheggia.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nGrazie.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08ヴェイル\nAllora comincio.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nFunziona! Ma... che succede?\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08ヴェイル\nLa montagna si sta sollevando! O è il lago che si\nsta prosciugando! Restiamo uniti!\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0A\x08リュール\nQui non siamo al sicuro...
MID_OP1_#011	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x02\x0A\x08ヴェイル\n\x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_OP1_#011_F	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x02\x0A\x08ヴェイル\n\x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nVeyle!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nSembra che io sia stat\x0E\x0A\x00\x08\x02o\x02a catapultat\x0E\x0A\x00\x08\x02o\x02a lontano\ndagli altri.\x0E\x04\x02\x00
MID_OP2_#002	Il lago è sparito, sostituito dalla montagna!\x0E\x04\x02\x00
MID_OP2_#003	Il cristallo ha funzionato, ora però devo ritrovare\ngli altri.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x00\x18\x12M024_リュール\x021\n\x0E\x06\x00.\x12M024_リュール\x18MPID_Unknown\n\x0E\x03\x02\x14\x12M024_リュール\nEhi, tu!\x0E\x04\x02\x00
MID_OP2_#005	\x0E\x03\x02\x0A\x08リュール\nEh?\x0E\x04\x02\x00
MID_OP2_#006	...\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x14\x12M024_リュール\nChe strano. Hai la faccia uguale alla mia.\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x0A\x08リュール\nCosa?! Non è possibile, quell\x0E\x0A\x00\x08\x02o\x02a... sono io?\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x14\x12M024_リュール\nChi sei tu?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0A\x08リュール\nBeh, sono... ehm...\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x14\x12M024_リュール\nSento la presenza di un emblema che non ho\nmai percepito prima d'ora.\x0E\x04\x02\x00
MID_OP2_#012	Se hai con te un anello, dammelo. Devo\nportarlo a mio padre.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0A\x08リュール\nTuo padre?\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x14\x12M024_リュール\nIl re dei draghi, Sombron.\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x14\x12M024_リュール\nIl mio compito è raccogliere gli anelli degli\nemblemi.\x0E\x04\x02\x00
MID_OP2_#017	Mi è stato ordinato di adempiere il mio dovere\na qualunque costo.\x0E\x04\x02\x00
MID_OP2_#018	Attualmente siamo in guerra contro i Draghi\nDivini, e ho già trovato diversi anelli.\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x0A\x08リュール\n(Una guerra? Ma allora sono proprio io durante\nla guerra contro i Draghi Divini?)\x0E\x04\x02\x00
MID_OP2_#020	(L'incantesimo di Zephia mi ha permesso di\nraggiungere la scheggia, ma nel passato!)\x0E\x04\x02\x00
MID_OP2_#021	(Dunque mi trovo nel Gradlon di mille anni fa,\nprima che sprofondasse. La scheggia deve\nessere nelle vicinanze.)\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x06\x002\x12M024_リュール\x1CMPID_PastLueur\n\x0E\x03\x02\x14\x12M024_リュール\nChe stai borbottando? Te lo ripeto, se possiedi\nun anello devi darmelo. Subito.\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x0A\x08リュール\nMi spiace, ma non lo farò.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x14\x12M024_リュール\nNon puoi opporti. Non posso lasciarti andare\ncon l'anello. Se disobbedisco a mio padre...\x0E\x04\x02\x00
MID_OP2_#025	Verrò uccis\x0E\x0A\x00\x08\x02o\x02a, come tanti dei miei fratelli e delle\nmie sorelle.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x02\x0A\x08リュール\nUccis\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_OP2_#027	\x0E\x03\x02\x14\x12M024_リュール\nUno dei miei fratelli maggiori è stato affogato.\nUna delle mie sorelle maggiori, bruciata viva.\x0E\x04\x02\x00
MID_OP2_#028	Un fratellino e una sorellina, che amavo tanto,\nsono stati dilaniati dalle aberrazioni.\x0E\x04\x02\x00
MID_OP2_#029	Altri sono caduti in battaglia. Quasi tutti i miei\nfratelli erano difettosi e mio padre se n'è\ndisfatto.\x0E\x04\x00\x00
MID_OP2_#030	\x0E\x03\x02\x0A\x08リュール\nDisfatto?\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x14\x12M024_リュール\nCos'altro vuoi fare con ciò che è difettoso?\nIo però non sono difettos\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x02\x00
MID_OP2_#032	Per dimostrarlo a mio padre, raccolgo gli anelli,\ncosì che il suo desiderio possa avverarsi.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x0A\x08リュール\nE quando questo suo desiderio si avvererà,\ntu allora cosa farai?\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x14\x12M024_リュール\nCosa farò? Io... beh...\x0E\x04\x00\x00
MID_OP2_#035	\x0E\x03\x02\x0A\x08リュール\nAh! Cos'è stato?!\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x14\x12M024_リュール\nUna valanga. Ce ne sono spesso da queste parti.\x0E\x04\x02\x00
MID_OP2_#037	Sento delle aberrazioni nelle vicinanze.\nSono agitate, e questo è strano.\x0E\x04\x02\x00
MID_OP2_#038	Credo che ci siano degli intrusi.\x0E\x04\x00\x00
MID_OP2_#039	\x0E\x03\x02\x0A\x08リュール\nGli altri devono trovarsi nei paraggi...\nScusami, ma devo andare.\x0E\x04\x00\x00
MID_OP2_#040	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x02\x14\x12M024_リュール\nL'estrane\x0E\x0A\x00\x08\x02o\x02a con il mio stesso viso sta scappando.\nNon lo permetterò.\x0E\x04\x02\x00
MID_OP2_#041	Devo inseguirl\x0E\x0A\x00\x08\x02o\x02a. Ho bisogno del tuo aiuto...\x0E\x04\x02\x00
MID_OP2_#042	... Marth.\x0E\x04\x00\x00
MID_OP2_#043	\x0E\x03\x00\x18\x12M024_敵マルス\x022\n\x0E\x03\x02\x14\x12M024_敵マルス\n...\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x12\x0Cアルフレッド\x023\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08リュール\nEccovi!\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nGrazie al cielo stai bene! Non sapevamo più\ndove cercarti!\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x0A\x08ヴェイル\n\x0E\x06\x03\x00! Per fortuna siamo riusciti a\nritrovarci dopo quel terremoto!\x0E\x04\x02\x00
MID_OP3_#003_F	\x0E\x03\x02\x0A\x08ヴェイル\n\x0E\x06\x03\x00! Per fortuna siamo riusciti a\nritrovarci dopo quel terremoto!\x0E\x04\x02\x00
MID_OP3_#004	So dove trovare la scheggia del Drago Maligno.\nDobbiamo percorrere solo una breve salita.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nPurtroppo, qualcuno ci ha seguiti.\nIndovina chi...\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x02\x0A\x08リュール\nEh?\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x08\x06セピア\nEhi, voi! Esigo che riveliate subito la vostra\nidentità.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x02\x0A\x08リュール\nZephia?!\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x08\x06セピア\nChi servite? Avete affrontato le aberrazioni e ve\nne siete liberati con facilità...\x0E\x04\x02\x00
MID_OP3_#010	Non è mai capitato nulla di simile, e\nle sorprese... non sono mai gradite.\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\nCom'è possibile? Pensavo fosse morta.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nÈ morta, sì. Non dovrebbe essere qui, davanti\na noi...\x0E\x04\x02\x00
MID_OP3_#013	Non sembra trasformata in un'aberrazione...\nma non ci riconosce nemmeno.\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x0A\x08リュール\nHo qualcosa da dirvi. Cercate di restare calmi,\nma... si tratta della Zephia di mille anni fa.\x0E\x04\x02\x00
MID_OP3_#015	Perché ci troviamo nel Gradlon di mille anni fa,\nai tempi della guerra.\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x02\x0A\x08ヴェイル\nCosa?!\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x0A\x08リュール\nIl cristallo doveva rendere la scheggia\nraggiungibile e... in un certo senso l'ha fatto.\x0E\x04\x02\x00
MID_OP3_#018	Senza far sorgere le montagne, o prosciugare\nil lago... ma riportandoci indietro nel tempo.\x0E\x04\x02\x00
MID_OP3_#019	Che ci crediate o no, poco fa mi sono imbattut\x0E\x0A\x00\x08\x02o\x02a\nne\x0E\x0A\x00\x0C\x02l\x06lla me stess\x0E\x0A\x00\x08\x02o\x02a del passato. È così che ho\ncapito la verità.\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\n\x0E\x0A\x00\x1C\x0CIl tuo\x0CLa tua cosa?\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nHo un brutto presentimento...\x0E\x04\x00\x00
