MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x02\x0A\x08リュール\nQuindi... l'ultima scheggia del Drago Maligno si\ntrova qui? Nel tempio di Gradlon?\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08ヴェイル\nSì...\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nC'è qualche problema, Veyle? Sembri stanca.\nPreferisci riposare ancora un po'?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08ヴェイル\nNo, non è quello... Avrei una richiesta, a dire\nil vero.\x0E\x04\x02\x00
MID_OP1_#005	Lasciami entrare da sola. Distruggerò\nla scheggia e tornerò qui.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nCosa?! Non posso permettertelo. È troppo\npericoloso.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08ヴェイル\nCredimi. Non vorrai affrontare ciò che ci\nattende dall'altra parte.\x0E\x04\x02\x00
MID_OP1_#008	Te ne pentiresti. Per favore, per il bene tuo\ne dei tuoi amici...\x0E\x04\x00\x00
MID_OP1_#008_F	Te ne pentiresti. Per favore, per il bene tuo\ne dei tuoi amici...\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\nMa di che parli? Non capisco.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x18\x12M025_ルミエル\x021\n\x0E\x06\x00.\x12M025_ルミエル\x18MPID_Lumiere\n\x0E\x03\x02\x14\x12M025_ルミエル\nEheh, sei davvero tu, \x0E\x06\x03\x00?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x14\x12M025_ルミエル\nSei proprio tu, eh?\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nMadre?!\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x14\x12M025_ルミエル\nOh, mi\x0E\x0A\x00\x08\x02o\x02a adorat\x0E\x0A\x00\x08\x02o\x02a, quanto ho desiderato poterti\nrivedere!\x0E\x04\x02\x00
MID_OP1_#015	Ho percepito la tua presenza e sono corsa\nqui più veloce che potessi.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0A\x08リュール\nNon è possibile, come...\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x14\x12M025_ルミエル\nMi sei mancat\x0E\x0A\x00\x08\x02o\x02a così tanto!\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nNon avvicinarti, Drago Divino... o dovrei\nchiamarti Lumera aberrante?\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x06\x008\x12M025_ルミエル"MPID_MorphLumiere\n\x0E\x03\x02\x14\x12M025_ルミエル\nAh... proprio nel momento in cui stavo per\nriabbracciare mi\x0E\x0A\x00\x08\x02o\x02a figli\x0E\x0A\x00\x08\x02o\x02a...\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x0A\x08ヴェイル\nNon me l'aspettavo. Credevo che sarebbe\nrimasta all'interno, con la scheggia.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x0A\x08リュール\nVeyle... è opera tua?\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x0A\x08ヴェイル\nNo, è stato papà. Grazie agli anelli ora può\ncreare aberrazioni più... complesse.\x0E\x04\x02\x00
MID_OP1_#023	Ha sottratto il suo corpo dal Lythos per usarlo\ncome ultimo baluardo a difesa delle schegge.\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x02\x0A\x08リュール\nTu lo sapevi, Veyle, vero? Sapevi ciò che è\naccaduto a mia madre...\x0E\x04\x00\x00
MID_OP1_#025	\x0E\x03\x02\x0A\x08ヴェイル\nSì, ma sapevo anche che non c'è nulla che\npossiamo fare per salvarla.\x0E\x04\x02\x00
MID_OP1_#026	Gli emblemi hanno usato il miracolo. Potevano\nsalvare solo una persona e hanno scelto te.\x0E\x04\x02\x00
MID_OP1_#027	Non esiste altro modo per far tornare indietro\nqualcuno che è stato trasformato in aberrazione.\x0E\x04\x00\x00
MID_OP1_#028	\x0E\x03\x02\x0A\x08リュール\nVuoi dire che non abbiamo alternative, quindi.\nDobbiamo affrontarla.\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x0A\x08ヴェイル\nNon devi combattere per forza.\nLascialo fare a me.\x0E\x04\x00\x00
MID_OP1_#029_F	\x0E\x03\x02\x0A\x08ヴェイル\nNon devi combattere per forza.\nLascialo fare a me.\x0E\x04\x00\x00
MID_OP1_#030	\x0E\x03\x02\x0A\x08リュール\nMa...\x0E\x04\x00\x00
MID_OP1_#031	\x0E\x03\x02\x14\x12M025_ルミエル\nFuori si gela, perché non entri? Sei qui per\ndistruggere la scheggia, vero?\x0E\x04\x02\x00
MID_OP1_#032	Va tutto bene, non mordo. Desidero solo\nuna lunga e amorevole chiacchierata.\x0E\x04\x00\x00
MID_OP1_#033	\x0E\x03\x01\x14\x12M025_ルミエル\n\x0E\x03\x02\x0A\x08リュール\nMadre...\x0E\x04\x02\x00
MID_OP1_#034	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP1_#035	\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x02\x0C\nヴァンドレ\nLa regina Lumera, proprio qui di fronte a noi...\nNon credo ai miei occhi. Cosa facciamo?\x0E\x04\x00\x00
MID_OP1_#036	\x0E\x03\x02\x0A\x08リュール\nDobbiamo sconfiggerla. Non abbiamo scelta.\x0E\x04\x02\x00
MID_OP1_#037	Ma... non so ancora dove troverò la forza\ndi farlo.\x0E\x04\x00\x00
