MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nBoucheron, spero che non ti dispiaccia se ti ho\npreparato qualcosa da mangiare...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nOh, davvero? È tutto per me?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSì, tutto tuo. Spiedini di pollo con verdure miste.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nE ho anche preparato una frittata e del pane\ntostato. E per finire: un po' di frutta.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nブシュロン\nWow, non credo ai miei occhi. Sembra molto\nappetitoso e anche bello a vedersi.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nScusami se la presentazione è impeccabile.\nTi sentirai sicuramente in colpa a rovinarlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa spero che sia di tuo gradimento. Serviti pure,\nl'ho preparato apposta per te.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nAh, non mi faccio pregare, proprio no.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nブシュロン\nIl profumo non ingannava! Credo che sia il\npranzo più buono che io abbia mai mangiato.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEd è tutto quello che avresti da dire?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nEh? In che senso?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPenso di meritarmi qualche complimento di più.\nPotresti farti sentire dagli altri, già che ci sei?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nブシュロン\nVuoi altri complimenti? E cosa potrei\naggiungere che non abbia già detto?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCosa potresti aggiungere?\x0E\x04\x00\x00
