MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nOh! Guarda chi c'è! La principessa Céline del\nregno di Firene!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06カゲツ\nCome vanno le cose? Gradiresti un tè?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nScoppi di energia come sempre, vedo.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nNaturale!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nSono sempre su di giri! Non so dove metterla\ntutta l'energia che ho!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セリーヌ\nAllora mi spiace deluderti, ma ho appena finito\ndi bere il tè.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nMa accetto volentieri l'invito per un'altra volta.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nOh, che peccato. Allora ti va un incontro?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nUn po' di esercizio fisico dopo il tè fa sempre\nbene! Forza, mostrami cosa sai fare!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nIhihih.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nMh? Che c'è da ridere?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nNon fai in tempo a invitarmi per un tè che\nl'attimo dopo mi stai già sfidando a duello!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nNon è da tutti comportarsi così in presenza di\nuna principessa. Sei proprio buffo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nAhah, mi spiace ma i complimenti non attaccano\ncon me!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セリーヌ\nDevo declinare anche l'incontro, ma prometto\nche troverò un'occasione per chiacchierare\nun po' la prossima volta.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\nNon c'è problema! È così che funziona tra\namici, no?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nSì, hai ragione.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nPrincipessa Céline!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nSalve, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\nAhah. Dunque, ho sentito delle cose\ninteressanti.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nAd esempio che sei una brava spadaccina pur\nessendo una principessa.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nIl che non fa che incuriosirmi ancora di più.\nAccetti un duello? Vorrei tanto vedere come\nte la cavi!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nApprezzo lo spirito, ma non trovo stimolo\nnel combattere senza una ragione fondata.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nUmpf. Che noia. Non vuoi mettere alla prova\nla tua forza?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nCerco di tenermi in forma per proteggere il\nmio paese, non ho mai pensato di allenarmi\nsolo per il gusto di farlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nE vabbè. Ciascuno è fatto a modo suo.\nAlmeno un tè lo vorrai bere?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セリーヌ\nCon piacere. Ma prima ho dei doveri ufficiali\ndi fronte a cui non posso tirarmi indietro.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セリーヌ\nNon ci vorrà molto tempo, devo solo scrivere\nuna lettera da spedire a casa. Ti va di aspettare?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nCerto che le principesse ne hanno di impegni.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nEh, sì. Non ho il lusso di poter schivare\nle responsabilità.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nMa non ti soffoca questa vita?\nIo al posto tuo non ce la farei.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nLa vita di una principessa non esula dalle\ndifficoltà, ma ha anche le sue piccole gioie.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nAh, sì? Faccio fatica a crederci.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nLa prossima volta che ci vediamo, ti mostrerò\nmeglio in cosa trovo quelle piccole gioie.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nEra questo?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nSì. Proprio questo.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nNon capisco. Cos'è che ti rende felice di\nquesto quadro?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nÈ solo un quadro del regno di Firene. Certo\nè ben fatto, ma...\x0E\x04\x00\x00
