MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nDiamant, c'è qualcosa in particolare che ti\npreoccupa?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nLady Veyle... Come mai questa domanda, così\ndi punto in bianco?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nSo di avere commesso azioni terribili.\nMi piacerebbe rimediare... se possibile.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nTi riferisci alla morte di mio padre? Non hai\nniente da farti perdonare, in tal caso. So che\nnon avevi il controllo di cosa facevi.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ヴェイル\nÈ vero, ma vorrei comunque cercare di\nriscattarmi.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nCapisco. Al posto tuo probabilmente farei lo\nstesso. Dunque, vediamo...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nSe devo essere sincero... al momento non ho\nproblemi particolari.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nAnche se forse... Ti andrebbe di aiutarmi ad\naiutare altra gente?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ヴェイル\nAltra gente?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nIn qualità di principe ereditario di Brodia, è\nmio dovere aiutare il mio popolo.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nQuindi, aiutando i bisognosi, mi faresti anche\nun grande favore.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nAllora, lady Veyle? Ti ho convinta?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ヴェイル\nSì, mi hai convinta. Ci sto!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x04\x03\x04
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nMmmh, strano, però.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ヴェイル\nÈ tutto il giorno che giriamo in lungo e in largo\ne non siamo riusciti a trovare nessuno che\nvolesse il nostro aiuto.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nNe sono stupito tanto quanto te. Neanche\nuno che avesse bisogno di qualcosa...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nMa di cosa ci preoccupiamo? Dovremmo\nesserne felici, piuttosto.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nOggi è stata una buona giornata per la mia\ngente.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ヴェイル\nCerto... ma così non ho potuto fare le mie\nbuone azioni ed espiare le mie colpe.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nCerto, per oggi è andata così... ma cosa ne\npensi di questa proposta?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nPrima o poi avrò un problema irrisolvibile.\nTi prometto che in quel caso sarai la prima\nche chiamerò.\x0E\x04\x00\x00
