MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nLady Nel, desiderate qualcosa da bere?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nNon v'è bisogno.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nAvete forse fame? Vi ho portato del pane.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04エル\nNon ho fame.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nAllora lo mangerò io più tardi.\nVoi dovreste riposare un po'.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04エル\nZelestia.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nSì, signora?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04エル\nUltimamente sei molto sollecita e incalzante\nnei miei confronti. Come mai?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nBeh, non sono stata in grado di proteggervi\nin una delle recenti battaglie.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Non voglio che ciò accada mai più, così ho\ndeciso di restare al vostro fianco per difendervi.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nApprezzo molto lo sforzo.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Ma il nostro rapporto non è più gerarchico. Ora\naiutiamo entrambe il Drago Divino, alla pari.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Mi hai protetta in modo eccellente nel nostro\nmondo, e per questo ritengo che tu abbia\nadempiuto adeguatamente al tuo compito.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cセレスティア\nSe è quello che pensate... allora da oggi in poi\nfarò quello che voglio.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nMolto bene. Ora mi congedo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04エル\nMi stai seguendo...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cセレスティア\nSpero di non recarvi disturbo, ma questo è ciò\nche desidero fare. Starvi accanto.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04エル\nAh...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x06\x04エル\nZelestia. Hai mai pensato di stringere nuove\namicizie?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nNuove amicizie? Cosa intendete dire?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nIntendo dire forgiare legami con altre persone,\nampliare le tue prospettive.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nSe è questo che desiderate per me, farò del mio\nmeglio per eseguire i vostri ordini.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04エル\nNon era un ordine.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cセレスティア\nPer voi, lady Nel, farò amicizia con centinaia\ndi persone! Qualunque cosa pur di rendervi\nfelice!\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Aaah...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04エル\nPerché piangi?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nPerdonatemi! Ci ho provato, ma non sono stata\nin grado di fare nuove amicizie.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04エル\nRaccontami tutto.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nNon lo so... Sono andata in giro a parlare\ncon gli altri...\x0E\x04\x02\x00
MID_RELIANCE_B_#012	Ma la maggior parte della gente scappava via\nappena mi vedeva.\x0E\x04\x02\x00
