MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06フラン\nVorrei fare un regalo a mamma e papà, ma\ncosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06アンナ\nEhi, Framme!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nEhi, Anna. Che si dice?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06アンナ\nUgh, "Anna" è troppo formale. Chiamami\n"signorina Anna"!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nOh, come vuoi. Allora... "Ehi, signorina Anna!"\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06アンナ\nBene, così va meglio. Allora, cosa cerchi di\nbello qui al mercato?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nUn regalo per l'anniversario dei miei genitori.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\nAh! Ma tu sei una mercante. Avresti qualcosa\ndi adatto da vendermi?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06アンナ\nFramme, Framme, Framme. Ma certo che ho\nqualcosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nAmmira! Ti sfido a trovare qualcosa che costi\nmeno e che sia di migliore qualità.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nOooh! Mi piacciono questi soprammobili!\nQuesta statuina farebbe la sua figura a casa\nloro...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nSenti qua, proprio perché siamo amiche inciderò\nanche i loro nomi in omaggio.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nMmh, davvero allettante. Però, ci sai fare,\nsignorina Anna!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nSono lontana dalla mia famiglia. Stando da\nsola ho dovuto affinare le mie doti da venditrice.\x0E\x04\x00\x00
