MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nGoldmary, se non erro siete famosa per\ni vostri manicaretti, di grazia.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nGià, proprio così.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPerdona la sfrontatezza, ma a costo di\ninimicarmi tutti gli altri cuochi, devo dire che le\nmie abilità in cucina non hanno pari.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAttiro molta invidia, ma temo che sia inevitabile\nquando si è la perfezione fatta a persona...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nChe magnificenza... Considerata la vostra\ndisinvoltura nel campo, sareste così gentile da\ncondividere con me la dottrina?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPotrei. Ma perché me lo chiedi?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パネトネ\nSeppur con mio grande rammarico, sono\nalquanto scarsa ai fornelli.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\nMa resto pur sempre al servigio della famiglia\nreale. Ci si aspetta da me una qualsivoglia\npadronanza nell'arte culinaria...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCerto...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon so quanto mi convenga condividere i\nmiei segreti in cucina con una potenziale\nrivale, però.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パネトネ\nMai e poi mai mi permetterei di sottrarvi\nlo scettro. Mi accontenterei di soddisfare il\npalato del capo.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBeh, se è per la principessa...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nD'accordo. Rispetto la tua devozione nei\nsuoi confronti. Ti aiuterò.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNe riparliamo quando avrò gli ingredienti.\nAggiorniamoci un'altra volta.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nVi ringrazio, Lorsignora. La vostra gentilezza\nnon sarà obliata.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nPer questa prima lezione, prepareremo un pollo\narrosto.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nOttimo, di grazia. Il capo adora le cosce\npolpose.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEhm, non sono sicura di aver capito... ma\nandiamo avanti. Questo è il pollo che useremo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パネトネ\nTutto chiaro, per intanto.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nOrdunque il volatile è pronto e basta impiattarlo\ne servirlo al capo?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCosa? Ma no, certo che no... Così è ancora\ncrudo, non va bene.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDobbiamo ancora farcirlo e cuocerlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nOh, capisco, di grazia.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nQueste erbe servono per il ripieno. Potresti\ntagliarle finemente?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パネトネ\nNaturalmente!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nC-Calma, calma. Sono solo delle erbe indifese...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nE ora la raffica finale! Hyah!\x0E\x04\x00\x00
