MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nGoldmary! Gira voce che giù in città un\ngentiluomo abbia chiesto di te.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nScusatemi, volevo dirvelo di persona, ma\normai perdo il conto delle volte che succede...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nTranquilla, non sono arrabbiata. Ma cosa\ngli hai risposto? Dimmi.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHo declinato educatamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cオルテンシア\nAh, ho capito. Sei abituata a questo genere\ndi cose, eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nMi dicevi che ti è già successo altre volte, no?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPurtroppo sì.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAttiro sempre attenzioni indesiderate ovunque\nvada.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÈ per via del mio fascino naturale, che ci posso\nfare... Ma scusatemi, se la cosa vi arreca\ndisturbo.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo, no. Nessun disturbo. È solo che a me non\ncapitano mai queste cose.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCapiteranno, date tempo al tempo. Siete ancora\ngiovane, in fondo.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nCosa vorresti dire!? Che sono immatura?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo, no... Non intendevo dire questo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nBeh, tornando a noi, il tuo fascino è qualcosa\na cui ambire.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nD'altronde non mi aspetterei diversamente dai\nmiei attendenti! Sono orgogliosa di te!\x0E\x04\x00\x00
