MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x02\x0E\x0Cオルテンシア\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nAhah! Un capolavoro, Hortensia!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nEh? Che hai detto?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ロサード\nGuarda, ti ho fatto il ritratto! Sono velocissimo\na disegnare, è il mio talento non così nascosto.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nÈ venuto così bene che sembra uno specchio!\nMa quanto sei carina?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cオルテンシア\nCosa?! Ma se sembro imbambolata...\nNon mi hai fatta carina per niente!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cオルテンシア\nRifallo da capo. Mi metterò in una posa migliore\nquesta volta.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nSe lo dici tu... a me piaceva.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cオルテンシア\nNo, no, è sbagliata! Questa espressione non mi\nrappresenta per nulla!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cオルテンシア\nRicominciamo. Ecco qua, questo è il mio lato\nmigliore. Disegna, su.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nNo... l'altra espressione era più carina.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cオルテンシア\nTsk. È un ordine della tua principessa.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nE va bene... rimettiti come stavi prima.\nEcco fatto. È come lo volevi?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cオルテンシア\nPerfetto! Butta via quello venuto male, mi\nraccomando.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cオルテンシア\nAltrimenti le generazioni future penseranno che\nfossi un'imbambolata con lo sguardo perso nel\nvuoto.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nMa non era perso nel vuoto...\x0E\x04\x00\x00
