MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nIvy... c'è qualcosa che vorrei dirti.\x0E\x04\x02\x00
MID_RELIANCE_C_#002	Ti chiedo scusa per averti trasformata in\nun'aberrazione.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nSarei lieta di accettare le tue scuse, lord Rafal,\nse avessi la più pallida idea di cosa tu stia\nparlando.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\nHo pensato di cominciare dal peggio, per poi\nspiegarti tutto.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Sei diversa dalla Ivy del mio mondo, che soleva\ninterrompermi continuamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アイビー\nSe hai bisogno di tempo, fai pure con calma.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nラファール\nGrazie. Allora... trasformai la Ivy del mio mondo\nin un'aberrazione, costringendola a combattere.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Mi approfittai della sua predisposizione, visto\nche era assolutamente devota al Drago Maligno,\ne desiderosa di servirlo.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Ma comunque in seguito feci lo stesso con gli\naltri principi e principesse, che lo volessero o\nno. Mi pento molto delle mie azioni.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アイビー\nGrazie della spiegazione, ma ancora non capisco\ncosa tutto ciò abbia a che vedere con me.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Stai chiedendo scusa alla Ivy sbagliata. Quanto\na me, mi stai innervosendo, onestamente.\x0E\x04\x00\x00
