MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x08\x06ジャン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\nNon mi entra in testa più niente... Sono troppo\nstanco...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\nAllora, giovanotto? Che succede?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ジャン\nOh, salve. Stavo cercando di studiare.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nStudi anche a notte fonda? Però.\nE cosa studi di bello?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ジャン\nMedicina.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nMmmh, sembri stanco. Dev'essere difficile\nconcentrarsi a notte fonda.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\nHo dormito poco e ho tante di quelle cose\nda tenere a mente...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nDi giorno combatti, la notte studi medicina...\nSai che le candele non possono bruciare\nda due estremità?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nRischi solo di trascurare la tua salute. Altro che\noccuparti di quella degli altri!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ジャン\nHai ragione, davvero, ma vedi...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nOra come ora ti conviene chiudere quei libri\ne riposarti un po'.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ジャン\nMa devo ancora studiare un sacco di cose.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\nI libri sono ottimi insegnanti, ragazzo mio, ma\nci sono alcune lezioni che non si possono\nimparare su quelle pagine.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リンデン\nForse sarebbe ora di guardarti un po' attorno\ne cercare di imparare qualcosa fuori dai libri.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nE quando riprenderai a studiare, farai ancora\npiù progressi, vedrai.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ジャン\nDici davvero?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リンデン\nCerto che dico davvero. Dammi un paio di\ngiorni e ti preparerò una lezione interessante.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nEccoci, Jean. Questa è la tua classe.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ジャン\nUn campo?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ジャン\nCome mai siamo qui? Non vedo niente da\nimparare, qua attorno. E neanche un insegnante.\x0E\x04\x00\x00
