MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x02\x08\x06カゲツ\nUgh...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06カゲツ\nMi è caduto l'onigiri... Che mani di burro...\nE ora cosa mangio?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06カゲツ\nHo così tante cose da fare oggi... Se non mangio\nqualcosa, svengo...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nPer caso hai fame? Se vuoi puoi mangiare un\npo' dei miei dolcetti. Non fare complimenti.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nMerrin?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\nPosso, davvero? Ah, hai tutta la mia\nriconoscenza...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nGrazie mille...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nNon c'è problema. Mangiane quanti vuoi.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nSono dolci... e buonissimi! Mi stanno già\ntornando le energie!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\nCaspita, li stai divorando. Ne avevi di fame, eh.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nSì, ne avevo proprio bisogno! Grazie!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nOra potrò battermi contro la principessa\nTimerra senza problemi!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nCome, scusa?!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nVuoi combattere contro la mia principessa?\nNo, no, no. Mi spiace ma non te lo permetterò!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nE perché? È divertente battersi contro qualcuno\ndi forte.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\nAnch'io me la cavo bene. La principessa\nTimerra si divertirà, vedrai.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06メリン\nMa no, volevo dire che non ti permetterò\ndi mettere la sua vita in pericolo.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06カゲツ\nTi preoccupi troppo!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06メリン\nE pensare che ti ho pure dato da mangiare...\nChe errore imperdonabile!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nSappi che se vuoi batterti contro la mia\nprincipessa, dovrai prima vedertela con me!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06カゲツ\nCon piacere!\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06カゲツ\nO almeno, mi piacerebbe... Ma non vorrei fare\nil cafone, dopo che sei stata così gentile con me.\x0E\x04\x00\x00
