MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, no... Non so proprio come fare...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nCosa ti preoccupa?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLa mia famiglia gestisce una locanda nel più\nelegante villaggio termale dell'Elusia...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon lo dico per farti invidia. Non posso farci\nnulla se sono cresciuta come figlia unica\nviziata nella bambagia.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ラピス\nSembra bello da come lo descrivi!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCerto, ma... i miei genitori mi hanno appena\ncontattata. Pare che ci siano degli orsi in\ncircolazione e non sanno come fare.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nOrsi, eh? Una gran bella scocciatura.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nNon c'è tempo da perdere. Scriviamo subito\nuna lettera ai tuoi genitori.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMa non saprei cosa scrivere. Non me ne\nintendo di orsi...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHo molti talenti, ma gli orsi proprio sono\nun tema a me sconosciuto.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nLascia fare a me. Nel mio villaggio dobbiamo\nscacciarli in continuazione, so di cosa parlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAh, ma davvero?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\nOra ti faccio un esempio. Immagina che\nun orso stia mangiando il tuo raccolto.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nBasta dirgli: "Vattene da un'altra parte se\nnon vuoi farti del male!"\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nE lui se ne va. Giuro.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIncredibile...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\nParlo per esperienza, sai. L'ho fatto un sacco\ndi volte.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMh. L'esperta sei tu, mi fido.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nConosco tutte le tecniche, dall'intimidazione\nal classico combattimento corpo a corpo.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nInsegnami tutto, per favore.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nLapis, grazie ancora per l'aiuto.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHo ricevuto una lettera dalla mia famiglia.\nDicono che gli orsi non sono più un problema.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nMa è fantastico! Che sollievo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nQuesto è da parte loro, per ringraziarti.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nEh? Ma è...?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nUn invito per andare alla loro locanda.\nQuando la guerra sarà finita, sarai la benvenuta.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nForse sono di parte, ma penso davvero che\nle nostre siano le migliori terme al mondo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nWow, non vedo l'ora! Grazie!\x0E\x04\x00\x00
