MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リンデン\nAh, Mauvier! Avresti un momento? Mi serve\naiuto per un esperimento.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nCerto, ser Lindon. Dimmi cosa posso fare.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\nEcco, allora dovresti prendere questa\npannocchia... e lanciarla per aria.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\nMa che esperimento è?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nVoglio farla esplodere con un incantesimo\nTuono d'elfo.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nSecondo i miei calcoli, i chicchi dovrebbero\nscoppiettare ordinatamente. E se tutto va come\ndeve... avremo una merenda perfetta!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nNon mi sento molto tranquillo.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リンデン\nSai come si dice... "Chi una merenda vuole\ningerire un po' deve soffrire."\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nMa poi che rischi vuoi che ci siano... al massimo\nscoppietti anche tu, ma non ordinatamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06モーヴ\nAhem, mi vedo costretto a rifiutare.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リンデン\nEh? Oh, ma dai! Gli anziani vanno aiutati, sai?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nNon se lanciano incantesimi a destra e a manca.\nO sbaglio?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nUmpf. Sei più borbottone di un vecchio.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nTi aiuterò per tutti gli esperimenti che vuoi.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nMa mi rifiuto di rischiare la vita per del mais.\nDovrai fare a meno di me, ser Lindon.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nMmmh, come vuoi. Allora niente merenda, per\noggi.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nSer Lindon, ti è caduto qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nOh! Che maldestro. Grazie, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nMa questa ragazza raffigurata è bellissima...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nEh, sì. Puoi ben dirlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\nÈ un ritratto della mia compianta moglie.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nOh. Tua moglie...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リンデン\nNon era solo bella, ma anche gentile,\namorevole... la migliore amica che\npotessi desiderare.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リンデン\nOrmai non è più tra noi da un certo tempo,\neppure il mio amore non sbiadisce, semmai\ncresce.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nAaah, se potessi rivedere il suo sorriso,\nmangiare una volta ancora i suoi manicaretti...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nMi rammarica vederti così. Posso fare qualcosa\nper te?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nFaresti sul serio qualcosa per me? Oh, che\ngentile, Mauvier!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リンデン\nAllora prendi questa pannocchia e lanciala\nin aria.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06モーヴ\nMa cosa...?!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nAncora con questa storia?!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nMa vedi... la mia beneamata moglie amava\ntanto il mais. Secondo me le piacerebbe che\nla celebrassimo così.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nForza, allora! Quando sei pronto lancio\nl'incantesimo!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リンデン\nSo di cosa hai paura... ma non temere. Credo\nproprio... anzi, sono sicuro che non sbaglierò\nmira!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06モーヴ\nEhm, no, preferisco di no. Arrivederci.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x02\x0A\x08リンデン\nMauvier! Aspetta! Ti stai portando via la mia\npannocchia!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x02\x0A\x08リンデン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nSer Lindon? Va tutto bene? È il ritratto di tua\nmoglie, quello?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nEheh, mi hai beccato in un momento\ndi debolezza. Ora mi sento in imbarazzo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nUn uomo della mia età dovrebbe aver imparato\na lasciare andare il passato. E invece eccomi\nqui...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06モーヴ\nNon c'è nulla di imbarazzante nell'amare la\npropria moglie.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nHai ragione, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リンデン\nAbbiamo cresciuto tre figli. Ora sono grandi,\nhanno le loro vite.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リンデン\nLe loro case, le loro famiglie... Ormai succede\ndi rado che ci troviamo tutti insieme.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nE più si allontanano, più i miei ricordi si fanno\nnitidi.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nOrmai vivo pensando al passato, più che al\nfuturo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リンデン\nNon so se sia un bene o un male...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nSe i tuoi ricordi sono così piacevoli, significa\nche hai avuto una bella vita.\x0E\x04\x00\x00
