MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x08\x06クラン\nDrago Divino, cosa state facendo?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nOh, ciao, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nStavo facendo un po' d'ordine. Domani sarà una\ngiornata piena, così preferisco pensarci ora.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クラン\nLasciate fare a me. Pensate a riposarvi, voi!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nNon preoccuparti. Non mi pesa.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nNon transigo. Mi vedo costretto a insistere.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nMa...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クラン\nVe lo chiedo per favore. Sapete quanto abbia\natteso il vostro risveglio.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nE io sono solo l'ultimo di tutti i valletti che\nhanno passato la vita ad attendervi.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nE dopo mille anni tocca a me servirvi!\nÈ un miracolo!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nPerciò vi prego, lasciate che mi occupi di voi.\nVi assicuro che è un piacere per me.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nE va bene, mi hai convint\x0E\x0A\x00\x08\x02o\x02a. Lo lascio fare a te.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nGrazie infinite, Drago Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nSono io a doverti ringraziare per come ti prendi\ncura di me.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nSono fortunat\x0E\x0A\x00\x08\x02o\x02a ad avere un valletto come te.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クラン\nDite sul serio? Accidenti, potrei quasi svenire\ndalla gioia!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nEheh. Ci mancherebbe. Ora che non devo più\nriassettare, vado a riposarmi.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x0A\x08リュール\nUhm, Clanne?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nMmmh... Ugh...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nPssst. Clanne. Clanne!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nAH! Chiedo scusa, Drago Divino!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nTutto bene? Sembravi un po' sovrappensiero.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クラン\nTutto a posto, mi ero distratto un attimo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nSenti, sei sicuro di non stare lavorando troppo?\nMagari sei stanco.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06クラン\nEh? No, non è così! Stavo solo...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クラン\nDavvero... non preoccupatevi.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nAmmettilo. Ti stai caricando troppo di impegni,\ncon tutto quello che fai per me.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クラン\nAssolutamente no! Anzi, mi sembra di non fare\nabbastanza!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nDatemi pure altre incombenze! Per il Drago\nDivino questo e altro!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nSono serio, farò qualsiasi cosa vogliate.\nAvanti, ordinatemi di fare qualcosa!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nSe proprio insisti...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nTi ordino di riposarti.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\n...!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クラン\nNon è giusto! State barando!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nMi dispiace, ma sei insostituibile per me. Non\nvoglio rischiare che ti venga un esaurimento.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nDevi fare una pausa ogni tanto, così sarai\npronto se dovesse accadere qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クラン\nMa... Io...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nRiposati, Clanne. Te lo ordino.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クラン\nVa bene.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06クラン\nSe proprio insistete... chiudo un attimo gli occhi.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x0A\x08リュール\nClanne, ora sembri di nuovo in forma\nsmagliante.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クラン\nSì, è vero, mi sento molto meglio ora che ho\nriposato.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nBene così. Cerca di non esagerare in futuro,\nd'accordo?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クラン\nUhm...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クラン\nSentite, come dicevo noi valletti abbiamo\naspettato per mille anni il vostro risveglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クラン\nE voi siete persino meglio di quanto potessi\nsperare!\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nMentre io...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クラン\nDovrei semplificarvi la vita e invece vi ho fatt\x0E\x0A\x00\x08\x02o\x02a\npreoccupare!\x0E\x04\x00\x00
