MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0A\x08リュール\nArgh! Un'aberrazione!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nUn'aberrazione? Dove?!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nDiamant! Aiuto!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nAaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nGrazie dell'aiuto, Diamant, e scusa\nper il disturbo.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nNessun disturbo. Tuttavia, se posso chiedere...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nCom'è possibile che quella creatura abbia\nsurclassato e spaventato il Drago Divino?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nÈ spuntata fuori dal nulla! Me la sono data a\ngambe, sai... le aberrazioni non sono il mio forte.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nSei sicur\x0E\x0A\x00\x08\x02o\x02a? Perché di solito in battaglia riesci a\nsbarazzartene facilmente.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nSul campo di battaglia è diverso. Lì posso\nindividuarle prima, e prepararmi allo scontro.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nMa questa mi ha colto di sorpresa, come se\nfosse piovuta dal cielo.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nFuori dal campo di battaglia sono una preda\nfacile per quelle creature.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nMmmh... non ti seguo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nNon c'è niente che ti faccia accapponare la\npelle, Diamant?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nFammi pensare... i bruchi pelosi hanno\nquell'effetto su di me.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nBene. Poniamo il caso che tu sappia di stare\nper incontrare un bruco peloso. Hai il tempo\ndi prepararti, giusto?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nE ora invece immagina di essere a cena e ti\nvedi un bruco peloso cadere nel piatto.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nUhm.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nNon ci rimarresti di sasso? Non ti scapperebbe\nun urlo di sorpresa?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nSì, probabilmente.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08リュール\nEcco cosa sono per me gli attacchi a sorpresa\ndelle aberrazioni... Bruchi pelosi nel piatto.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nCapisco molto bene quello che vuoi dire,\nDrago Divino.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08リュール\nScusa se l'esempio era un po' strano, ma sono\ncontent\x0E\x0A\x00\x08\x02o\x02a di essermi spiegat\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08リュール\nMi dispiace che tu mi abbia dovuto vedere\nin una situazione così scomposta.\nChe vergogna...\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0A\x08リュール\nVorrei essere perfett\x0E\x0A\x00\x08\x02o\x02a come te, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nIo perfetto? Mah...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nQuello è lo sguardo più preoccupato che abbia\nmai visto sul tuo volto, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nScusa, Drago Divino, pensavo di essere solo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nCosa ti preoccupa?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nQuesta è una medaglia che mio padre mi diede\ntempo fa. Un riconoscimento da parte del re.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nDa re Morion...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nEro con la mia truppa, coinvolto in un'intensa\nbattaglia contro l'Elusia. Eravamo circondati.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nDovevamo trovare una via d'uscita alla svelta,\ncosì presi l'iniziativa per disperazione.\x0E\x04\x00\x00
