MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0A\x08リュール\nZelestia, non hai ancora fatto una pausa?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nBeh, no. Stavo riorganizzando le armi, ma\nho quasi finito.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nSai che puoi chiamarmi quando hai bisogno.\nMi farebbe piacere aiutarti.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Tutti questi dettagli di cui ti sei accorta e di\ncui ti stai occupando... sono veramente molto\nutili per noi.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cセレスティア\nLo faccio volentieri. A proposito, Drago Divino,\nsei stat\x0E\x0A\x00\x08\x02o\x02a fantastic\x0E\x0A\x00\x08\x02o\x02a in battaglia oggi.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Il coraggio che mostri nel proteggere i tuoi\namici è fonte di ispirazione, ma tutta quella\nfatica richiede anche riposo.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nGrazie. Non mancherò di riposarmi e mangiare\ncome si deve. Non ti preoccupare per me.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	A proposito di cibo, oggi era tutto buonissimo,\nnon trovi? Quella zuppa con le verdure...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nAh, mi fa piacere saperlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nOh, scusa... ma non hai ancora mangiato?\nSe ti sbrighi, forse trovi ancora qualcosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cセレスティア\nNon devi scusarti. Avevo molto da fare e me ne\nsono dimenticata. Non mangio seduta a un\ntavolo da...\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Uhm... qualche giorno, mi sa.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nCosa?! È importante mettersi seduti a mangiare\ncon calma.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cセレスティア\nNon ho avuto tempo per un pasto completo, ma\nin compenso ho mangiato tanti stuzzichini. Ci\nsono troppe cose che voglio fare per tutti voi.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nCosì non si fa, Zelestia! Adesso vieni con me!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cセレスティア\nDove mi porti?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nDevi fare un pasto come si deve se vuoi avere\nabbastanza energia per tutte queste attività.\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Mi voglio assicurare che ti prenda il tempo che\nti serve per metterti seduta a mangiare con\ncalma.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0A\x08リュール\nZelestia, ti ho portato il pranzo di oggi.\nAnche se è un po' tardi per il pranzo.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, grazie Drago Divino. Ho perso la cognizione\ndel tempo parlando con gli altri, e mi è passato\ndi mente.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nNello stesso modo in cui ti è sfuggito ieri,\nse ricordo bene.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nBeh, io...\x0E\x04\x00\x00
