MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08リュール\nChe stai facendo, Zelkov?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nSalve, Drago Divino, sto sciogliendo la cera\nper *produrre* candele.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nOooh! Produci candele per passione?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nForse potreste chiamarla passione, ma direi\n*piuttosto* un modo per ammazzare il tempo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nAmmazzare il tempo?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nSi dice che ammazziamo il tempo finché\nil tempo non ammazza noi. È la mia *filosofia*.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nNon sapevo fossi un pensatore così profondo,\nZelkov.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nAhah, non direi proprio.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nMi diverto a parlare così, suggerendo un\n*significato* profondo, ma in verità non v'è\nsignificato alcuno.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nÈ solo un altro modo per *ammazzare* il tempo.\nUn *diletto* per me, niente di più.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nChe c'è? Mi guardate con tale *luce* negli occhi.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nTrovo tutto ciò così affascinante.\nSarà la differenza delle nostre prospettive.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nÈ come se tu conoscessi un mondo di cose\nche io ignoro.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nUhm, vi trovo *bizzarr\x0E\x0A\x00\x08\x02o\x02a*. La prossima volta\npotrei portarvi in un luogo *interessante*.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nOra sono curios\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nLasciate che rimanga una *sorpresa*,\nper ora.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nVa bene. Non vedo l'ora!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nBenvenut\x0E\x0A\x00\x08\x02o\x02a. Questo è il luogo *interessante*\ndi cui vi ho parlato. È il mio *santuario* segreto.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nOooh! Non ho mai visto così tanti ripiani pieni\ndi... cose!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nSì, è qui che *colleziono* i miei modesti\ntentativi di ammazzare il tempo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nIstruzioni per una *tecnica culinaria* di mia\ncreazione, la mappa di un percorso che solo *io*\nconosco...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nC'è un manuale di tecniche militari scritto da\nme, accanto a una roccia che ho lucidato fino\na farla *risplendere*.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nE queste sono semplici *palle di pelo* che\nho raccolto per non so quale ragione.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nMa basta con le spiegazioni, altrimenti potrei\nimpiegare *ore* del vostro tempo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nMa sappiate che *ogni* oggetto di questi mi ha\naiutato ad ammazzare il tempo. Toccate pure,\nse volete.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nGrazie! È un'incredibile miniera di tesori...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nDopo aver finito il mio lavoro, ogni giorno,\nriempio le mie serate con queste *attività*.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nLe *amo* molto, e cerco sempre di lasciarmi\nqualcosa da fare per il giorno dopo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nAvere un progetto da finire il giorno dopo\nsignifica per me avere una ragione per\n*continuare* a vivere.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nOooh, sei così profondo...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nLo pensate... davvero?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nGrazie per aver sopportato il mio sproloquio,\nspero di non avervi *annoiato*.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nMa cosa dici? Non ho nemmeno finito di\nesplorare questa miniera!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nMi onorate. Prendetevi pure tutto il *tempo*\nche volete.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nAh, per oggi ho finito col lavoro. Adesso posso\n*ammazzare il tempo* fino all'ora di coricarmi.\x0E\x04\x00\x00
