MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nSalve... Possiamo parlare un attimo?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nAh, Mar-...\x0E\x04\x02\x00
MID_RELIANCE_C_#003	No. Tu devi essere Madeline.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nマデリーン\nSì.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	E tu sei Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nSì.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nマデリーン\nUhm...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06モーヴ\nHai bisogno di qualcosa?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nマデリーン\nScusa, volevo solo salutarti e presentarmi\nufficialmente.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Venendo da un altro mondo, ci sono ancora\ntante cose che devo imparare sul tuo.\x0E\x04\x02\x00
MID_RELIANCE_C_#011	Ma sono contenta di fare la tua conoscenza\ne combattere insieme per la vittoria. \x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nLo terrò presente.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	A dire il vero, anche io speravo di poter parlare\ncon te. Grazie di essere venuta da me.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nマデリーン\nOh, non devi ringraziarmi. I cavalieri di rango\ninferiore devono salutare i propri superiori.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nSuperiori? Ti ho vista combattere e farti strada\ntra le fila nemiche con abilità.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Sei una cavaliera coraggiosa e capace.\nBrava, Madeline.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nマデリーン\nOh... Uhm...\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Grazie, che parole gentili.\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Ma non c'è bisogno di farmi tanti complimenti.\nSono una cavaliera e ho giurato di proteggere\ni miei alleati.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06モーヴ\nAllora, sei proprio fatta così... Meraviglioso.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nマデリーン\nEhm...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06モーヴ\nScusami, immagino tu debba salutare ancora\ntante persone. Ti lascio ai tuoi doveri.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0C\nマデリーン\nAspetta! Mauvier...\x0E\x04\x02\x00
MID_RELIANCE_C_#024	Oh...\x0E\x04\x02\x00
MID_RELIANCE_C_#025	Che strano parlare di nuovo con Mauvier...\x0E\x04\x02\x00
MID_RELIANCE_C_#026	O forse mi sto immaginando tutto?\nHo questa strana impressione...\x0E\x04\x02\x00
MID_RELIANCE_C_#027	È come se guardasse me, ma stesse parlando\na un'altra persona.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x08\x06モーヴ\nHo ispezionato ogni pezzo di equipaggiamento.\nÈ il momento di fare una pausa.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nマデリーン\nSì, ti meriti proprio una pausa.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nVisto che avevi organizzato tutto prima di\ncominciare, il lavoro è stato facile.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Hai fatto un ottimo lavoro. Grazie.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nマデリーン\nMi fa piacere rendermi utile.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nL'idea di dividere gli oggetti per grandezza\nè geniale. Sei un'organizzatrice nata.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	E organizzare una tale montagna di articoli non\ndeve essere stato facile. Complimenti.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nマデリーン\nNon è niente, davvero! Ho solo... Oh, povera me.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Non so come dirlo, quindi cercherò di essere\ndiretta.\x0E\x04\x00\x00
