MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06メリン\nYunaka, avresti un momento?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nCertamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nSi tratta dell'allenamento appena concluso...\nCredo che tu non l'abbia preso per il verso\ngiusto.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nIn che senso?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nBeh... Un allenamento non è un combattimento\nall'ultimo sangue. Eppure tu mi sei saltata alla\ngola...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06メリン\nForse dovresti prendere le cose più con\ncalma e mostrare più... spirito sportivo.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\nCosa? No, chiedo scusa, ma è semplicemente\nridicolo. Non posso.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nEh?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ユナカ\nMerrin, a voi sembrerà una cosa normale\ninterrompere un combattimento per fare\nil vostro discorso...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\nMa a questo punto fate prima a chiedermi\ndirettamente di ammazzarvi.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nOra con me non correte questo rischio, ma\nun vero nemico non ci penserebbe due volte\na squartarvi sul posto.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nLo so perfettamente! Volevo soltanto provare\nqualche botta e risposta.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nE a che scopo? A che serve provare in\nallenamento qualcosa che sapete già di\nnon poter sfruttare in combattimento?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nCerto, capisco. Ma questo era solo\nun allenamento. Che male c'è?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nUn paio di frasi a effetto in battaglia aiutano\na dare quel tocco in più. Meglio ancora se è\nun monologo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nPotevi anche fare lo sforzo di aspettare che\nfinissi di parlare, in fondo. Siamo alleate,\nnon dimenticarlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nNo. Non è buona abitudine prendersi gioco dei\ncombattimenti.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\nE credevo che voi lo sapeste bene, visto che\nsiete una cavaliera. Ma forse mi sbagliavo.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nSe abbiamo finito, io andrei.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nUrgh... Yunaka. Hai ragione, eh, per carità...\nVolevo solo divertirmi un po'.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06メリン\nForse ho finito.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nSalve. Cosa fate di bello?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nOh, ciao. Sistemo le armi.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ユナカ\nAh! Ma che... che bella scimitarra!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nL'ho comprata da un antiquario. Forte, eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\nMa quale "forte"? Quest'arma è un capolavoro!\nUn'opera d'arte!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nChe curvatura! Solo gli artigiani tradizionali\ndel Solm ne fanno di così lisce e robuste!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nE che lama! Solo le lame del Solm riescono a\ncombinare in questo modo la maestosa storia\ndel paese con la potenza omicida!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nCaspita, non ci avevo fatto caso.\nMa quanto ti scaldi a parlare di queste cose.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nSe ti piace così tanto potrei darla a te. Io tanto\nnon la uso.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nState scherzando?! Sarebbe un regalo\nfantastico! La accetto con piacere! A me!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nBeh. Aspetta un attimo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nTe la darò solo se accetti di ascoltare i miei\nmonologhi quando ci alleniamo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nEh?! E questo cosa c'entra?!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nNon importa quanto io desideri questa\nscimitarra. Non ve la darò vinta su questo!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nCome preferisci... Allora questa scimitarra\nè tutta mia...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nUmpf. Benissimo! Fine della faccenda.\x0E\x04\x00\x00
