MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nIl consiglio di guerra non comincerà a breve.\nDovrei trovare un modo per occupare il tempo.\x0E\x04\x02\x00
MID_RELIANCE_C_#002	Si sta proprio bene oggi. Forse potrei rilassarmi\nun po' e godermi il tepore dei raggi solari.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Devo essermi appisolata.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Mh? Ma cosa ci fa qui questa carne alla griglia?\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Che l'abbia dimenticata qualcuno?\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Ormai questi sonnellini fuori programma sono\ndiventati un'abitudine.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Uhm... Ecco di nuovo della carne alla griglia\nabbandonata. Che mistero.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Una volta si può capire, ma due è un eccesso\ndi distrazione...\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Zzz...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nBenissimo, dorme della grossa. È il momento\ndella merenda a sorpresa!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nFerma lì.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nAaargh!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nPrincipessa di Solm, allora sei tu che semini\nin giro carne alla griglia.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nCome? Eheh, no, ti sbagli.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nSpiegami dunque cos'hai lì.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nUn accessorio di moda.\x0E\x04\x02\x00
MID_RELIANCE_C_#017	Ora devo proprio andare, ciao!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04エル\nAspetta! Volevo solo domandarti...\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Troppo tardi. Se n'è andata. Davvero curioso...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪ Ecco che sfrigola sulla griglia! Questa carne\nè una meraviglia! ♪\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04エル\nNon è stato facile, ma ti ho trovata.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nUaaaah! Lady Nel!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04エル\nE ora, se volessi darmi delucidazioni sul cibo\nche abbandoni nei miei paraggi, te ne sarei\ngrata.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nE va bene, ormai non ha più senso nasconderlo.\nSì, sono stata io. Sembri sempre così stanca,\ndi recente.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Ogni volta che ti vedo, stai dormendo per terra.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nCosì ho pensato che un buon pasto nutriente\nti avrebbe rimessa in sesto, visto che sei un po'\nsotto tono.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04エル\nPerdonami... i miei sonnellini all'aria aperta\ndevono averti allarmata.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Apprezzo la tua premura, tuttavia non\ncomprendo quale ruolo possa avere la carne\nin tutto ciò.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nIl cibo ci dà energia, no? Quindi più cibo\nequivale a più energia!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04エル\nPuò darsi che questo valga per voi umani\nquando siete... sotto tono, ma non significa che\nsia lo stesso per me.\x0E\x04\x02\x00
MID_RELIANCE_B_#013	Per cui, ti consiglio un approccio alternativo\nper raggiungere il tuo obiettivo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nOoh, non mi era mai passato per la testa di\nprovare qualcosa di nuovo! Hai qualche idea?\nSono tutta orecchi.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04エル\nAmmetto che la canzone che stavi cantando\nera piuttosto gradevole. Potresti continuare a\ncantare.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\nMa certo! Quale ti canto? "Grigliata scatenata"?\n"Carne al vento"? "Cuore di pancetta"?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nMi era sfuggito che ce ne fossero così tante.\nNon saprei quale scegliere, lascio a te la\ndecisione.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nNon ci credo che vuoi davvero sentire le mie\ncanzoni! ♪ Finalmente è il mio momento! ♪\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Ahah. Sai cosa? Non riesco a sceglierne solo\nuna. Ti va se te le canto tutte assieme?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04エル\nPrego, ti ascolto.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0C\nミスティラ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nNon è da te tale malinconia, principessa\nTimerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nOh. Ehi, lady Nel.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nForse dovresti preparare una grigliata. Hai l'aria\ndi averne un disperato bisogno. Mi sembri un\npo' sotto tono, insomma.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nOh, te ne sei ricordata! Che gentile. Vedi, non\nsono più tanto sicura di voler cantare.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04エル\nSpiegati meglio.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nStavo accendendo un fuoco, quando sono\npassati dei tipacci che me ne hanno dette di\ntutti i colori.\x0E\x04\x02\x00
