MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nCome stai, Madeline? Ti stai abituando a\nquesto mondo?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nマデリーン\nEro un po' a disagio all'inizio, ma ora mi sento\nmeglio sia sul campo di battaglia che fuori.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nSono contenta di sentirtelo dire. Ma cerca\ndi non chiedere troppo a te stessa.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Sono preoccupata perché... beh, tu spesso\nesageri.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nマデリーン\nZelestia... Ora che siamo insieme in questo\nnuovo mondo, vorrei che la smettessi di\ntrattarmi come una bambina.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Non ti preoccupare, non esagero mai.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nHai ragione, non devo intromettermi troppo.\nCi sono anche altre persone qui che si prendono\ncura di te.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nマデリーン\nSì, sono grata agli abitanti di questo mondo per\nla loro ospitalità nei confronti di un'estranea\ncome me.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Ogni giorno cerco di fare del mio meglio per\nripagarli della loro gentilezza, e ciò fortifica\nla mia determinazione.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nMa guarda un po' come sei diventata formale,\nmi ricordi Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nマデリーン\nEh?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cセレスティア\nScusa, non volevo...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nマデリーン\nTranquilla, mi hai solo colta di sorpresa.\x0E\x04\x02\x00
MID_RELIANCE_C_#014	Non posso negare che il mio modo di parlare\nsomigli al suo, dopotutto era il mio mentore.\x0E\x04\x02\x00
