MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nAmber, posso farti qualche domanda personale?\nMi serve per il prossimo romanzo.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nVuoi scrivere un libro su di me? Oh, ma che\nbello! Chiedimi pure.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ジェーデ\nCominciamo da una domanda facile: qual è\nla cosa che preferisci in assoluto?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nÈ una domanda seria? Ma è ovvio, no?\nGli alpaca! Non c'è niente meglio.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nAl villaggio passavo il mio tempo a radunare\ngli alpaca. Sono un vero esperto, sai?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\n"Esperto di alpaca"... Molto bene.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nNon sto scherzando! Se avessi qui un alpaca ti\nfarei vedere cosa so fare...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nMa purtroppo l'allevamento più vicino è a\nchilometri di distanza...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ジェーデ\nOh! Cos'è questo rumore?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nMa è il suono di un alpaca al galoppo!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nHai ragione! Eccolo che viene verso di noi!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nAllora, Jade! Volevi materiale, e materiale avrai!\nAmmira il maestro in azione.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nEhi! Alpaca! Vieni qui, piccolino!
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nWhoaaa, fermo! Non così veloce!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nARGH! Waaaaaah!
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nAmber!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x04\x03\x04
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nUgh. Essere colpito da un alpaca e finire\nnello stagno non era ciò che avevo in mente...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ジェーデ\nÈ incredibile come quell'alpaca sia spuntato così\ndal nulla. Ma per fortuna siamo riusciti a\nprenderlo.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nLo hai preso tu. Io al massimo prenderò un\nraffreddore, dopo questo tuffo nello stagno.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08アンバー\nSei più brava di me persino in quello che\ndovrebbe essere il mio campo...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08ジェーデ\nAmber... non piangere. Pensa al lato positivo.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08ジェーデ\nL'alpaca, lo stagno... Grazie a te il mio prossimo\nlibro sarà uno spasso.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nCiao, Amber. Mi mancano un paio di capitoli\nprima di finire. Posso farti altre domande?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nUn attimo, Jade. Prima, ho io una domanda\nda farti...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\nPotresti non scrivere della mia figuraccia con\nl'alpaca? Ti preeeego...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ジェーデ\nCos-\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アンバー\nIl mio villaggio è famoso per l'allevamento degli\nalpaca! Non posso metterli in cattiva luce!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nNon ho avuto tempo di chiedertelo l'altra volta,\nimpantanato com'ero tra stagno e tristezza.\nMa ti prego, lo faresti per me?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ジェーデ\nNon me lo aspettavo, ma non voglio farti\npromesse che non posso mantenere, Amber.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\nSei la fonte di ispirazione di tutti i miei racconti\ndi successo... La gente vuole nuove storie...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nBeh, allora...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nFacciamo un duello. Se vinco io, non dovrai fare\nparola di quell'incidente!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nD'accordo. Ci sto.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nÈ dal torneo di selezione degli attendenti che\nnon duelliamo...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nQuella volta persi contro di te in finale...\nE da quel momento sono sempre stato il\nsecondo.\x0E\x04\x00\x00
