MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nSer Vander, è vero che eravate al servizio della\nregina Lumera in Lythos?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nSì, ero il suo assistente. Perché questa\ndomanda?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nIn quanto uomo di fede, nutro grande rispetto\nnei vostri confronti.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nAvrei sacrificato un braccio per poter offrire\ni miei servigi in una postazione tanto\nimportante... proprio nella terra sacra.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nAspetta di sentire i miei vecchi racconti\ndi guerra e ci lascerai un orecchio, piuttosto.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パンドロ\nNe sarei onorato! Raccontatemi le vostre\nesperienze, ve ne prego.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nヴァンドレ\nE va bene. Sarà meglio trovare un luogo\npiù appropriato, allora.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nSto organizzando una festa. Perché non venite?\nPotrebbe essere l'occasione adatta.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nBah. Non sono il tipo da feste.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nOh, sono sicuro che vi troverete bene, in fondo\nè solo una festicciola in chiesa.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nUn gruppo di giovani fedeli che pregano per\nla pace con canti e danze. Nulla di che.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nCanti e danze, hai detto? Perché no. Sembra\nuna bella idea.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パンドロ\nÈ mio dovere aiutare le persone a trovare\nun po' di conforto in questi tempi difficili.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nCapisco. Quindi organizzi questi incontri\ncome servizio alla comunità.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nNon potevate spiegarlo meglio! Allora,\nvi unirete a noi?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nMa certo. Come potrei rifiutare un invito\na un evento così encomiabile?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nFantastico! Vi aspetterò con impazienza.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nGrazie per averci onorati della vostra presenza,\nser Vander!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nPandreo. Sbaglio o tu e gli invitati\nstavate... ululando?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nEh? Oh, non preoccupatevi.\nÈ il nostro modo di festeggiare.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パンドロ\nEravamo rapiti dalle vostre storie affascinanti\nsulla regina Lumera.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nヴァンドレ\nSarà, ma... A che razza di festa sono capitato?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nヴァンドレ\nQuando mi hai parlato di canti e danze,\nmi aspettavo qualcosa di più solenne.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nNon questa specie di circo! Tutti questi salti\ne schiamazzi, neanche un branco di cani\nrabbiosi...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nヴァンドレ\nMa mi sentivate con questo baccano?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パンドロ\nMa certo!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nProprio per le vostre parole eravamo così\nemozionati. Stavamo celebrando le vostre\nstorie con tutto il corpo e l'anima.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nSe lo dici tu. Forse sono all'antica...\nma di solito i racconti li ascolto in silenzio.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nA proposito, ho notato che non avete preso\nparte alle danze.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\nVorrei ben vedere! La mia schiena\nnon reggerebbe con quelle giravolte!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パンドロ\nApprezzo comunque la vostra comprensione.\nI primi tempi ricevevamo qualche reclamo.\x0E\x04\x00\x00
