MID_MENU_YES	OK
MID_MENU_START	Inizia
MID_MENU_NO	No
MID_MENU_CANCEL	Indietro
MID_MENU_CANCEL_NO	Annulla
MID_MONETARY_UNIT	M
MID_MENU_UNIT_LIST	Unità
MID_MENU_UNIT_LIST_HELP	Confronta i parametri degli alleati.
MID_MENU_UNIT_LIST_TITLEHELP	Confronta i parametri degli alleati.
MID_MENU_ORDER	Automatico
MID_MENU_ORDER_HELP	Imposta una strategia e lascia\nche le unità combattano da sole.
MID_MENU_REWIND	Cronogemma
MID_MENU_REWIND_HELP	Torna indietro nel tempo per\nprovare una strategia diversa.
MID_MENU_SYSTEM	Sistema
MID_MENU_H_SYSTEM	Consulta guida e impostazioni.
MID_MENU_TUTORIAL	Guida
MID_MENU_TUTORIAL_HELP	Scegli una categoria.
MID_MENU_H_TUTORIAL	Consulta la guida.
MID_MENU_CONFIG	Impostazioni
MID_MENU_CONFIG_HELP	Personalizza le impostazioni.
MID_MENU_H_CONFIG	Modifica le impostazioni.
MID_MENU_RESTART	Riprova
MID_MENU_RESTART_HELP	Ricomincia da capo questa\nbattaglia.
MID_MENU_RESTART_CONFIRM	Vuoi ricominciare da capo questa battaglia?\n(Perderai tutto ciò che hai guadagnato\ndurante questa battaglia, inclusa l'esperienza.)
MID_MENU_RESTART_CONFIRM_YES	Riprova
MID_MENU_CONTINUEBATTLE_RESTART	Riprova serie
MID_MENU_CONTINUEBATTLE_RESTART_HELP	Ricomincia da capo\nquesta serie di battaglie.
MID_MENU_CONTINUEBATTLE_CONFIRM	Vuoi iniziare questa serie dalla prima battaglia?\n(Così facendo, tutti i progressi verranno\nazzerati, compresa l'Esp accumulata finora.)
MID_MENU_RESET	Esci
MID_MENU_RESET_HELP	Torna allo schermo del titolo.
MID_MENU_RESET_CONFIRM	Vuoi tornare allo schermo del titolo?\nI progressi non salvati andranno persi.
MID_MENU_RESET_CONFIRM_YES	Sì
MID_MENU_TEMPORARY_SAVE	Segnalibro
MID_MENU_TEMPORARY_SAVE_HELP	Salva la battaglia e sospendi\nil gioco temporaneamente.
MID_MENU_END_TURN	Termina il turno
MID_MENU_END_TURN_HELP	Concludi il turno della tua armata.
MID_MENU_MVP	Lode:
MID_MENU_TURN_COUNT	Turno:
MID_MENU_TURNS_COUNT	Turni:
MID_MENU_WAIT_UNIT_COUNT	Unità disp.:
MID_STATUS_STYLE	Tipo
MID_STATUS_ATTACK_DEFENSE	Att fis/Dif
MID_STATUS_MAGIC_ATTACK_DEFENSE	Att mag/Res
MID_STATUS_HIT_AVOIDANCE	Clp/Scv
MID_STATUS_CRITICAL_SECURE	Trpl/Elu
MID_STATUS_TECHNIQUE_SPEED	Des/Vel
MID_STATUS_MOVE_PHYSIQUE	Mov/Cost
MID_STATUS_NONE	Nascondi
MID_STATUS_MINIMAP	Minimappa
MID_STATUS_MINIMAP_SMALL	Piccola
MID_STATUS_MINIMAP_BIG	Grande
MID_CONFIG_INITIALIZE	Vuoi resettare le impostazioni?
MID_CONFIG_GRID	Trasparenza della griglia
MID_CONFIG_H_GRID	Regola la trasparenza della griglia o rimuovila del tutto.
MID_CONFIG_OVERALLINFORMATION	Area di attacco
MID_CONFIG_OVERALLINFORMATION_TOGGLE	Premi
MID_CONFIG_H_OVERALLINFORMATION_TOGGLE	Cambia la visualizzazione dell'area di attacco premendo \x0E\x08\x02\x06\x04ZL.
MID_CONFIG_OVERALLINFORMATION_PUSH	Tieni premuto
MID_CONFIG_H_OVERALLINFORMATION_PUSH	L'area di attacco viene mostrata solo quando si tiene premuto \x0E\x08\x02\x06\x04ZL.
MID_CONFIG_COMBATANIME	Animazioni di combattimento
MID_CONFIG_COMBATANIME_ON	Sì
MID_CONFIG_H_COMBATANIME_ON	Mostra sempre le animazioni di combattimento.
MID_CONFIG_COMBATANIME_OFF	No
MID_CONFIG_H_COMBATANIME_OFF	Nascondi sempre le animazioni di combattimento.
MID_CONFIG_COMBATANIME_MYUNIT	Unità alleate
MID_CONFIG_H_COMBATANIME_MYUNIT	Mostra le animazioni solo se sono coinvolte unità alleate.
MID_CONFIG_COMBATANIME_MYTURN	Proprio turno
MID_CONFIG_H_COMBATANIME_MYTURN	Mostra le animazioni solo durante il tuo turno.
MID_CONFIG_ROD_DANCE	Animazioni bastoni/danza
